idx	id	description_da	specialty_en	auto_da_full
0	743	Diagn. radiologi Kbh., albue	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., albue
1	744	Diagn. radiologi Kbh., belast.us. af led	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., belast undersøgelse af led
2	745	Diagn. radiologi Kbh., bihuler	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., bihuler
3	746	Diagn. radiologi Kbh., brysthvirvler	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., brysthvirvler
4	747	Diagn. radiologi Kbh., brystk.m.lung/hjerte	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., brystk med lung/hjerte
5	748	Diagn. radiologi Kbh., bækken	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., bækken
6	749	Diagn. radiologi Kbh., db.kontr.us.tyktarm	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., dobbelt kontr undersøgelse tyktarm
7	750	Diagn. radiologi Kbh., ekstremiteter	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., ekstremiteter
8	751	Diagn. radiologi Kbh., fod/fodled	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., fod/fodled
9	752	Diagn. radiologi Kbh., fuldst.tandstatus	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., fuldst.tandstatus
10	753	Diagn. radiologi Kbh., funkt.us.rygsøjle rg	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., funkt undersøgelse rygsøjle rg
11	754	Diagn. radiologi Kbh., galdeblære	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., galdeblære
12	755	Diagn. radiologi Kbh., haleben	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., haleben
13	756	Diagn. radiologi Kbh., hals	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., hals
14	757	Diagn. radiologi Kbh., halshvirvler	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., halshvirvler
15	758	Diagn. radiologi Kbh., hystero-slapingograf	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., hystero-slapingograf
16	759	Diagn. radiologi Kbh., hånd/håndled	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., hånd/håndled
17	760	Diagn. radiologi Kbh., knæ	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., knæ
18	761	Diagn. radiologi Kbh., kranium	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., kranium
19	762	Diagn. radiologi Kbh., kæbeled	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., kæbeled
20	763	Diagn. radiologi Kbh., lår og hofteled	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., lår og hofteled
21	765	Diagn. radiologi Kbh., mammae	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., mammae
22	766	Diagn. radiologi Kbh., mammografi	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., mammografi
23	767	Diagn. radiologi Kbh., mave m.tolvfingtarm	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., mave med tolvfingtarm
24	768	Diagn. radiologi Kbh., nedre abdomen	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., nedre abdomen
25	769	Diagn. radiologi Kbh., nedre abdomen, blære	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., nedre abdomen, blære
26	770	Diagn. radiologi Kbh., nyrer	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., nyrer
27	771	Diagn. radiologi Kbh., overkæbe	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., overkæbe
28	772	Diagn. radiologi Kbh., sialografi	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., sialografi
29	773	Diagn. radiologi Kbh., skulderled og overar	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., skulderled og overar
30	774	Diagn. radiologi Kbh., spiserør	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., spiserør
31	775	Diagn. radiologi Kbh., testes	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., testes
32	776	Diagn. radiologi Kbh., trachea	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., trachea
33	777	Diagn. radiologi Kbh., udv.urologi tømnings	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., udv.urologi tømnings
