code,description
EDU_disced_0510,Førskoleuddannelser
EDU_disced_1001,Ingen uddannelse
EDU_disced_1010,Grundskole til og med 6. klasse
EDU_disced_1020,Grundskole 7.-9. klasse
EDU_disced_1030,Grundskole 10. klasse
EDU_disced_1040,Grundskolefag for voksne
EDU_disced_1510,Højskoleforløb
EDU_disced_1520,Introducerende og erhvervsrettede forløb
EDU_disced_2010,Alment gymnasiale uddannelser
EDU_disced_2020,Erhvervsrettede gymnasiale uddannelser
EDU_disced_2030,Internationale gymnasiale uddannelser
EDU_disced_2510,Danskundervisning ved sprogcentre
EDU_disced_2910,"Omsorg, sundhed og pædagogik (OSP), grundforløb"
EDU_disced_2915,"Kontor, handel og forretningsservice (KHF), grundforløb"
EDU_disced_2920,"Fødevarer, jordbrug og oplevelser (FJO), grundforløb"
EDU_disced_2925,"Teknologi, byggeri og transport (TBT), grundforløb"
EDU_disced_3010,"Omsorg, sundhed og pædagogik (OSP)"
EDU_disced_3015,"Kontor, handel og forretningsservice (KHF)"
EDU_disced_3020,Fødevarer mv. (FJO)
EDU_disced_3025,Jordbrug og natur (FJO)
EDU_disced_3030,Oplevelsesområdet (FJO)
EDU_disced_3035,Byggeriområdet (TBT)
EDU_disced_3040,"Teknologiområdet, strøm og elektronik mv. (TBT)"
EDU_disced_3045,"Teknologiområdet, grafisk teknik og medieproduktion (TBT)"
EDU_disced_3050,"Teknologiområdet, cykel-, auto- og skibsmekanik mv. (TBT)"
EDU_disced_3055,"Teknologiområdet, maskinteknik og produktion (TBT)"
EDU_disced_3060,Teknik- og industriuddannelser i øvrigt (TBT)
EDU_disced_3065,Transport og logistikområdet (TBT)
EDU_disced_3090,Andre erhvervsfaglige uddannelser
EDU_disced_3091,Grundforløb
EDU_disced_3097,Erhvervsfaglige uddannelser uden nærmere angivelse
EDU_disced_3510,Gymnasial supplering
EDU_disced_3520,Adgangseksamen - videregående uddannelse
EDU_disced_3910,"Omsorg, sundhed og pædagogik, AMU"
