code,description
EDU_audd_154,Samfundsvidensk.una - udvekslingstud. (ml.lang vidg.)
EDU_audd_1540,3-årig hf
EDU_audd_1541,1. hf
EDU_audd_1542,2. hf
EDU_audd_1543,2-årig hf
EDU_audd_1549,HF-enkeltfag
EDU_audd_155,Teknisk una - udvekslingstud. (ml.lang vidg.)
EDU_audd_1551,"1. år, studenterkursus matematik-fysik"
EDU_audd_1552,"1. år, studenterkursus matematik-naturfag"
EDU_audd_1553,"1. år, studenterkursus matematik-samfundsfag"
EDU_audd_1555,"1. år, studenterkursus matematik-forsøg"
EDU_audd_1559,"1. år, studenterkursus matematik"
EDU_audd_156,Levnedsm./ernæring una - udvekslingstud. (ml.lang vidg.)
EDU_audd_1561,"1. år, studenterkursus nysproglig"
EDU_audd_1562,"1. år, studenterkursus klassisksproglig"
EDU_audd_1563,"1. år, studenterkursus samfundsfag-sproglig"
EDU_audd_1565,"1. år, studenterkursus sproglig-forsøg"
EDU_audd_1569,"1. år, studenterkursus sproglig"
EDU_audd_159,Sundhed una - udvekslingstud. (ml.lang vidg.)
EDU_audd_161,Humanistisk una - udvekslingstud. (bachelor)
EDU_audd_162,Kunstnerisk una - udvekslingstud. (bachelor)
EDU_audd_163,Naturvidenskab una - udvekslingstud. (bachelor)
EDU_audd_164,Samfundsvidenskab una - udvekslingstud. (bachelor)
EDU_audd_165,Teknisk una- udvekslingstud. (bachelor)
EDU_audd_1650,"1. år, studenterkursus"
EDU_audd_1651,"2. år, studenterkursus"
EDU_audd_1652,Studenterkursus
EDU_audd_167,Jordbrugsvidenskab una - udvekslingstud. (bachelor)
EDU_audd_1671,"2. år, studenterkursus matematik-fysik"
EDU_audd_1672,"2. år, studenterkursus matematik-naturfag"
EDU_audd_1673,"2. år, studenterkursus matematik-samfundsfag"
EDU_audd_1679,"2. år, studenterkursus matematik"
EDU_audd_1681,"2. år, studenterkursus nysproglig"
EDU_audd_1682,"2. år, studenterkursus klassisksproglig"
EDU_audd_1683,"2. år, studenterkursus samfundsfag-sproglig"
EDU_audd_1689,"2. år, studenterkursus sproglig"
EDU_audd_170,Pædagogisk una - udvekslingstud.(lang vidg.)
EDU_audd_171,Humanistisk-teologisk una - udvekslingstud. (lang vidg.)
EDU_audd_172,Kunstnerisk una - udvekslingstud. (lang vidg.)
EDU_audd_1721,"1. år, realkursus 3-årigt"
EDU_audd_1722,"2. år, realkursus 3-årigt"
EDU_audd_1723,"3. år, realkursus 3-årigt"
EDU_audd_173,Naturvidenskab una- udvekslingstud. (lang vidg.)
EDU_audd_174,Samfundsvidenskab una - udvekslingstud. (lang vidg.)
EDU_audd_175,Teknisk una - udvekslingstud. (lang vidg.)
EDU_audd_176,Levnedsm./ernæring una - udvekslingstud. (lang vidg.)
EDU_audd_177,Jordbrugsvidenskab una - udvekslingstud. (lang vidg.)
EDU_audd_179,Sundhed una - udvekslingstud. (lang vidg.)
EDU_audd_1879,Matematisk studenterkursus
EDU_audd_1881,"1. år, EB"
EDU_audd_1882,"2. år, EB"
EDU_audd_1883,"3. år, EB"
EDU_audd_1889,Sproglig studenterkursus
EDU_audd_1891,"1.g, pre-IB"
EDU_audd_1892,"2.g, IB år 1"
EDU_audd_1893,"3.g, IB år 2"
EDU_audd_1896,"1. år, anden international studentereksamen"
EDU_audd_1897,"2. år, anden international studentereksamen"
EDU_audd_1898,"3. år, anden international studentereksamen"
EDU_audd_1899,International studentereksamen
EDU_audd_1901,Produktionsskole
EDU_audd_1984,"Vuggestue mv., førskoleuddannelse"
EDU_audd_1985,"Børnehave mv., førskoleuddannelse"
EDU_audd_2,Ikke igang
EDU_audd_200,1-6 år ivu
