code,description
DEM_kom_10,Sømandsskattekontoret
DEM_kom_101,København
DEM_kom_11,Told og Skattestyrelsen
DEM_kom_12,ATP
DEM_kom_147,Frederiksberg
DEM_kom_151,Ballerup
DEM_kom_153,Brøndby
DEM_kom_155,Dragør
DEM_kom_157,Gentofte
DEM_kom_159,Gladsaxe
DEM_kom_161,Glostrup
DEM_kom_163,Herlev
DEM_kom_165,Albertslund
DEM_kom_167,Hvidovre
DEM_kom_169,"['Høje Tåstrup', 'Høje-Taastrup']"
DEM_kom_171,Ledøje-Smørum
DEM_kom_173,"['Lyngby-Tårbæk', 'Lyngby-Taarbæk']"
DEM_kom_175,Rødovre
DEM_kom_181,Søllerød
DEM_kom_183,Ishøj
DEM_kom_185,Tårnby
DEM_kom_187,Vallensbæk
DEM_kom_189,Værløse
DEM_kom_19,Administrativ (Sygehusene)
DEM_kom_190,Furesø
DEM_kom_201,Allerød
DEM_kom_205,Birkerød
DEM_kom_207,Farum
DEM_kom_208,Fredensborg-Humlebæk
DEM_kom_209,Frederikssund
DEM_kom_210,Fredensborg
DEM_kom_211,Frederiksværk
DEM_kom_213,Græsted-Gilleleje
DEM_kom_215,Helsinge
DEM_kom_217,Helsingør
DEM_kom_219,Hillerød
DEM_kom_221,Hundested
DEM_kom_223,Hørsholm
DEM_kom_225,Jægerspris
DEM_kom_227,Karlebo
DEM_kom_229,Skibby
DEM_kom_230,Rudersdal
DEM_kom_231,Skævinge
DEM_kom_233,Slangerup
DEM_kom_235,Stenløse
DEM_kom_237,Ølstykke
DEM_kom_240,Egedal
DEM_kom_250,Frederikssund
DEM_kom_251,Bramsnæs
DEM_kom_253,Greve
DEM_kom_255,Gundsø
DEM_kom_257,Hvalsø
DEM_kom_259,Køge
DEM_kom_260,Halsnæs
DEM_kom_261,Lejre
DEM_kom_263,Ramsø
DEM_kom_265,Roskilde
DEM_kom_267,Skovbo
DEM_kom_269,Solrød
DEM_kom_270,Gribskov
DEM_kom_271,Vallø
DEM_kom_301,Bjergsted
DEM_kom_303,Dianalund
DEM_kom_305,Dragsholm
DEM_kom_306,Odsherred
DEM_kom_307,Fuglebjerg
DEM_kom_309,Gørlev
DEM_kom_311,Hashøj
DEM_kom_313,Haslev
DEM_kom_315,Holbæk
DEM_kom_316,Holbæk
DEM_kom_317,Hvidebæk
DEM_kom_319,Høng
DEM_kom_320,Faxe
DEM_kom_321,Jernløse
DEM_kom_323,Kalundborg
DEM_kom_325,Korsør
DEM_kom_326,Kalundborg
DEM_kom_327,Nykøbing-Rørvig
DEM_kom_329,Ringsted
DEM_kom_330,Slagelse
DEM_kom_331,Skælskør
DEM_kom_333,Slagelse
DEM_kom_335,Sorø
DEM_kom_336,Stevns
DEM_kom_337,Stenlille
DEM_kom_339,Svinninge
DEM_kom_340,Sorø
DEM_kom_341,Tornved
DEM_kom_343,Trundholm
DEM_kom_345,Tølløse
DEM_kom_350,Lejre
DEM_kom_351,Fakse
DEM_kom_353,Fladså
DEM_kom_355,Holeby
DEM_kom_357,Holmegård
DEM_kom_359,Højreby
DEM_kom_360,Lolland
DEM_kom_361,Langebæk
DEM_kom_363,Maribo
DEM_kom_365,Møn
DEM_kom_367,Nakskov
DEM_kom_369,Nykøbing F.
DEM_kom_370,Næstved
DEM_kom_371,Nysted
DEM_kom_373,Næstved
DEM_kom_375,Nørre Alslev
DEM_kom_376,Guldborgsund
DEM_kom_377,Præstø
DEM_kom_379,Ravnsborg
DEM_kom_381,Rudbjerg
DEM_kom_383,Rødby
DEM_kom_385,Rønnede
DEM_kom_387,Sakskøbing
DEM_kom_389,Stevns
DEM_kom_390,Vordingborg
DEM_kom_391,Stubbekøbing
DEM_kom_393,Suså
DEM_kom_395,Sydfalster
DEM_kom_397,Vordingborg
DEM_kom_400,"['Bornholms regionskommune', 'Bornholm']"
DEM_kom_401,Allinge-Gudhjem
DEM_kom_403,Hasle
DEM_kom_405,Neksø
DEM_kom_407,Rønne
DEM_kom_409,Aakirkeby
DEM_kom_410,Middelfart
DEM_kom_411,Christiansø
DEM_kom_420,Assens
DEM_kom_421,Assens
DEM_kom_423,Bogense
DEM_kom_425,Broby
DEM_kom_427,Egebjerg
DEM_kom_429,Ejby
DEM_kom_430,Faaborg-Midtfyn
DEM_kom_431,Faaborg
DEM_kom_433,Glamsbjerg
DEM_kom_435,Gudme
DEM_kom_437,Haarby
DEM_kom_439,Kerteminde
DEM_kom_440,Kerteminde
DEM_kom_441,Langeskov
DEM_kom_443,Marstal
DEM_kom_445,Middelfart
DEM_kom_447,Munkebo
DEM_kom_449,Nyborg
DEM_kom_450,Nyborg
DEM_kom_451,Nørre Aaby
DEM_kom_461,Odense
DEM_kom_471,Otterup
DEM_kom_473,Ringe
DEM_kom_475,Rudkøbing
DEM_kom_477,Ryslinge
DEM_kom_479,Svendborg
DEM_kom_480,Nordfyns
