code,description
LAB_disco_325,Andet tekniker- og assistentarbejde inden for sundhedsområdet
LAB_disco_331,"Arbejde med finans, regnskab og matematik"
LAB_disco_332,Agent- og mæglerarbejde inden for salg og indkøb
LAB_disco_333,Arbejde inden for forretningsservice
LAB_disco_334,Administrativt sekretærarbejde
LAB_disco_335,Arbejde med forvaltning og udøvelse af lovgivning
LAB_disco_341,Arbejde inden for jura og samfundsforhold
LAB_disco_342,Arbejde med sport og fitness
LAB_disco_343,"Arbejde inden for kunstneriske, kulturelle og kulinariske områder"
LAB_disco_351,Driftsteknikerarbejde og brugersupportarbejde inden for informations- og kommunikationsteknologi
LAB_disco_352,Teknikerarbejde inden for audiovisuelle medier og telekommunikation
LAB_disco_411,Almindeligt kontorarbejde
LAB_disco_412,Almindeligt sekretærarbejde
LAB_disco_413,Indtastningsarbejde
LAB_disco_421,Kasserer- og inkassatorarbejde samt beslægtede funktioner
LAB_disco_422,Kundeinformationsarbejde
LAB_disco_431,Almindeligt beregningsarbejde
LAB_disco_432,Kontorarbejde inden for materialeregistrering og transport
LAB_disco_441,Andet almindeligt kontor- og kundeservicearbejde
LAB_disco_511,Service- og kontrolarbejde under transport og rejser
LAB_disco_512,Kokkearbejde
LAB_disco_513,Tjenere og bartendere
LAB_disco_514,Frisørarbejde og kosmetologarbejde samt beslægtede funktioner
LAB_disco_515,"Inspektørarbejde inden for rengøring, husholdning og ejendomme"
LAB_disco_516,Andet servicearbejde
LAB_disco_521,Salgsarbejde på gade og marked
LAB_disco_522,Salgsarbejde i butik
LAB_disco_523,Kasseassistentarbejde og beslægtet kundebetjening
LAB_disco_524,Andet salgsarbejde
LAB_disco_531,Børneomsorgsarbejde og hjælpelærerarbejde
LAB_disco_532,Omsorgsarbejde inden for sundhedsområdet
LAB_disco_541,Rednings- og overvågningsarbejde
LAB_disco_611,Arbejde med plantevækst
LAB_disco_612,Arbejde med dyreopdræt
LAB_disco_613,Arbejde med dyrkning af plantevækst og opdræt af dyr
LAB_disco_621,Skovbrugsarbejde
LAB_disco_622,Arbejde med fiskeri og jagt
LAB_disco_711,Bygningsarbejde (ekskl. medhjælpere) - basis
LAB_disco_712,Bygningsarbejde (ekskl. medhjælpere) - finish
LAB_disco_713,Malere og arbejde inden for rensning af bygninger
LAB_disco_721,"Pladearbejde, svejsning og beslægtede funktioner"
LAB_disco_722,"Smede, værktøjsmagere og beslægtede funktioner"
LAB_disco_723,Mekanikerarbejde
LAB_disco_731,Præcisionshåndværk
LAB_disco_732,Grafisk arbejde
LAB_disco_741,Installation- og reparation af elektrisk udstyr
LAB_disco_742,Installation og reparation af elektronik og telekommunikation
LAB_disco_751,Arbejde inden for nærings- og nydelsesmiddelområdet
LAB_disco_752,Håndværkspræget arbejde i træindustri
LAB_disco_753,Tekstil- og beklædningsarbejde
LAB_disco_754,Andet håndværkspræget arbejde
LAB_disco_811,Operatørarbejde ved anlæg i minedrift og råstofudvinding
LAB_disco_812,Operatørarbejde ved forarbejdning og færdiggørelse af metal
LAB_disco_813,Operatørarbejde ved fremstilling af kemiske og fotografiske produkter
LAB_disco_814,"Operatører af maskiner til fremstilling af gummi-, plastik- og papirprodukter"
LAB_disco_815,"Operatørarbejde ved fremstilling af tekstil-, pels- og læderprodukter"
LAB_disco_816,Operatørarbejde ved fremstilling af nærings- og nydelsesmidler
LAB_disco_817,Operatørarbejde ved træforarbejdning og papirfremstilling
LAB_disco_818,Andet operatørarbejde ved stationære anlæg og maskiner
LAB_disco_821,Monteringsarbejde
LAB_disco_831,Lokomotivførerarbejde og tograngering
LAB_disco_832,"Chauffører af biler, varevogne og motorcykler"
LAB_disco_833,Chauffører af busser og lastbiler
LAB_disco_834,Førere af mobile maskiner
LAB_disco_835,Dæksarbejde og medhjælp om bord på skibe
LAB_disco_911,"Rengøringsarbejde i private hjem, hoteller og kontorer"
LAB_disco_912,"Manuelt rengøringsarbejde af køretøjer, vinduer, vasketøj og andet"
LAB_disco_921,"Manuelt arbejde inden for landbrug, skovbrug og fiskeri"
LAB_disco_931,Manuelt arbejde inden for råstofudvinding og bygge- og anlægssektoren
LAB_disco_932,Manuelt produktionsarbejde
LAB_disco_933,Transport- og lagerarbejde
LAB_disco_941,Manuelt arbejde med tilberedning af mad
LAB_disco_951,Servicearbejde på gaden
LAB_disco_952,Gadesalg (undtagen madvarer)
LAB_disco_961,Renovationsarbejde
LAB_disco_962,Andet manuelt arbejde
LAB_disco_1111,Øverste ledelse i lovgivende myndigheder
LAB_disco_1112,Øverste ledelse i offentlige virksomheder
LAB_disco_1114,Øverste ledelse i interesseorganisationer
LAB_disco_1120,Øverste virksomhedsledelse
LAB_disco_1211,Ledelse inden for økonomifunktioner
LAB_disco_1212,Ledelse inden for HR-funktioner
LAB_disco_1213,Ledelse inden for offentlig administration og virksomhedsstrategi/policy området
LAB_disco_1219,Ledelse inden for anden forretningsservice og andre administrative funktioner
LAB_disco_1221,Ledelse af salg og marketing
LAB_disco_1222,Ledelse af reklame og PR
LAB_disco_1223,Ledelse af kommerciel forskning og udvikling
LAB_disco_1311,Ledelse af produktion i landbrug og skovbrug
LAB_disco_1312,Ledelse af produktion inden for akvakultur og fiskeri
LAB_disco_1321,"Ledelse af hovedaktiviteten inden for fremstillingsvirksomhed (undtagen landbrug, skovbrug og fiskeri)"
LAB_disco_1322,Ledelse af hovedaktiviteten inden for råstofudvinding
LAB_disco_1323,Ledelse af hovedaktiviteten inden for bygge- og anlægsvirksomhed
LAB_disco_1324,"Ledelse af hovedaktiviteten inden for forsyning, distribution o.l."
LAB_disco_1330,Ledelse af hovedaktiviteten inden for informations- og kommunikationsteknologi
LAB_disco_1341,Ledelse af hovedaktiviteten inden for pædagogisk arbejde med og omsorg for børn
LAB_disco_1342,Ledelse af hovedaktiviteten inden for sundhedsområdet
LAB_disco_1343,Ledelse af hovedaktiviteten inden for ældreplejen
LAB_disco_1344,Ledelse af hovedaktiviteten inden for det sociale område
LAB_disco_1345,Ledelse af hovedaktiviteten inden for undervisningsområdet
LAB_disco_1346,Ledelse af hovedaktiviteten inden for finans- og forsikringsområdet
LAB_disco_1349,Anden ledelse af hovedaktiviteten inden for servicefag
LAB_disco_1411,Ledelse af hovedaktiviteten af hoteller
LAB_disco_1412,Ledelse af hovedaktiviteten inden for restauration
LAB_disco_1420,Ledelse af hovedaktiviteten inden for detail- og engroshandel
