code,description
DEM_vaegt_barn_Q1,Birth weight - 1th percentile (newborns)
DEM_vaegt_barn_Q2,Birth weight - 2th percentile (newborns)
DEM_vaegt_barn_Q3,Birth weight - 3th percentile (newborns)
DEM_vaegt_barn_Q4,Birth weight - 4th percentile (newborns)
DEM_vaegt_barn_Q5,Birth weight - 5th percentile (newborns)
DEM_vaegt_barn_Q6,Birth weight - 6th percentile (newborns)
DEM_vaegt_barn_Q7,Birth weight - 7th percentile (newborns)
DEM_vaegt_barn_Q8,Birth weight - 8th percentile (newborns)
DEM_vaegt_barn_Q9,Birth weight - 9th percentile (newborns)
DEM_vaegt_barn_Q10,Birth weight - 10th percentile (newborns)
DEM_vaegt_barn_Q11,Birth weight - 11th percentile (newborns)
DEM_vaegt_barn_Q12,Birth weight - 12th percentile (newborns)
DEM_vaegt_barn_Q13,Birth weight - 13th percentile (newborns)
DEM_vaegt_barn_Q14,Birth weight - 14th percentile (newborns)
DEM_vaegt_barn_Q15,Birth weight - 15th percentile (newborns)
DEM_vaegt_barn_Q16,Birth weight - 16th percentile (newborns)
DEM_vaegt_barn_Q17,Birth weight - 17th percentile (newborns)
DEM_vaegt_barn_Q18,Birth weight - 18th percentile (newborns)
DEM_vaegt_barn_Q19,Birth weight - 19th percentile (newborns)
DEM_vaegt_barn_Q20,Birth weight - 20th percentile (newborns)
DEM_vaegt_barn_Q21,Birth weight - 21th percentile (newborns)
DEM_vaegt_barn_Q22,Birth weight - 22th percentile (newborns)
DEM_vaegt_barn_Q23,Birth weight - 23th percentile (newborns)
DEM_vaegt_barn_Q24,Birth weight - 24th percentile (newborns)
DEM_vaegt_barn_Q25,Birth weight - 25th percentile (newborns)
DEM_vaegt_barn_Q26,Birth weight - 26th percentile (newborns)
DEM_vaegt_barn_Q27,Birth weight - 27th percentile (newborns)
DEM_vaegt_barn_Q28,Birth weight - 28th percentile (newborns)
DEM_vaegt_barn_Q29,Birth weight - 29th percentile (newborns)
DEM_vaegt_barn_Q30,Birth weight - 30th percentile (newborns)
DEM_vaegt_barn_Q31,Birth weight - 31th percentile (newborns)
DEM_vaegt_barn_Q32,Birth weight - 32th percentile (newborns)
DEM_vaegt_barn_Q33,Birth weight - 33th percentile (newborns)
DEM_vaegt_barn_Q34,Birth weight - 34th percentile (newborns)
DEM_vaegt_barn_Q35,Birth weight - 35th percentile (newborns)
DEM_vaegt_barn_Q36,Birth weight - 36th percentile (newborns)
DEM_vaegt_barn_Q37,Birth weight - 37th percentile (newborns)
DEM_vaegt_barn_Q38,Birth weight - 38th percentile (newborns)
DEM_vaegt_barn_Q39,Birth weight - 39th percentile (newborns)
DEM_vaegt_barn_Q40,Birth weight - 40th percentile (newborns)
DEM_vaegt_barn_Q41,Birth weight - 41th percentile (newborns)
DEM_vaegt_barn_Q42,Birth weight - 42th percentile (newborns)
DEM_vaegt_barn_Q43,Birth weight - 43th percentile (newborns)
DEM_vaegt_barn_Q44,Birth weight - 44th percentile (newborns)
DEM_vaegt_barn_Q45,Birth weight - 45th percentile (newborns)
DEM_vaegt_barn_Q46,Birth weight - 46th percentile (newborns)
DEM_vaegt_barn_Q47,Birth weight - 47th percentile (newborns)
DEM_vaegt_barn_Q48,Birth weight - 48th percentile (newborns)
DEM_vaegt_barn_Q49,Birth weight - 49th percentile (newborns)
DEM_vaegt_barn_Q50,Birth weight - 50th percentile (newborns)
DEM_vaegt_barn_Q51,Birth weight - 51th percentile (newborns)
DEM_vaegt_barn_Q52,Birth weight - 52th percentile (newborns)
DEM_vaegt_barn_Q53,Birth weight - 53th percentile (newborns)
DEM_vaegt_barn_Q54,Birth weight - 54th percentile (newborns)
DEM_vaegt_barn_Q55,Birth weight - 55th percentile (newborns)
DEM_vaegt_barn_Q56,Birth weight - 56th percentile (newborns)
DEM_vaegt_barn_Q57,Birth weight - 57th percentile (newborns)
DEM_vaegt_barn_Q58,Birth weight - 58th percentile (newborns)
DEM_vaegt_barn_Q59,Birth weight - 59th percentile (newborns)
DEM_vaegt_barn_Q60,Birth weight - 60th percentile (newborns)
DEM_vaegt_barn_Q61,Birth weight - 61th percentile (newborns)
DEM_vaegt_barn_Q62,Birth weight - 62th percentile (newborns)
DEM_vaegt_barn_Q63,Birth weight - 63th percentile (newborns)
DEM_vaegt_barn_Q64,Birth weight - 64th percentile (newborns)
DEM_vaegt_barn_Q65,Birth weight - 65th percentile (newborns)
DEM_vaegt_barn_Q66,Birth weight - 66th percentile (newborns)
DEM_vaegt_barn_Q67,Birth weight - 67th percentile (newborns)
DEM_vaegt_barn_Q68,Birth weight - 68th percentile (newborns)
DEM_vaegt_barn_Q69,Birth weight - 69th percentile (newborns)
DEM_vaegt_barn_Q70,Birth weight - 70th percentile (newborns)
DEM_vaegt_barn_Q71,Birth weight - 71th percentile (newborns)
DEM_vaegt_barn_Q72,Birth weight - 72th percentile (newborns)
DEM_vaegt_barn_Q73,Birth weight - 73th percentile (newborns)
DEM_vaegt_barn_Q74,Birth weight - 74th percentile (newborns)
DEM_vaegt_barn_Q75,Birth weight - 75th percentile (newborns)
DEM_vaegt_barn_Q76,Birth weight - 76th percentile (newborns)
DEM_vaegt_barn_Q77,Birth weight - 77th percentile (newborns)
DEM_vaegt_barn_Q78,Birth weight - 78th percentile (newborns)
DEM_vaegt_barn_Q79,Birth weight - 79th percentile (newborns)
DEM_vaegt_barn_Q80,Birth weight - 80th percentile (newborns)
DEM_vaegt_barn_Q81,Birth weight - 81th percentile (newborns)
DEM_vaegt_barn_Q82,Birth weight - 82th percentile (newborns)
DEM_vaegt_barn_Q83,Birth weight - 83th percentile (newborns)
DEM_vaegt_barn_Q84,Birth weight - 84th percentile (newborns)
DEM_vaegt_barn_Q85,Birth weight - 85th percentile (newborns)
DEM_vaegt_barn_Q86,Birth weight - 86th percentile (newborns)
DEM_vaegt_barn_Q87,Birth weight - 87th percentile (newborns)
DEM_vaegt_barn_Q88,Birth weight - 88th percentile (newborns)
DEM_vaegt_barn_Q89,Birth weight - 89th percentile (newborns)
DEM_vaegt_barn_Q90,Birth weight - 90th percentile (newborns)
DEM_vaegt_barn_Q91,Birth weight - 91th percentile (newborns)
DEM_vaegt_barn_Q92,Birth weight - 92th percentile (newborns)
DEM_vaegt_barn_Q93,Birth weight - 93th percentile (newborns)
DEM_vaegt_barn_Q94,Birth weight - 94th percentile (newborns)
DEM_vaegt_barn_Q95,Birth weight - 95th percentile (newborns)
DEM_vaegt_barn_Q96,Birth weight - 96th percentile (newborns)
DEM_vaegt_barn_Q97,Birth weight - 97th percentile (newborns)
DEM_vaegt_barn_Q98,Birth weight - 98th percentile (newborns)
DEM_vaegt_barn_Q99,Birth weight - 99th percentile (newborns)
DEM_vaegt_barn_Q100,Birth weight - 100th percentile (newborns)
