code,prefix,database,value,description,source,confidence,language
EDU_ects_Q69,EDU,ects,Q69,ECTS credits percentile: Q69,enhanced_english,medium,english
EDU_ects_Q7,EDU,ects,Q7,ECTS credits percentile: Q7,enhanced_english,medium,english
EDU_ects_Q70,EDU,ects,Q70,ECTS credits percentile: Q70,enhanced_english,medium,english
EDU_ects_Q71,EDU,ects,Q71,ECTS credits percentile: Q71,enhanced_english,medium,english
EDU_ects_Q72,EDU,ects,Q72,ECTS credits percentile: Q72,enhanced_english,medium,english
EDU_ects_Q73,EDU,ects,Q73,ECTS credits percentile: Q73,enhanced_english,medium,english
EDU_ects_Q74,EDU,ects,Q74,ECTS credits percentile: Q74,enhanced_english,medium,english
EDU_ects_Q75,EDU,ects,Q75,ECTS credits percentile: Q75,enhanced_english,medium,english
EDU_ects_Q76,EDU,ects,Q76,ECTS credits percentile: Q76,enhanced_english,medium,english
EDU_ects_Q77,EDU,ects,Q77,ECTS credits percentile: Q77,enhanced_english,medium,english
EDU_ects_Q78,EDU,ects,Q78,ECTS credits percentile: Q78,enhanced_english,medium,english
EDU_ects_Q79,EDU,ects,Q79,ECTS credits percentile: Q79,enhanced_english,medium,english
EDU_ects_Q8,EDU,ects,Q8,ECTS credits percentile: Q8,enhanced_english,medium,english
EDU_ects_Q80,EDU,ects,Q80,ECTS credits percentile: Q80,enhanced_english,medium,english
EDU_ects_Q81,EDU,ects,Q81,ECTS credits percentile: Q81,enhanced_english,medium,english
EDU_ects_Q82,EDU,ects,Q82,ECTS credits percentile: Q82,enhanced_english,medium,english
EDU_ects_Q83,EDU,ects,Q83,ECTS credits percentile: Q83,enhanced_english,medium,english
EDU_ects_Q84,EDU,ects,Q84,ECTS credits percentile: Q84,enhanced_english,medium,english
EDU_ects_Q85,EDU,ects,Q85,ECTS credits percentile: Q85,enhanced_english,medium,english
EDU_ects_Q86,EDU,ects,Q86,ECTS credits percentile: Q86,enhanced_english,medium,english
EDU_ects_Q87,EDU,ects,Q87,ECTS credits percentile: Q87,enhanced_english,medium,english
EDU_ects_Q88,EDU,ects,Q88,ECTS credits percentile: Q88,enhanced_english,medium,english
EDU_ects_Q89,EDU,ects,Q89,ECTS credits percentile: Q89,enhanced_english,medium,english
EDU_ects_Q9,EDU,ects,Q9,ECTS credits percentile: Q9,enhanced_english,medium,english
EDU_ects_Q90,EDU,ects,Q90,ECTS credits percentile: Q90,enhanced_english,medium,english
EDU_ects_Q91,EDU,ects,Q91,ECTS credits percentile: Q91,enhanced_english,medium,english
EDU_ects_Q92,EDU,ects,Q92,ECTS credits percentile: Q92,enhanced_english,medium,english
EDU_ects_Q93,EDU,ects,Q93,ECTS credits percentile: Q93,enhanced_english,medium,english
EDU_ects_Q94,EDU,ects,Q94,ECTS credits percentile: Q94,enhanced_english,medium,english
EDU_ects_Q95,EDU,ects,Q95,ECTS credits percentile: Q95,enhanced_english,medium,english
EDU_ects_Q96,EDU,ects,Q96,ECTS credits percentile: Q96,enhanced_english,medium,english
EDU_ects_Q97,EDU,ects,Q97,ECTS credits percentile: Q97,enhanced_english,medium,english
EDU_ects_Q98,EDU,ects,Q98,ECTS credits percentile: Q98,enhanced_english,medium,english
EDU_ects_Q99,EDU,ects,Q99,ECTS credits percentile: Q99,enhanced_english,medium,english
