code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people,program_group,is_primary_code
LAB_kontanthj_13_Q90,LAB,kontanthj,13_Q90,Kontanthjælp (underhold/forsørgelse) — 90/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 90/100 kvantil,,,Cash assistance (subsistence/support) — 90/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,54315,45177,0.005004,,
LAB_kontanthj_13_Q24,LAB,kontanthj,13_Q24,Kontanthjælp (underhold/forsørgelse) — 24/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 24/100 kvantil,,,Cash assistance (subsistence/support) — 24/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,81687,77509,0.008585,,
LAB_kontanthj_13_Q51,LAB,kontanthj,13_Q51,Kontanthjælp (underhold/forsørgelse) — 51/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 51/100 kvantil,,,Cash assistance (subsistence/support) — 51/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,47855,45512,0.005041,,
LAB_kontanthj_13_Q25,LAB,kontanthj,13_Q25,Kontanthjælp (underhold/forsørgelse) — 25/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 25/100 kvantil,,,Cash assistance (subsistence/support) — 25/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,88343,83696,0.00927,,
LAB_kontanthj_13_Q20,LAB,kontanthj,13_Q20,Kontanthjælp (underhold/forsørgelse) — 20/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 20/100 kvantil,,,Cash assistance (subsistence/support) — 20/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,103581,96297,0.010666,,
LAB_kontanthj_13_Q21,LAB,kontanthj,13_Q21,Kontanthjælp (underhold/forsørgelse) — 21/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 21/100 kvantil,,,Cash assistance (subsistence/support) — 21/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,96574,90503,0.010024,,
LAB_kontanthj_13_Q67,LAB,kontanthj,13_Q67,Kontanthjælp (underhold/forsørgelse) — 67/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 67/100 kvantil,,,Cash assistance (subsistence/support) — 67/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,48013,45102,0.004995,,
LAB_kontanthj_13_Q3,LAB,kontanthj,13_Q3,Kontanthjælp (underhold/forsørgelse) — 3/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 3/100 kvantil,,,Cash assistance (subsistence/support) — 3/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,56150,48769,0.005402,,
LAB_kontanthj_13_Q19,LAB,kontanthj,13_Q19,Kontanthjælp (underhold/forsørgelse) — 19/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 19/100 kvantil,,,Cash assistance (subsistence/support) — 19/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,110444,102385,0.01134,,
LAB_kontanthj_13_Q7,LAB,kontanthj,13_Q7,Kontanthjælp (underhold/forsørgelse) — 7/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 7/100 kvantil,,,Cash assistance (subsistence/support) — 7/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,122758,110488,0.012237,,
