code,prefix,database,value,description,source,confidence,language
EDU_udd_1154,EDU,udd,1154,"2.g, matematisk-musisk linie",pt_dictionaries,highest,danish
EDU_udd_1155,EDU,udd,1155,"2.g, matematisk forsøgslinie",pt_dictionaries,highest,danish
EDU_udd_1161,EDU,udd,1161,"2.g, nysproglig linie",pt_dictionaries,highest,danish
EDU_udd_1162,EDU,udd,1162,"2.g, klassisksproglig linie",pt_dictionaries,highest,danish
EDU_udd_1163,EDU,udd,1163,"2.g, samfundssproglig linie",pt_dictionaries,highest,danish
EDU_udd_1164,EDU,udd,1164,"2.g, musiksproglig linie",pt_dictionaries,highest,danish
EDU_udd_1165,EDU,udd,1165,"2.g, sproglig forsøgslinie",pt_dictionaries,highest,danish
EDU_udd_1169,EDU,udd,1169,"3.g, matematisk-sproglig fælleslinie",pt_dictionaries,highest,danish
EDU_udd_1171,EDU,udd,1171,"3.g, matematisk-fysisk linie",pt_dictionaries,highest,danish
EDU_udd_1172,EDU,udd,1172,"3.g, matematisk-naturfaglig linie",pt_dictionaries,highest,danish
EDU_udd_1173,EDU,udd,1173,"3.g, matematisk-samfundsfaglig linie",pt_dictionaries,highest,danish
EDU_udd_1174,EDU,udd,1174,"3.g, matematisk-musisk linie",pt_dictionaries,highest,danish
EDU_udd_1175,EDU,udd,1175,"3.g, matematisk forsøgslinie",pt_dictionaries,highest,danish
EDU_udd_1179,EDU,udd,1179,Matematisk gymnasium,pt_dictionaries,highest,danish
EDU_udd_1181,EDU,udd,1181,"3.g, nysproglig linie",pt_dictionaries,highest,danish
EDU_udd_1182,EDU,udd,1182,"3.g, klassisksproglig linie",pt_dictionaries,highest,danish
EDU_udd_1183,EDU,udd,1183,"3.g, samfundssproglig linie",pt_dictionaries,highest,danish
EDU_udd_1184,EDU,udd,1184,"3.g, musiksproglig linie",pt_dictionaries,highest,danish
EDU_udd_1185,EDU,udd,1185,"3.g, sproglig forsøgslinie",pt_dictionaries,highest,danish
EDU_udd_1189,EDU,udd,1189,Sproglig gymnasium,pt_dictionaries,highest,danish
EDU_udd_1190,EDU,udd,1190,Gymnasial indslusning for flygtninge GIF,pt_dictionaries,highest,danish
EDU_udd_1195,EDU,udd,1195,Gymnasial suppleringskursus GSK,pt_dictionaries,highest,danish
EDU_udd_1196,EDU,udd,1196,1.g,pt_dictionaries,highest,danish
EDU_udd_1197,EDU,udd,1197,2.g,pt_dictionaries,highest,danish
EDU_udd_1198,EDU,udd,1198,3.g,pt_dictionaries,highest,danish
EDU_udd_1199,EDU,udd,1199,Stx,pt_dictionaries,highest,danish
EDU_udd_1206,EDU,udd,1206,6. klasse,pt_dictionaries,highest,danish
EDU_udd_1207,EDU,udd,1207,7. klasse,pt_dictionaries,highest,danish
EDU_udd_1208,EDU,udd,1208,8. klasse,pt_dictionaries,highest,danish
EDU_udd_1209,EDU,udd,1209,9. klasse,pt_dictionaries,highest,danish
EDU_udd_1210,EDU,udd,1210,10. klasse,pt_dictionaries,highest,danish
EDU_udd_1301,EDU,udd,1301,Dansk 1,pt_dictionaries,highest,danish
EDU_udd_1302,EDU,udd,1302,Dansk 2,pt_dictionaries,highest,danish
EDU_udd_1303,EDU,udd,1303,Dansk 3,pt_dictionaries,highest,danish
EDU_udd_1305,EDU,udd,1305,Dansk uoplyst,pt_dictionaries,highest,danish
EDU_udd_1351,EDU,udd,1351,"Erhvervsintroduktion, kurser for unge",pt_dictionaries,highest,danish
EDU_udd_1352,EDU,udd,1352,"Erhvervsintroduktion, langtidsledige",pt_dictionaries,highest,danish
EDU_udd_1353,EDU,udd,1353,"Erhvervsintroduktion, kurser for kvinder",pt_dictionaries,highest,danish
EDU_udd_1354,EDU,udd,1354,"Erhvervsintroduktion, eifu/eifl-kurser",pt_dictionaries,highest,danish
EDU_udd_1355,EDU,udd,1355,"Erhvervsintroduktion, erhv.dk indvandrere",pt_dictionaries,highest,danish
EDU_udd_1356,EDU,udd,1356,"Erhvervsintroduktion, kurser for 10.kl.",pt_dictionaries,highest,danish
EDU_udd_1357,EDU,udd,1357,"Erhvervsintroduktion, specialklasser",pt_dictionaries,highest,danish
EDU_udd_1359,EDU,udd,1359,"Erhvervsintroduktion, inspirationskurser",pt_dictionaries,highest,danish
EDU_udd_1365,EDU,udd,1365,"Kreativ basis, grafisk åben uddannelse (GÅU)",pt_dictionaries,highest,danish
EDU_udd_141,EDU,udd,141,Formidl.-erhvervsspr. una - udvekslingstud. (kort vidg.),pt_dictionaries,highest,danish
EDU_udd_1410,EDU,udd,1410,1-årigt grundskolekursus,pt_dictionaries,highest,danish
EDU_udd_1423,EDU,udd,1423,1-årigt realkursus,pt_dictionaries,highest,danish
EDU_udd_144,EDU,udd,144,Samfundsfaglig una - udvekslingstud. (kort vidg.),pt_dictionaries,highest,danish
EDU_udd_145,EDU,udd,145,Teknisk una - udvekslingstud. (kort vidg.),pt_dictionaries,highest,danish
EDU_udd_146,EDU,udd,146,Levnedsm./husholdn. una - udvekslingstud. (kort vidg.),pt_dictionaries,highest,danish
EDU_udd_148,EDU,udd,148,Transport mv.una - udvekslingstud. (kort vidg.),pt_dictionaries,highest,danish
EDU_udd_150,EDU,udd,150,Pædagogisk una - udvekslingstud. (ml.lang vidg.),pt_dictionaries,highest,danish
EDU_udd_1509,EDU,udd,1509,"1. år, grundsskolekursus 2-årigt",pt_dictionaries,highest,danish
EDU_udd_151,EDU,udd,151,Formidl.-erhvervsspr. una- udvekslingstud. (ml.lang vidg.),pt_dictionaries,highest,danish
EDU_udd_1510,EDU,udd,1510,"2. år, grundsskolekursus 2-årigt",pt_dictionaries,highest,danish
EDU_udd_1511,EDU,udd,1511,Supplerende overbygningsforløb (SOF),pt_dictionaries,highest,danish
EDU_udd_152,EDU,udd,152,Kunstnerisk una - udvekslingstud. (ml.lang vidg.),pt_dictionaries,highest,danish
EDU_udd_1522,EDU,udd,1522,"1. år, realkursus 2-årigt",pt_dictionaries,highest,danish
