code,prefix,database,value,description,description_da,description_en,source,confidence,language,parent_code,hierarchy_level
EDU_audd_1146,EDU,audd,1146,"3.g, sproglig linie","3.g, sproglig linie",,CSV:EDU_audd,medium,danish,,
EDU_audd_6560,EDU,audd,6560,"Filologi klassisk, bach.","Filologi klassisk, bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_6766,EDU,audd,6766,"Filologi klassisk, cand.mag.","Filologi klassisk, cand.mag.",,CSV:EDU_audd,medium,danish,,
EDU_audd_4710,EDU,audd,4710,Det merkantile område,Det merkantile område,,CSV:EDU_audd,medium,danish,,
EDU_audd_5444,EDU,audd,5444,"Pædagog, prof.bach.","Pædagog, prof.bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_5124,EDU,audd,5124,Service- og oplevelsesøkonomi,Service- og oplevelsesøkonomi,,CSV:EDU_audd,medium,danish,,
EDU_audd_5491,EDU,audd,5491,"International hospitality management (overbygning), prof.bach.","International hospitality management (overbygning), prof.bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_7104,EDU,audd,7104,"Samfundsvidenskab una, bach.","Samfundsvidenskab una, bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_6723,EDU,audd,6723,"Filosofi, cand.mag.","Filosofi, cand.mag.",,CSV:EDU_audd,medium,danish,,
EDU_audd_4714,EDU,audd,4714,Håndværk og teknik,Håndværk og teknik,,CSV:EDU_audd,medium,danish,,
EDU_audd_4338,EDU,audd,4338,"Industritekniker, maskin","Industritekniker, maskin",,CSV:EDU_audd,medium,danish,,
EDU_audd_1532,EDU,audd,1532,2. hf,2. hf,,CSV:EDU_audd,medium,danish,,
EDU_audd_4926,EDU,audd,4926,"Detail, tekstil","Detail, tekstil",,CSV:EDU_audd,medium,danish,,
EDU_audd_4269,EDU,audd,4269,Anlægsstruktør,Anlægsstruktør,,CSV:EDU_audd,medium,danish,,
EDU_audd_5440,EDU,audd,5440,"Folkeskolelærer, prof.bach.","Folkeskolelærer, prof.bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_4248,EDU,audd,4248,Landbrugsmaskinmekaniker,Landbrugsmaskinmekaniker,,CSV:EDU_audd,medium,danish,,
EDU_audd_4737,EDU,audd,4737,Produktion og udvikling,Produktion og udvikling,,CSV:EDU_audd,medium,danish,,
EDU_audd_7618,EDU,audd,7618,"Teologi, cand.theol.","Teologi, cand.theol.",,CSV:EDU_audd,medium,danish,,
EDU_audd_9175,EDU,audd,9175,Præst i folkekirken,Præst i folkekirken,,CSV:EDU_audd,medium,danish,,
EDU_audd_6201,EDU,audd,6201,"Arkitekt, bach.","Arkitekt, bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_6202,EDU,audd,6202,"Arkitekt, cand.arch.","Arkitekt, cand.arch.",,CSV:EDU_audd,medium,danish,,
EDU_audd_4716,EDU,audd,4716,"Mekanik, transport og logistik","Mekanik, transport og logistik",,CSV:EDU_audd,medium,danish,,
EDU_audd_4731,EDU,audd,4731,Bygge og anlæg (ny),Bygge og anlæg (ny),,CSV:EDU_audd,medium,danish,,
EDU_audd_4278,EDU,audd,4278,Murer,Murer,,CSV:EDU_audd,medium,danish,,
EDU_audd_4725,EDU,audd,4725,Erhvervsgrunduddannelse EGU,Erhvervsgrunduddannelse EGU,,CSV:EDU_audd,medium,danish,,
EDU_audd_5860,EDU,audd,5860,"Officer, hæren","Officer, hæren",,CSV:EDU_audd,medium,danish,,
EDU_audd_4227,EDU,audd,4227,Plade- og konstruktionssmed,Plade- og konstruktionssmed,,CSV:EDU_audd,medium,danish,,
EDU_audd_4927,EDU,audd,4927,"Detail, møbler og boligudstyr","Detail, møbler og boligudstyr",,CSV:EDU_audd,medium,danish,,
EDU_audd_6050,EDU,audd,6050,"Medialogi, bach.","Medialogi, bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_5242,EDU,audd,5242,"Human-Centered Artificial Intelligence, cand.polyt.","Human-Centered Artificial Intelligence, cand.polyt.",,CSV:EDU_audd,medium,danish,,
EDU_audd_5166,EDU,audd,5166,"Sygeplejerske, prof.bach.","Sygeplejerske, prof.bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_4488,EDU,audd,4488,Frisør,Frisør,,CSV:EDU_audd,medium,danish,,
EDU_audd_5121,EDU,audd,5121,Finansøkonom,Finansøkonom,,CSV:EDU_audd,medium,danish,,
EDU_audd_5426,EDU,audd,5426,"Innovation og entrepreneurship (overbygning), prof.bach.","Innovation og entrepreneurship (overbygning), prof.bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_5123,EDU,audd,5123,Markedsføringsøkonom,Markedsføringsøkonom,,CSV:EDU_audd,medium,danish,,
EDU_audd_5703,EDU,audd,5703,"Erhvervsøkonomi, cand.merc.","Erhvervsøkonomi, cand.merc.",,CSV:EDU_audd,medium,danish,,
EDU_audd_6570,EDU,audd,6570,"Humanistisk una, bach.","Humanistisk una, bach.",,CSV:EDU_audd,medium,danish,,
