code,prefix,database,value,description,source,confidence,language
LAB_nace_159100,LAB,nace,159100,NACE industry code: 159100,enhanced_english,medium,english
LAB_nace_159300,LAB,nace,159300,NACE industry code: 159300,enhanced_english,medium,english
LAB_nace_159400,LAB,nace,159400,NACE industry code: 159400,enhanced_english,medium,english
LAB_nace_159500,LAB,nace,159500,NACE industry code: 159500,enhanced_english,medium,english
LAB_nace_159600,LAB,nace,159600,NACE industry code: 159600,enhanced_english,medium,english
LAB_nace_159700,LAB,nace,159700,NACE industry code: 159700,enhanced_english,medium,english
LAB_nace_159800,LAB,nace,159800,NACE industry code: 159800,enhanced_english,medium,english
LAB_nace_160000,LAB,nace,160000,NACE industry code: 160000,enhanced_english,medium,english
LAB_nace_171000,LAB,nace,171000,NACE industry code: 171000,enhanced_english,medium,english
LAB_nace_172000,LAB,nace,172000,NACE industry code: 172000,enhanced_english,medium,english
LAB_nace_173000,LAB,nace,173000,NACE industry code: 173000,enhanced_english,medium,english
LAB_nace_174010,LAB,nace,174010,NACE industry code: 174010,enhanced_english,medium,english
LAB_nace_174020,LAB,nace,174020,NACE industry code: 174020,enhanced_english,medium,english
LAB_nace_174090,LAB,nace,174090,NACE industry code: 174090,enhanced_english,medium,english
LAB_nace_175100,LAB,nace,175100,NACE industry code: 175100,enhanced_english,medium,english
LAB_nace_175210,LAB,nace,175210,NACE industry code: 175210,enhanced_english,medium,english
LAB_nace_175220,LAB,nace,175220,NACE industry code: 175220,enhanced_english,medium,english
LAB_nace_175300,LAB,nace,175300,NACE industry code: 175300,enhanced_english,medium,english
LAB_nace_175400,LAB,nace,175400,NACE industry code: 175400,enhanced_english,medium,english
LAB_nace_176000,LAB,nace,176000,NACE industry code: 176000,enhanced_english,medium,english
LAB_nace_177100,LAB,nace,177100,NACE industry code: 177100,enhanced_english,medium,english
LAB_nace_177200,LAB,nace,177200,NACE industry code: 177200,enhanced_english,medium,english
LAB_nace_181000,LAB,nace,181000,NACE industry code: 181000,enhanced_english,medium,english
LAB_nace_182100,LAB,nace,182100,NACE industry code: 182100,enhanced_english,medium,english
LAB_nace_182200,LAB,nace,182200,NACE industry code: 182200,enhanced_english,medium,english
LAB_nace_182210,LAB,nace,182210,NACE industry code: 182210,enhanced_english,medium,english
LAB_nace_182220,LAB,nace,182220,NACE industry code: 182220,enhanced_english,medium,english
LAB_nace_182230,LAB,nace,182230,NACE industry code: 182230,enhanced_english,medium,english
LAB_nace_182310,LAB,nace,182310,NACE industry code: 182310,enhanced_english,medium,english
