code,prefix,database,value,description,description_da,description_en,source,confidence,language,parent_code,hierarchy_level
SOC_start_drug_service_1,SOC,start,drug_service_1,Start of drug service,,Start of drug service,none|generated,medium,danish,,
SOC_start_precaution_1,SOC,start,precaution_1,Start of precaution,,Start of precaution,none|generated,medium,danish,,
