code,prefix,database,value,description,description_da,description_en,source,confidence,language,parent_code,hierarchy_level
LAB_db07_471110,LAB,db07,471110,Detailhandel fra ikke-specialiserede forretninger (via 471),Detailhandel fra ikke-specialiserede forretninger (via 471),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_47111,detail
LAB_db07_251100,LAB,db07,251100,Fremstilling af metalkonstruktioner (via 251),Fremstilling af metalkonstruktioner (via 251),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_25110,detail
LAB_db07_812100,LAB,db07,812100,Renhold (via 812),Renhold (via 812),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_81210,detail
LAB_db07_855900,LAB,db07,855900,Anden undervisning (via 855),Anden undervisning (via 855),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_85590,detail
LAB_db07_871010,LAB,db07,871010,Institutionsophold med sygepleje (via 871),Institutionsophold med sygepleje (via 871),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_87101,detail
LAB_db07_493200,LAB,db07,493200,Anden landpassagertransport (via 493),Anden landpassagertransport (via 493),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_49320,detail
LAB_db07_493110,LAB,db07,493110,Anden landpassagertransport (via 493),Anden landpassagertransport (via 493),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_49311,detail
LAB_db07_561010,LAB,db07,561010,Restauranter og levering af mad ud af huset (via 561),Restauranter og levering af mad ud af huset (via 561),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_56101,detail
LAB_db07_841100,LAB,db07,841100,Forvaltning af staten og den økonomiske og sociale politik (via 841),Forvaltning af staten og den økonomiske og sociale politik (via 841),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_84110,detail
LAB_db07_205200,LAB,db07,205200,Fremstilling af andre kemiske produkter (via 205),Fremstilling af andre kemiske produkter (via 205),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_20520,detail
LAB_db07_467310,LAB,db07,467310,Anden specialiseret engroshandel (via 467),Anden specialiseret engroshandel (via 467),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_46731,detail
LAB_db07_881010,LAB,db07,881010,Sociale foranstaltninger for ældre og handicappede uden institutionsophold (via 881),Sociale foranstaltninger for ældre og handicappede uden institutionsophold (via 881),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_88101,detail
LAB_db07_889990,LAB,db07,889990,Andre sociale foranstaltninger uden institutionsophold (via 889),Andre sociale foranstaltninger uden institutionsophold (via 889),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_88999,detail
LAB_db07_682010,LAB,db07,682010,Udlejning af og virksomhed i forbindelse med egen eller leaset fast ejendom (via 682),Udlejning af og virksomhed i forbindelse med egen eller leaset fast ejendom (via 682),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_68201,detail
LAB_db07_563000,LAB,db07,563000,"Cafeér, værtshuse, diskoteker mv. (via 563)","Cafeér, værtshuse, diskoteker mv. (via 563)",,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_56300,detail
LAB_db07_479111,LAB,db07,479111,"Detailhandel undtagen fra forretninger, stadepladser og markeder (via 479)","Detailhandel undtagen fra forretninger, stadepladser og markeder (via 479)",,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_47911,detail
LAB_db07_561020,LAB,db07,561020,Restauranter og levering af mad ud af huset (via 561),Restauranter og levering af mad ud af huset (via 561),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_56102,detail
LAB_db07_109200,LAB,db07,109200,Fremstilling af færdige foderblandinger (via 109),Fremstilling af færdige foderblandinger (via 109),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_10920,detail
LAB_db07_879020,LAB,db07,879020,Andre former for institutionsophold (via 879),Andre former for institutionsophold (via 879),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_87902,detail
LAB_db07_743000,LAB,db07,743000,Oversættelse og tolkning (via 743),Oversættelse og tolkning (via 743),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_74300,detail
LAB_db07_493910,LAB,db07,493910,Anden landpassagertransport (via 493),Anden landpassagertransport (via 493),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_49391,detail
LAB_db07_811000,LAB,db07,811000,Kombinerede serviceydelser (via 811),Kombinerede serviceydelser (via 811),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_81100,detail
LAB_db07_101300,LAB,db07,101300,Forarbejdning og konservering af kød og produktion af kødprodukter (via 101),Forarbejdning og konservering af kød og produktion af kødprodukter (via 101),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_10130,detail
LAB_db07_101200,LAB,db07,101200,Forarbejdning og konservering af kød og produktion af kødprodukter (via 101),Forarbejdning og konservering af kød og produktion af kødprodukter (via 101),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_10120,detail
LAB_db07_463900,LAB,db07,463900,"Engroshandel med føde-, drikke- og tobaksvarer (via 463)","Engroshandel med føde-, drikke- og tobaksvarer (via 463)",,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_46390,detail
