code,prefix,database,value,description,source,confidence,language
EDU_course_Håndværk og design,EDU,course,Håndværk og design,Course name: Håndværk og design,enhanced_english,medium,english
EDU_course_Idehistorie,EDU,course,Idehistorie,Course name: Idehistorie,enhanced_english,medium,english
EDU_course_Idræt,EDU,course,Idræt,Course name: Idræt,enhanced_english,medium,english
EDU_course_Industriteknologi,EDU,course,Industriteknologi,Course name: Industriteknologi,enhanced_english,medium,english
EDU_course_Informatik,EDU,course,Informatik,Course name: Informatik,enhanced_english,medium,english
EDU_course_Informationsteknologi,EDU,course,Informationsteknologi,Course name: Informationsteknologi,enhanced_english,medium,english
EDU_course_Innovation,EDU,course,Innovation,Course name: Innovation,enhanced_english,medium,english
EDU_course_International (USA),EDU,course,International (USA),Course name: International (USA),enhanced_english,medium,english
EDU_course_International teknologi og kultur,EDU,course,International teknologi og kultur,Course name: International teknologi og kultur,enhanced_english,medium,english
EDU_course_International økonomi,EDU,course,International økonomi,Course name: International økonomi,enhanced_english,medium,english
EDU_course_Islandsk,EDU,course,Islandsk,Course name: Islandsk,enhanced_english,medium,english
EDU_course_It,EDU,course,It,Course name: It,enhanced_english,medium,english
EDU_course_Italiensk begyndersprog,EDU,course,Italiensk begyndersprog,Course name: Italiensk begyndersprog,enhanced_english,medium,english
EDU_course_Iværksætter,EDU,course,Iværksætter,Course name: Iværksætter,enhanced_english,medium,english
EDU_course_Japansk begyndersprog,EDU,course,Japansk begyndersprog,Course name: Japansk begyndersprog,enhanced_english,medium,english
EDU_course_Kemi,EDU,course,Kemi,Course name: Kemi,enhanced_english,medium,english
EDU_course_Kinesisk begyndersprog,EDU,course,Kinesisk begyndersprog,Course name: Kinesisk begyndersprog,enhanced_english,medium,english
EDU_course_Kinesisk fortsættersprog,EDU,course,Kinesisk fortsættersprog,Course name: Kinesisk fortsættersprog,enhanced_english,medium,english
EDU_course_Kinesisk områdestudium,EDU,course,Kinesisk områdestudium,Course name: Kinesisk områdestudium,enhanced_english,medium,english
EDU_course_Kommunikation/it,EDU,course,Kommunikation/it,Course name: Kommunikation/it,enhanced_english,medium,english
EDU_course_Kristendomskundskab,EDU,course,Kristendomskundskab,Course name: Kristendomskundskab,enhanced_english,medium,english
EDU_course_Kultur- og samfundsfaggruppe,EDU,course,Kultur- og samfundsfaggruppe,Course name: Kultur- og samfundsfaggruppe,enhanced_english,medium,english
EDU_course_Kultur- og samfundsfaggruppe - Historie,EDU,course,Kultur- og samfundsfaggruppe - Historie,Course name: Kultur- og samfundsfaggruppe - Historie,enhanced_english,medium,english
EDU_course_Kultur- og samfundsfaggruppe - Religion,EDU,course,Kultur- og samfundsfaggruppe - Religion,Course name: Kultur- og samfundsfaggruppe - Religion,enhanced_english,medium,english
EDU_course_Kultur- og samfundsfaggruppe - Samfundsfag,EDU,course,Kultur- og samfundsfaggruppe - Samfundsfag,Course name: Kultur- og samfundsfaggruppe - Samfundsfag,enhanced_english,medium,english
EDU_course_Kultur/historie,EDU,course,Kultur/historie,Course name: Kultur/historie,enhanced_english,medium,english
EDU_course_Kulturfag,EDU,course,Kulturfag,Course name: Kulturfag,enhanced_english,medium,english
EDU_course_Kulturforståelse,EDU,course,Kulturforståelse,Course name: Kulturforståelse,enhanced_english,medium,english
EDU_course_Kvalitetsstyring,EDU,course,Kvalitetsstyring,Course name: Kvalitetsstyring,enhanced_english,medium,english
EDU_course_Latin,EDU,course,Latin,Course name: Latin,enhanced_english,medium,english
EDU_course_Latin begyndersprog,EDU,course,Latin begyndersprog,Course name: Latin begyndersprog,enhanced_english,medium,english
EDU_course_Madkundskab,EDU,course,Madkundskab,Course name: Madkundskab,enhanced_english,medium,english
EDU_course_Markedskommunikation,EDU,course,Markedskommunikation,Course name: Markedskommunikation,enhanced_english,medium,english
EDU_course_Marketing,EDU,course,Marketing,Course name: Marketing,enhanced_english,medium,english
EDU_course_Matematik,EDU,course,Matematik,Course name: Matematik,enhanced_english,medium,english
EDU_course_Materialeteknologi,EDU,course,Materialeteknologi,Course name: Materialeteknologi,enhanced_english,medium,english
EDU_course_Mediefag,EDU,course,Mediefag,Course name: Mediefag,enhanced_english,medium,english
EDU_course_Medier,EDU,course,Medier,Course name: Medier,enhanced_english,medium,english
EDU_course_Metal og motorværksted,EDU,course,Metal og motorværksted,Course name: Metal og motorværksted,enhanced_english,medium,english
EDU_course_Multimedier,EDU,course,Multimedier,Course name: Multimedier,enhanced_english,medium,english
EDU_course_Musik,EDU,course,Musik,Course name: Musik,enhanced_english,medium,english
EDU_course_Musik og lydproduktion,EDU,course,Musik og lydproduktion,Course name: Musik og lydproduktion,enhanced_english,medium,english
EDU_course_Nationaløkonomi,EDU,course,Nationaløkonomi,Course name: Nationaløkonomi,enhanced_english,medium,english
EDU_course_Naturfag,EDU,course,Naturfag,Course name: Naturfag,enhanced_english,medium,english
EDU_course_Naturgeografi,EDU,course,Naturgeografi,Course name: Naturgeografi,enhanced_english,medium,english
EDU_course_Naturvidenskabelig faggruppe,EDU,course,Naturvidenskabelig faggruppe,Course name: Naturvidenskabelig faggruppe,enhanced_english,medium,english
EDU_course_Naturvidenskabelig faggruppe - Biologi,EDU,course,Naturvidenskabelig faggruppe - Biologi,Course name: Naturvidenskabelig faggruppe - Biologi,enhanced_english,medium,english
EDU_course_Naturvidenskabelig faggruppe - Geografi,EDU,course,Naturvidenskabelig faggruppe - Geografi,Course name: Naturvidenskabelig faggruppe - Geografi,enhanced_english,medium,english
EDU_course_Naturvidenskabelig faggruppe - Kemi,EDU,course,Naturvidenskabelig faggruppe - Kemi,Course name: Naturvidenskabelig faggruppe - Kemi,enhanced_english,medium,english
EDU_course_Naturvidenskabeligt grundforløb,EDU,course,Naturvidenskabeligt grundforløb,Course name: Naturvidenskabeligt grundforløb,enhanced_english,medium,english
EDU_course_OBL,EDU,course,OBL,Course name: OBL,enhanced_english,medium,english
EDU_course_Obligatorisk projektopgave,EDU,course,Obligatorisk projektopgave,Course name: Obligatorisk projektopgave,enhanced_english,medium,english
EDU_course_Obligatorisk selvvalgt opgave,EDU,course,Obligatorisk selvvalgt opgave,Course name: Obligatorisk selvvalgt opgave,enhanced_english,medium,english
EDU_course_Oldtidskundskab,EDU,course,Oldtidskundskab,Course name: Oldtidskundskab,enhanced_english,medium,english
EDU_course_Organisation,EDU,course,Organisation,Course name: Organisation,enhanced_english,medium,english
EDU_course_Portugisisk begyndersprog,EDU,course,Portugisisk begyndersprog,Course name: Portugisisk begyndersprog,enhanced_english,medium,english
EDU_course_Produktudvikling,EDU,course,Produktudvikling,Course name: Produktudvikling,enhanced_english,medium,english
EDU_course_Programmering,EDU,course,Programmering,Course name: Programmering,enhanced_english,medium,english
EDU_course_Projektfag,EDU,course,Projektfag,Course name: Projektfag,enhanced_english,medium,english
EDU_course_Projektopgave,EDU,course,Projektopgave,Course name: Projektopgave,enhanced_english,medium,english
EDU_course_Psykologi,EDU,course,Psykologi,Course name: Psykologi,enhanced_english,medium,english
EDU_course_Religion,EDU,course,Religion,Course name: Religion,enhanced_english,medium,english
EDU_course_Retorik,EDU,course,Retorik,Course name: Retorik,enhanced_english,medium,english
EDU_course_Russisk begyndersprog,EDU,course,Russisk begyndersprog,Course name: Russisk begyndersprog,enhanced_english,medium,english
EDU_course_Samfundsfag,EDU,course,Samfundsfag,Course name: Samfundsfag,enhanced_english,medium,english
EDU_course_Samtidshistorie,EDU,course,Samtidshistorie,Course name: Samtidshistorie,enhanced_english,medium,english
EDU_course_Science,EDU,course,Science,Course name: Science,enhanced_english,medium,english
EDU_course_Sløjd,EDU,course,Sløjd,Course name: Sløjd,enhanced_english,medium,english
EDU_course_Spansk,EDU,course,Spansk,Course name: Spansk,enhanced_english,medium,english
