code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
LAB_lejev_egen_bolig_Q42,LAB,lejev,egen_bolig_Q42,Beregnet lejeværdi af egen bolig — 42/100 kvantil,Beregnet lejeværdi af egen bolig — 42/100 kvantil,,,Imputed rental value of own dwelling — 42/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q60,LAB,lejev,egen_bolig_Q60,Beregnet lejeværdi af egen bolig — 60/100 kvantil,Beregnet lejeværdi af egen bolig — 60/100 kvantil,,,Imputed rental value of own dwelling — 60/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q57,LAB,lejev,egen_bolig_Q57,Beregnet lejeværdi af egen bolig — 57/100 kvantil,Beregnet lejeværdi af egen bolig — 57/100 kvantil,,,Imputed rental value of own dwelling — 57/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q53,LAB,lejev,egen_bolig_Q53,Beregnet lejeværdi af egen bolig — 53/100 kvantil,Beregnet lejeværdi af egen bolig — 53/100 kvantil,,,Imputed rental value of own dwelling — 53/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q54,LAB,lejev,egen_bolig_Q54,Beregnet lejeværdi af egen bolig — 54/100 kvantil,Beregnet lejeværdi af egen bolig — 54/100 kvantil,,,Imputed rental value of own dwelling — 54/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q43,LAB,lejev,egen_bolig_Q43,Beregnet lejeværdi af egen bolig — 43/100 kvantil,Beregnet lejeværdi af egen bolig — 43/100 kvantil,,,Imputed rental value of own dwelling — 43/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q41,LAB,lejev,egen_bolig_Q41,Beregnet lejeværdi af egen bolig — 41/100 kvantil,Beregnet lejeværdi af egen bolig — 41/100 kvantil,,,Imputed rental value of own dwelling — 41/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q6,LAB,lejev,egen_bolig_Q6,Beregnet lejeværdi af egen bolig — 6/100 kvantil,Beregnet lejeværdi af egen bolig — 6/100 kvantil,,,Imputed rental value of own dwelling — 6/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q47,LAB,lejev,egen_bolig_Q47,Beregnet lejeværdi af egen bolig — 47/100 kvantil,Beregnet lejeværdi af egen bolig — 47/100 kvantil,,,Imputed rental value of own dwelling — 47/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q46,LAB,lejev,egen_bolig_Q46,Beregnet lejeværdi af egen bolig — 46/100 kvantil,Beregnet lejeværdi af egen bolig — 46/100 kvantil,,,Imputed rental value of own dwelling — 46/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q2,LAB,lejev,egen_bolig_Q2,Beregnet lejeværdi af egen bolig — 2/100 kvantil,Beregnet lejeværdi af egen bolig — 2/100 kvantil,,,Imputed rental value of own dwelling — 2/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q30,LAB,lejev,egen_bolig_Q30,Beregnet lejeværdi af egen bolig — 30/100 kvantil,Beregnet lejeværdi af egen bolig — 30/100 kvantil,,,Imputed rental value of own dwelling — 30/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q31,LAB,lejev,egen_bolig_Q31,Beregnet lejeværdi af egen bolig — 31/100 kvantil,Beregnet lejeværdi af egen bolig — 31/100 kvantil,,,Imputed rental value of own dwelling — 31/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q33,LAB,lejev,egen_bolig_Q33,Beregnet lejeværdi af egen bolig — 33/100 kvantil,Beregnet lejeværdi af egen bolig — 33/100 kvantil,,,Imputed rental value of own dwelling — 33/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q27,LAB,lejev,egen_bolig_Q27,Beregnet lejeværdi af egen bolig — 27/100 kvantil,Beregnet lejeværdi af egen bolig — 27/100 kvantil,,,Imputed rental value of own dwelling — 27/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q5,LAB,lejev,egen_bolig_Q5,Beregnet lejeværdi af egen bolig — 5/100 kvantil,Beregnet lejeværdi af egen bolig — 5/100 kvantil,,,Imputed rental value of own dwelling — 5/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q24,LAB,lejev,egen_bolig_Q24,Beregnet lejeværdi af egen bolig — 24/100 kvantil,Beregnet lejeværdi af egen bolig — 24/100 kvantil,,,Imputed rental value of own dwelling — 24/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q4,LAB,lejev,egen_bolig_Q4,Beregnet lejeværdi af egen bolig — 4/100 kvantil,Beregnet lejeværdi af egen bolig — 4/100 kvantil,,,Imputed rental value of own dwelling — 4/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q29,LAB,lejev,egen_bolig_Q29,Beregnet lejeværdi af egen bolig — 29/100 kvantil,Beregnet lejeværdi af egen bolig — 29/100 kvantil,,,Imputed rental value of own dwelling — 29/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q51,LAB,lejev,egen_bolig_Q51,Beregnet lejeværdi af egen bolig — 51/100 kvantil,Beregnet lejeværdi af egen bolig — 51/100 kvantil,,,Imputed rental value of own dwelling — 51/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q13,LAB,lejev,egen_bolig_Q13,Beregnet lejeværdi af egen bolig — 13/100 kvantil,Beregnet lejeværdi af egen bolig — 13/100 kvantil,,,Imputed rental value of own dwelling — 13/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
