source,description,count,confidence,language
CSV:DEM_far_foed_adop,CSV:DEM_far_foed_adop,11,high,danish
CSV:DEM_kom,CSV:DEM_kom,343,high,danish
CSV:DEM_mor_foed_adop,CSV:DEM_mor_foed_adop,13,high,danish
CSV:DEM_opr_land,CSV:DEM_opr_land,215,high,danish
CSV:DEM_statsb,CSV:DEM_statsb,213,high,danish
CSV:EDU_audd,CSV:EDU_audd,3758,high,danish
CSV:EDU_disced_compound_end,CSV:EDU_disced_compound_end,1,high,danish
CSV:EDU_disced_compound_start,CSV:EDU_disced_compound_start,789,high,danish
CSV:EDU_udd,CSV:EDU_udd,2416,high,danish
CSV:HEA_ICD10,CSV:HEA_ICD10,14650,high,danish
CSV:HEA_atc_fallback,CSV:HEA_atc_fallback,1,high,danish
CSV:LAB_branche_from_raw_fixed,CSV:LAB_branche_from_raw_fixed,594,high,danish
CSV:LAB_db07_hierarchical,CSV:LAB_db07_hierarchical,703,high,danish
CSV:LAB_disco08_comprehensive_hierarchical,CSV:LAB_disco08_comprehensive_hierarchical,722,high,danish
CSV:LAB_disco08_dict.csv,CSV:LAB_disco08_dict.csv,9,high,danish
CSV:LAB_disco08_dst_hierarchical,CSV:LAB_disco08_dst_hierarchical,20,high,danish
CSV:LAB_disco_from_raw,CSV:LAB_disco_from_raw,168,high,danish
CSV:LAB_disco_from_raw_hierarchical,CSV:LAB_disco_from_raw_hierarchical,625,high,danish
CSV:LAB_soc_status,CSV:LAB_soc_status,40,high,danish
CSV:LAB_socio13,CSV:LAB_socio13,21,high,danish
CSV:SOC_afgtypko_from_raw,CSV:SOC_afgtypko_from_raw,85,high,danish
CSV:SOC_ansted_klas,CSV:SOC_ansted_klas,32,high,danish
CSV:SOC_bstrfkod_from_raw,CSV:SOC_bstrfkod_from_raw,3,high,danish
CSV:SOC_ger7,CSV:SOC_ger7,28,high,danish
CSV:SOC_ger7_hierarchical,CSV:SOC_ger7_hierarchical,892,high,danish
CSV:SOC_haendelse_from_raw,CSV:SOC_haendelse_from_raw,4,high,danish
CSV:SOC_pgf_from_raw,CSV:SOC_pgf_from_raw,51,high,danish
CSV:SOC_samtykke_from_raw,CSV:SOC_samtykke_from_raw,4,high,danish
DSE77,DSE77,8,medium,danish
"DSE77_inferred (fully inferred from hierarchy, under 12)","DSE77_inferred (fully inferred from hierarchy, under 12)",1,medium,danish
"DSE77_inferred (fully inferred from hierarchy, under 31.22)","DSE77_inferred (fully inferred from hierarchy, under 31.22)",1,medium,danish
"DSE77_inferred (fully inferred from hierarchy, under 34.1)","DSE77_inferred (fully inferred from hierarchy, under 34.1)",1,medium,danish
"DSE77_inferred (fully inferred from hierarchy, under 34.24)","DSE77_inferred (fully inferred from hierarchy, under 34.24)",1,medium,danish
"DSE77_inferred (fully inferred from hierarchy, under 38.2)","DSE77_inferred (fully inferred from hierarchy, under 38.2)",1,medium,danish
"DSE77_inferred (fully inferred from hierarchy, under 81)","DSE77_inferred (fully inferred from hierarchy, under 81)",1,medium,danish
"DSE77_inferred (fully inferred from hierarchy, under 81.02)","DSE77_inferred (fully inferred from hierarchy, under 81.02)",1,medium,danish
"DSE77_inferred (fully inferred from hierarchy, under 82)","DSE77_inferred (fully inferred from hierarchy, under 82)",1,medium,danish
"DSE77_inferred (fully inferred from hierarchy, under 93.1)","DSE77_inferred (fully inferred from hierarchy, under 93.1)",4,medium,danish
"DSE77_inferred (fully inferred from hierarchy, under 93.9)","DSE77_inferred (fully inferred from hierarchy, under 93.9)",2,medium,danish
"DSE77_inferred (fully inferred, near 99999 Uoplyst)","DSE77_inferred (fully inferred, near 99999 Uoplyst)",1,medium,danish
"DSE77_inferred (fully inferred, no group 51 in DSE77)","DSE77_inferred (fully inferred, no group 51 in DSE77)",1,medium,danish
"DSE77_inferred (fully inferred, outside standard DSE77 range)","DSE77_inferred (fully inferred, outside standard DSE77 range)",1,medium,danish
dual_source_special2_spec6,dual_source_special2_spec6,4448,medium,danish
generated:quantile_percentile,generated:quantile_percentile,2152,medium,english
generated_pattern,generated_pattern,556,medium,english
manual_demographic_events,manual_demographic_events,5,medium,english
manual_update,manual_update,555,medium,english
none,none,9,medium,danish
none|dict_fill,none|dict_fill,24,medium,danish
none|generated,none|generated,717,medium,danish
none|generated|generated,none|generated|generated,139,medium,danish
none|generated|generated|generated,none|generated|generated|generated,5,medium,danish
none|icd8_raw,none|icd8_raw,549,medium,danish
none|manual,none|manual,7,medium,danish
raw_atc_enhanced_hierarchical,raw_atc_enhanced_hierarchical,1656,high,danish
raw_dem_civst,raw_dem_civst,7,high,danish
raw_dem_fm_mark,raw_dem_fm_mark,6,high,danish
raw_edu_field,raw_edu_field,409,high,danish
raw_lab_nace,raw_lab_nace,871,high,danish
raw_lab_tilstand_kode,raw_lab_tilstand_kode,47,high,danish
raw_soc_frakkod,raw_soc_frakkod,177,high,danish
special2_only,special2_only,1680,medium,danish
vocab_reconciliation,vocab_reconciliation,10,medium,danish
