code,prefix,database,value,description,source,confidence,language
LAB_disco_123700,LAB,disco,123700,Forsknings- og udviklingsledelse i virksomhed med mindst 10 beskæftigede,disco_codes,high,danish
LAB_disco_123900,LAB,disco,123900,Ledelse af andre specialområder i virksomhed med mindst 10 beskæftigede,disco_codes,high,danish
LAB_disco_130000,LAB,disco,130000,Ledelse af virksomhed med færre end 10 beskæftigede,disco_codes,high,danish
LAB_disco_131000,LAB,disco,131000,Ledelse af virksomhed med færre end 10 beskæftigede,disco_codes,high,danish
LAB_disco_131100,LAB,disco,131100,"Ledelse af bedriften inden for landbrug, skovbrug og fiskeri i virksomhed med færre end 10 beskæftigede",disco_codes,high,danish
LAB_disco_131200,LAB,disco,131200,Produktionsledelse i industrivirksomheder i virksomhed med færre end 10 beskæftigede,disco_codes,high,danish
LAB_disco_131210,LAB,disco,131210,Øverste ledelse af produktionen i industrivirksomheder i virksomhed med færre end 10 beskæftigede,disco_codes,high,danish
LAB_disco_131220,LAB,disco,131220,Ledelse af produktionen i industrivirksomheder i øvrigt i virksomhed med færre end 10 beskæftigede,disco_codes,high,danish
LAB_disco_131300,LAB,disco,131300,Ledelse af produktionen i bygge- og anlægssektoren i virksomhed med færre end 10 beskæftigede,disco_codes,high,danish
LAB_disco_131400,LAB,disco,131400,Ledelse af salget i engros- og detailhandelsvirksomhed i virksomhed med færre end 10 beskæftigede,disco_codes,high,danish
LAB_disco_131500,LAB,disco,131500,Ledelse af hovedaktiviteten i hotel- og restaurationsvirksomhed i virksomhed med færre end 10 beskæftigede,disco_codes,high,danish
LAB_disco_131600,LAB,disco,131600,Ledelse af hovedaktiviteten i virksomheder inden for transport og kommunikation i virksomhed med færre end 10 beskæftigede,disco_codes,high,danish
LAB_disco_131700,LAB,disco,131700,Ledelse af hovedaktiviteten i virksomheder inden for forretningsservice i virksomhed med færre end 10 beskæftigede,disco_codes,high,danish
LAB_disco_131800,LAB,disco,131800,Ledelse af hovedaktiviteten i virksomheder inden for personlige tjenesteydelser i virksomhed med færre end 10 beskæftigede,disco_codes,high,danish
LAB_disco_131900,LAB,disco,131900,Ledelse af hovedaktiviteten i andre virksomheder i virksomhed med færre end 10 beskæftigede,disco_codes,high,danish
LAB_disco_131910,LAB,disco,131910,Ledelse i politi og retsvæsen i virksomhed med færre end 10 beskæftigede,disco_codes,high,danish
