code,prefix,database,value,description,description_da,description_da_alt,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
EDU_dnt_bin_2,EDU,dnt,bin_2,education days: 2 (bin),,,education days: 2 (bin),,,translated,none|generated,medium,danish,,
EDU_dnt_bin_4,EDU,dnt,bin_4,education days: 4 (bin),,,education days: 4 (bin),,,translated,none|generated,medium,danish,,
EDU_dnt_bin_1,EDU,dnt,bin_1,education days: 1 (bin),,,education days: 1 (bin),,,translated,none|generated,medium,danish,,
EDU_dnt_bin_3,EDU,dnt,bin_3,education days: 3 (bin),,,education days: 3 (bin),,,translated,none|generated,medium,danish,,
EDU_dnt_bin_6,EDU,dnt,bin_6,education days: 6 (bin),,,education days: 6 (bin),,,translated,none|generated,medium,danish,,
EDU_dnt_bin_5,EDU,dnt,bin_5,education days: 5 (bin),,,education days: 5 (bin),,,translated,none|generated,medium,danish,,
EDU_dnt_bin_7,EDU,dnt,bin_7,education days: 7 (bin),,,education days: 7 (bin),,,translated,none|generated,medium,danish,,
