code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
DEM_statsb_5464,DEM,statsb,5464,Nepal,Nepal,,,Nepal,Nepal,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5134,DEM,statsb,5134,Grækenland,Grækenland,,,Greece,Greece,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5128,DEM,statsb,5128,Bulgarien,Bulgarien,,,Bulgaria,Bulgaria,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5438,DEM,statsb,5438,Iran,Iran,,,Iran,Iran,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5754,DEM,statsb,5754,Bosnien-Hercegovina,Bosnien-Hercegovina,,,Bosnia and Herzegovina,Bosnia and Herzegovina,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5444,DEM,statsb,5444,Japan,Japan,,,Japan,Japan,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5756,DEM,statsb,5756,Nordmakedonien,Nordmakedonien,,,North Macedonia,North Macedonia,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5304,DEM,statsb,5304,Bolivia,Bolivia,,,Bolivia,Bolivia,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5164,DEM,statsb,5164,Spanien,Spanien,,,Spain,Spain,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5410,DEM,statsb,5410,Bangladesh,Bangladesh,,,Bangladesh,Bangladesh,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5281,DEM,statsb,5281,Benin,Benin,,,Benin,Benin,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5609,DEM,statsb,5609,Letland,Letland,,,Latvia,Latvia,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5776,DEM,statsb,5776,Tjekkiet,Tjekkiet,,,Czech Republic,Czech Republic,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5318,DEM,statsb,5318,Colombia,Colombia,,,Colombia,Colombia,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5287,DEM,statsb,5287,Rwanda,Rwanda,,,Rwanda,Rwanda,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5278,DEM,statsb,5278,"Congo, Demokratiske Republik","Congo, Demokratiske Republik",,,"Congo, Demokratiske Republik",,,copy-of-da,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5456,DEM,statsb,5456,Libanon,Libanon,,,Lebanon,Lebanon,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5607,DEM,statsb,5607,Estland,Estland,,,Estonia,Estonia,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5202,DEM,statsb,5202,Algeriet,Algeriet,,,Algeria,Algeria,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5502,DEM,statsb,5502,Australien,Australien,,,Australia,Australia,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5446,DEM,statsb,5446,Jordan,Jordan,,,Jordan,Jordan,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5272,DEM,statsb,5272,Egypten,Egypten,,,Egypten,,,copy-of-da,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5434,DEM,statsb,5434,Indonesien,Indonesien,,,Indonesia,Indonesia,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5222,DEM,statsb,5222,Gambia,Gambia,,,Gambia,Gambia,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5354,DEM,statsb,5354,Mexico,Mexico,,,Mexico,Mexico,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5366,DEM,statsb,5366,Peru,Peru,,,Peru,Peru,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5514,DEM,statsb,5514,New Zealand,New Zealand,,,New Zealand,New Zealand,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5778,DEM,statsb,5778,Slovakiet,Slovakiet,,,Slovakia,Slovakia,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5714,DEM,statsb,5714,Usbekistan,Usbekistan,,,Uzbekistan,Uzbekistan,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5262,DEM,statsb,5262,Sydafrika,Sydafrika,,,South Africa,South Africa,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5268,DEM,statsb,5268,Tunesien,Tunesien,,,Tunisia,Tunisia,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5302,DEM,statsb,5302,Argentina,Argentina,,,Argentina,Argentina,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5216,DEM,statsb,5216,Eritrea,Eritrea,,,Eritrea,Eritrea,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5716,DEM,statsb,5716,Kasakhstan,Kasakhstan,,,Kazakhstan,Kazakhstan,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5314,DEM,statsb,5314,Canada,Canada,,,Canada,Canada,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5458,DEM,statsb,5458,Malaysia,Malaysia,,,Malaysia,Malaysia,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5151,DEM,statsb,5151,Serbien og Montenegro,Serbien og Montenegro,,,Serbia and Montenegro,Serbia and Montenegro,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5234,DEM,statsb,5234,Kenya,Kenya,,,Kenya,Kenya,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5414,DEM,statsb,5414,Myanmar,Myanmar,,,Myanmar,Myanmar,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5182,DEM,statsb,5182,Østrig,Østrig,,,Austria,Austria,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5247,DEM,statsb,5247,Namibia,Namibia,,,Namibia,Namibia,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5316,DEM,statsb,5316,Chile,Chile,,,Chile,Chile,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5295,DEM,statsb,5295,Zimbabwe,Zimbabwe,,,Zimbabwe,Zimbabwe,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5752,DEM,statsb,5752,Slovenien,Slovenien,,,Slovenia,Slovenia,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5326,DEM,statsb,5326,Dominikanske Republik,Dominikanske Republik,,,Dominikanske Republik,,,copy-of-da,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5376,DEM,statsb,5376,Uruguay,Uruguay,,,Uruguay,Uruguay,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5724,DEM,statsb,5724,Georgien,Georgien,,,Georgia,Georgia,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5126,DEM,statsb,5126,Belgien,Belgien,,,Belgium,Belgium,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5328,DEM,statsb,5328,Ecuador,Ecuador,,,Ecuador,Ecuador,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5424,DEM,statsb,5424,Taiwan,Taiwan,,,Taiwan,Taiwan,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5204,DEM,statsb,5204,Angola,Angola,,,Angola,Angola,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5708,DEM,statsb,5708,Armenien,Armenien,,,Armenia,Armenia,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5338,DEM,statsb,5338,Guatemala,Guatemala,,,Guatemala,Guatemala,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5269,DEM,statsb,5269,Uganda,Uganda,,,Uganda,Uganda,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5288,DEM,statsb,5288,Senegal,Senegal,,,Senegal,Senegal,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5258,DEM,statsb,5258,Sudan,Sudan,,,Sudan,Sudan,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5459,DEM,statsb,5459,Mongoliet,Mongoliet,,,Mongolia,Mongolia,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5324,DEM,statsb,5324,Cuba,Cuba,,,Cuba,Cuba,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5153,DEM,statsb,5153,Malta,Malta,,,Malta,Malta,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5240,DEM,statsb,5240,Mozambique,Mozambique,,,Mozambique,Mozambique,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5750,DEM,statsb,5750,Kroatien,Kroatien,,,Croatia,Croatia,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5213,DEM,statsb,5213,Burundi,Burundi,,,Burundi,Burundi,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5228,DEM,statsb,5228,Ghana,Ghana,,,Ghana,Ghana,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5266,DEM,statsb,5266,Tanzania,Tanzania,,,Tanzania,Tanzania,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5160,DEM,statsb,5160,Schweiz,Schweiz,,,Switzerland,Switzerland,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5214,DEM,statsb,5214,Etiopien,Etiopien,,,Ethiopia,Ethiopia,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5293,DEM,statsb,5293,Togo,Togo,,,Togo,Togo,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5442,DEM,statsb,5442,Israel,Israel,,,Israel,Israel,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5233,DEM,statsb,5233,Kap Verde,Kap Verde,,,Cape Verde,,,translated,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5710,DEM,statsb,5710,Aserbajdsjan,Aserbajdsjan,,,Azerbaijan,Azerbaijan,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5277,DEM,statsb,5277,Cameroun,Cameroun,,,Cameroon,Cameroon,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5482,DEM,statsb,5482,Singapore,Singapore,,,Singapore,Singapore,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5232,DEM,statsb,5232,Guinea,Guinea,,,Guinea,Guinea,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5345,DEM,statsb,5345,Dominica,Dominica,,,Dominica,Dominica,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5255,DEM,statsb,5255,Sierra Leone,Sierra Leone,,,Sierra Leone,Sierra Leone,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5757,DEM,statsb,5757,Serbien,Serbien,,,Serbia,Serbia,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
