code,prefix,database,value,description,description_da,description_en,source,confidence,language,parent_code,hierarchy_level
[PAD],SPECIAL,special_tokens,[PAD],Padding token,,Padding token,vocab_reconciliation,highest,danish,,
[CLS],SPECIAL,special_tokens,[CLS],Classification token (sequence start),,Classification token (sequence start),vocab_reconciliation,highest,danish,,
[SEP],SPECIAL,special_tokens,[SEP],Separator token,,Separator token,vocab_reconciliation,highest,danish,,
[UNK],SPECIAL,special_tokens,[UNK],Unknown token,,Unknown token,vocab_reconciliation,highest,danish,,
[MASK],SPECIAL,special_tokens,[MASK],Mask token (for masked language modeling),,Mask token (for masked language modeling),vocab_reconciliation,highest,danish,,
