code,prefix,database,value,description,description_da,description_en,source,confidence,language,parent_code,hierarchy_level
LAB_underhol_Q19,LAB,underhol,Q19,Paid maintenance (deduction in taxable income) - 19/100 quantile,,Paid maintenance (deduction in taxable income) - 19/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q38,LAB,underhol,Q38,Paid maintenance (deduction in taxable income) - 38/100 quantile,,Paid maintenance (deduction in taxable income) - 38/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q37,LAB,underhol,Q37,Paid maintenance (deduction in taxable income) - 37/100 quantile,,Paid maintenance (deduction in taxable income) - 37/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q30,LAB,underhol,Q30,Paid maintenance (deduction in taxable income) - 30/100 quantile,,Paid maintenance (deduction in taxable income) - 30/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q49,LAB,underhol,Q49,Paid maintenance (deduction in taxable income) - 49/100 quantile,,Paid maintenance (deduction in taxable income) - 49/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q8,LAB,underhol,Q8,Paid maintenance (deduction in taxable income) - 8/100 quantile,,Paid maintenance (deduction in taxable income) - 8/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q60,LAB,underhol,Q60,Paid maintenance (deduction in taxable income) - 60/100 quantile,,Paid maintenance (deduction in taxable income) - 60/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q18,LAB,underhol,Q18,Paid maintenance (deduction in taxable income) - 18/100 quantile,,Paid maintenance (deduction in taxable income) - 18/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q17,LAB,underhol,Q17,Paid maintenance (deduction in taxable income) - 17/100 quantile,,Paid maintenance (deduction in taxable income) - 17/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q61,LAB,underhol,Q61,Paid maintenance (deduction in taxable income) - 61/100 quantile,,Paid maintenance (deduction in taxable income) - 61/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q9,LAB,underhol,Q9,Paid maintenance (deduction in taxable income) - 9/100 quantile,,Paid maintenance (deduction in taxable income) - 9/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q6,LAB,underhol,Q6,Paid maintenance (deduction in taxable income) - 6/100 quantile,,Paid maintenance (deduction in taxable income) - 6/100 quantile,generated_pattern,medium,english,,
