code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
LAB_arblhumv_Q42,LAB,arblhumv,Q42,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 42/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 42/100 kvantil,,,Unemployment benefits and training allowance — 42/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q33,LAB,arblhumv,Q33,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 33/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 33/100 kvantil,,,Unemployment benefits and training allowance — 33/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q65,LAB,arblhumv,Q65,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 65/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 65/100 kvantil,,,Unemployment benefits and training allowance — 65/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q94,LAB,arblhumv,Q94,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 94/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 94/100 kvantil,,,Unemployment benefits and training allowance — 94/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q40,LAB,arblhumv,Q40,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 40/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 40/100 kvantil,,,Unemployment benefits and training allowance — 40/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q7,LAB,arblhumv,Q7,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 7/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 7/100 kvantil,,,Unemployment benefits and training allowance — 7/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q19,LAB,arblhumv,Q19,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 19/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 19/100 kvantil,,,Unemployment benefits and training allowance — 19/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q9,LAB,arblhumv,Q9,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 9/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 9/100 kvantil,,,Unemployment benefits and training allowance — 9/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q15,LAB,arblhumv,Q15,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 15/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 15/100 kvantil,,,Unemployment benefits and training allowance — 15/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q30,LAB,arblhumv,Q30,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 30/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 30/100 kvantil,,,Unemployment benefits and training allowance — 30/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q45,LAB,arblhumv,Q45,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 45/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 45/100 kvantil,,,Unemployment benefits and training allowance — 45/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q44,LAB,arblhumv,Q44,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 44/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 44/100 kvantil,,,Unemployment benefits and training allowance — 44/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q14,LAB,arblhumv,Q14,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 14/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 14/100 kvantil,,,Unemployment benefits and training allowance — 14/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q26,LAB,arblhumv,Q26,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 26/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 26/100 kvantil,,,Unemployment benefits and training allowance — 26/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q21,LAB,arblhumv,Q21,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 21/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 21/100 kvantil,,,Unemployment benefits and training allowance — 21/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q75,LAB,arblhumv,Q75,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 75/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 75/100 kvantil,,,Unemployment benefits and training allowance — 75/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q12,LAB,arblhumv,Q12,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 12/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 12/100 kvantil,,,Unemployment benefits and training allowance — 12/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q27,LAB,arblhumv,Q27,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 27/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 27/100 kvantil,,,Unemployment benefits and training allowance — 27/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q62,LAB,arblhumv,Q62,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 62/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 62/100 kvantil,,,Unemployment benefits and training allowance — 62/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q91,LAB,arblhumv,Q91,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 91/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 91/100 kvantil,,,Unemployment benefits and training allowance — 91/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
