code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
LAB_rentudgpr_Q59,LAB,rentudgpr,Q59,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 59/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 59/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 59/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q48,LAB,rentudgpr,Q48,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 48/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 48/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 48/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q33,LAB,rentudgpr,Q33,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 33/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 33/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 33/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q27,LAB,rentudgpr,Q27,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 27/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 27/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 27/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q53,LAB,rentudgpr,Q53,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 53/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 53/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 53/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q46,LAB,rentudgpr,Q46,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 46/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 46/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 46/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q25,LAB,rentudgpr,Q25,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 25/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 25/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 25/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q28,LAB,rentudgpr,Q28,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 28/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 28/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 28/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q23,LAB,rentudgpr,Q23,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 23/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 23/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 23/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q26,LAB,rentudgpr,Q26,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 26/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 26/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 26/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q12,LAB,rentudgpr,Q12,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 12/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 12/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 12/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q11,LAB,rentudgpr,Q11,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 11/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 11/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 11/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q31,LAB,rentudgpr,Q31,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 31/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 31/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 31/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q21,LAB,rentudgpr,Q21,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 21/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 21/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 21/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q39,LAB,rentudgpr,Q39,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 39/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 39/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 39/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q42,LAB,rentudgpr,Q42,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 42/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 42/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 42/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q17,LAB,rentudgpr,Q17,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 17/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 17/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 17/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q58,LAB,rentudgpr,Q58,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 58/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 58/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 58/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q29,LAB,rentudgpr,Q29,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 29/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 29/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 29/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q35,LAB,rentudgpr,Q35,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 35/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 35/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 35/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q36,LAB,rentudgpr,Q36,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 36/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 36/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 36/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q7,LAB,rentudgpr,Q7,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 7/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 7/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 7/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q20,LAB,rentudgpr,Q20,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 20/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 20/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 20/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q37,LAB,rentudgpr,Q37,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 37/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 37/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 37/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q30,LAB,rentudgpr,Q30,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 30/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 30/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 30/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q34,LAB,rentudgpr,Q34,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 34/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 34/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 34/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q68,LAB,rentudgpr,Q68,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 68/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 68/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 68/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q54,LAB,rentudgpr,Q54,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 54/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 54/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 54/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q22,LAB,rentudgpr,Q22,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 22/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 22/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 22/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q45,LAB,rentudgpr,Q45,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 45/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 45/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 45/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q81,LAB,rentudgpr,Q81,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 81/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 81/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 81/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q62,LAB,rentudgpr,Q62,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 62/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 62/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 62/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q38,LAB,rentudgpr,Q38,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 38/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 38/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 38/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q43,LAB,rentudgpr,Q43,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 43/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 43/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 43/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q32,LAB,rentudgpr,Q32,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 32/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 32/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 32/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q75,LAB,rentudgpr,Q75,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 75/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 75/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 75/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
