Gyldig fra 	Gyldig til 	Kode 	Tekst
01-01-1992 		0 	Ikke oplyst
01-01-1992 		11110 	Kornavl
01-01-1992 		11190 	Agerbrug i øvrigt
01-01-1992 		11210 	Gartnerier
01-01-1992 		11220 	Planteskoler
01-01-1992 	31-12-2002 	11300 	Dyrkning af frugt og bær
01-01-2003 		11300 	Dyrkning af frugt og bær, nødder og krydderiplanter
01-01-1992 		12110 	Malkekvæghold
01-01-1992 		12190 	Anden kvægavl
01-01-1992 		12210 	Stutterier
01-01-1996 		12220 	Fåre- og gedeavl
01-01-1992 	31-12-1995 	12220 	Fåreavl
01-01-1992 		12300 	Svineavl
01-01-1992 		12400 	Fjerkræavl
01-01-1992 		12510 	Pelsdyravl
01-01-1992 		12520 	Biavl
01-01-1992 		12530 	Kenneler
01-01-1992 	31-12-1995 	12590 	Gedeavl, kaninavl mv.
01-01-1996 		12590 	Opdræt af andre dyr
01-01-1992 		13000 	Planteavl kombineret med husdyravl (blandet drift)
01-01-1992 		14110 	Landbrugsmaskinstationer
01-01-1992 		14120 	Anlægsgartnerier
01-01-1992 		14190 	Servicevirksomhed i forbindelse med agerbrug i øvrigt
01-01-1992 		14200 	Servicevirksomhed i forbindelse med husdyravl undtagen dyrlægevirksomhed
01-01-1992 		15000 	Jagt, fangst og servicevirksomhed i forbindelse hermed
01-01-1992 		20100 	Skovbrug
01-01-1992 		20200 	Servicevirksomhed i forbindelse med skovbrug
01-01-1992 		50100 	Fiskeri
01-01-1992 		50200 	Dambrug og fiskeavl
01-01-1992 	31-12-1995 	50300 	Servicevirksomhed i forbindelse med fiskeri
01-01-1992 		101000 	Kulminer
01-01-1992 		102000 	Brunkulslejer
01-01-1992 		103000 	Tørvegrave
01-01-1992 		111000 	Udvinding af råolie og naturgas
01-01-1992 		112000 	Teknisk servicevirksomhed i forbindelse med olie- og gasudvinding
01-01-1992 		120000 	Brydning af uran- og thoriummalme
01-01-1992 		131000 	Brydning af jernmalm
01-01-1992 		132000 	Brydning af ikke-jernholdige metalmalme undtagen uran- og thoriummalme
01-01-2003 		141110 	Brydning af sten
01-01-1992 	31-12-2002 	141110 	Stenbrud
01-01-1992 		141120 	Stenfiskeri
01-01-1992 		141200 	Kalkbrud
01-01-1992 		141300 	Skiferbrud
01-01-1992 		142100 	Grus- og sandgrave, sandsugning
01-01-1992 		142200 	Udvinding af ler og kaolin
01-01-1992 		143000 	Udvinding af mineraler til fremstilling af kemiske produkter og gødningsstoffer
01-01-1992 		144000 	Saltudvinding
01-01-1992 		145000 	Anden råstofudvinding i øvrigt
01-01-1992 		151110 	Svineslagterier
01-01-1992 		151120 	Kreaturslagterier
01-01-1992 		151130 	Tarmrenserier
01-01-1992 		151140 	Destruktionsanstalter og benmelsfabrikker
01-01-1992 		151200 	Fjerkræslagterier
01-01-1992 		151310 	Fremstilling af færdigretter
01-01-1992 		151390 	Kødforarbejdning i øvrigt
01-01-1992 		152010 	Fiskehermetik-, fiskefars- og fiskefiletfabrikker
01-01-1992 		152020 	Røgning og saltning af fisk
01-01-1992 		152030 	Fiskemelsfabrikker
01-01-1992 		153100 	Forarbejdning og konservering af kartofler
01-01-1992 		153200 	Fremstilling af frugt- og grønsagssaft
01-01-1992 		153300 	Forarbejdning og konservering af frugt og grønsager i øvrigt
01-01-1992 		154100 	Fremstilling af råolier og fedtstoffer
01-01-1992 		154200 	Fremstilling af raffinerede olier og fedtstoffer
01-01-1992 		154300 	Margarinefabrikker mv.
01-01-1992 		155110 	Mejerier samt ostefremstilling
01-01-1992 		155120 	Mælkekondenseringsfabrikker
01-01-1992 		155200 	Fremstilling af konsumis
01-01-1992 	31-12-2002 	156100 	Fremstilling af mølleriprodukter
01-01-2002 		156110 	Fremstilling af mølleriprodukter
01-01-2002 		156120 	Industriel fremstilling og forædling af frø
01-01-1992 		156200 	Fremstilling af stivelse og stivelsesprodukter
01-01-1992 		157110 	Fremstilling af færdige foderblandinger til landbrug og pelsdyravl
01-01-1992 		157120 	Fremstilling af færdige foderblandinger til dam- og havbrug
01-01-1992 		157200 	Fremstilling af færdigt foder til kæledyr
01-01-1992 		158110 	Brødfabrikker
01-01-1992 		158120 	Bagerforretninger
01-01-1992 		158200 	Fremstilling af kager og kiks
01-01-1992 		158300 	Sukkerfabrikker og -raffinaderier
01-01-1992 		158400 	Chokolade- og sukkervarefabrikker
01-01-1992 		158500 	Fremstilling af pastaprodukter og lignende varer
01-01-1992 		158600 	Forarbejdning af te og kaffe
01-01-1992 		158700 	Krydderimøller, fremstilling af smagspræparater mv.
01-01-1992 		158800 	Fremstilling af homogeniserede produkter og diætmad
01-01-1992 	31-12-2002 	158900 	Fremstilling af andre næringsmidler i øvrigt
01-01-2002 		158910 	Fremstilling af kosttilskud
01-01-2002 		158920 	Fremstilling af andre fødevarer i øvrigt
01-01-1992 		159100 	Fremstilling af spiritus
01-01-1992 		159200 	Fremstilling af råsprit
01-01-1996 		159300 	Fremstilling af vin
01-01-1992 	31-12-1995 	159300 	Fremstilling af vin baseret på druer
01-01-1992 		159400 	Fremstilling af frugtvin undtagen fra druer
01-01-1992 		159500 	Fremstilling af vermouth mv.
01-01-1992 		159600 	Bryggerier
01-01-1992 		159700 	Maltfabrikker
01-01-1992 		159800 	Mineralvandsfabrikker mv.
01-01-1992 	31-12-1995 	159900 	Fremstilling af andre alkoholfrie drikkevarer
01-01-1992 	31-12-2002 	160000 	Tobaksfabrikker
01-01-2003 		160000 	Tobaksindustri
01-01-1992 		171000 	Forbehandling og spinding af tekstilfibre
01-01-1992 		172000 	Vævning af tekstiler
01-01-1992 		173000 	Færdigbehandling af tekstiler
01-01-1992 		174010 	Sejlmagerier, flag- og teltfabrikker mv.
01-01-1992 		174020 	Fremstilling af boligtekstiler
01-01-1992 	31-12-2002 	174090 	Anden fremstilling af færdige tekstilvarer
01-01-2003 		174090 	Fremstilling af andre færdige tekstilvarer i øvrigt
01-01-1992 		175100 	Tæppefabrikker
01-01-1992 		175210 	Rebslagerier
01-01-1992 		175220 	Fiskenetfabrikker (vodbindere)
01-01-1992 		175300 	Fremstilling af fiberdug og varer heraf undtagen beklædningsartikler
01-01-1992 		175400 	Fremstilling af filt og andre tekstiler i øvrigt
01-01-1992 		176000 	Fremstilling af trikotagestoffer
01-01-1992 		177100 	Strømpefabrikker
01-01-1992 		177200 	Fremstilling af pullovere, cardigans mv.
01-01-1992 	31-12-1995 	177300 	Fremstilling af strikket eller hæklet yderbeklædning
01-01-1992 	31-12-1995 	177400 	Fremstilling af strikket eller hæklet underbeklædning
01-01-1992 	31-12-1995 	177500 	Fremstilling af andre trikotagevarer samt tilbehør
01-01-1992 		181000 	Fremstilling af læderbeklædning
01-01-1992 		182100 	Fremstilling af arbejdsbeklædning
01-01-2002 		182200 	Fremstilling af overtøj, kjoler, bukser mv.
01-01-1992 	31-12-2002 	182210 	Fremstilling af herre- og dameovertøj
01-01-1992 	31-12-2002 	182220 	Fremstilling af jakker, bukser og anden yderbeklædning til herrer og drenge
01-01-1992 	31-12-2002 	182230 	Fremstilling af kjoler, bukser og anden yderbeklædning til damer og piger
01-01-2003 		182310 	Fremstilling af skjorter
01-01-1992 	31-12-2002 	182310 	Skjortefabrikker
01-01-1992 	31-12-2002 	182390 	Anden fremstilling af underbeklædning
01-01-2003 		182390 	Fremstilling af anden underbeklædning
01-01-1992 		182410 	Fremstilling af babytøj
01-01-1992 		182490 	Beklædningsindustri i øvrigt
01-01-1992 		183000 	Pelsberedning samt buntmagerier
01-01-1992 		191000 	Garverier
01-01-1992 		192000 	Fremstilling af tasker, kufferter mv.
01-01-1992 		193010 	Skotøjsfabrikker
01-01-1992 		193020 	Træskofabrikker
01-01-1992 		201010 	Savværker
01-01-1992 		201020 	Træimprægneringsvirksomheder mv.
01-01-1992 		202000 	Fremstilling af krydsfiner, spånplader mv.
01-01-1992 		203010 	Fremstilling af ramme- og møbellister
01-01-1992 		203020 	Fremstilling af dele af træ til bygninger
01-01-1992 		203030 	Fremstilling af præfabrikerede bygninger eller bygningselementer af træ
01-01-1992 		204000 	Træemballagefabrikker
01-01-1992 		205110 	Trædrejere
01-01-1992 		205120 	Ligkistefabrikker
01-01-1992 		205190 	Fremstilling af andre træprodukter i øvrigt
01-01-1992 		205200 	Fremstilling af varer af kork, strå og flettematerialer
01-01-1992 		211100 	Fremstilling af papirmasse
01-01-1992 		211200 	Fremstilling af papir og pap
01-01-1992 		212100 	Fremstilling af bølgepap og emballage af papir og pap
01-01-1992 		212200 	Fremstilling af husholdnings- og toiletartikler af papir og pap
01-01-2002 		212300 	Fremstilling af kontorartikler af papir og pap
01-01-1992 	31-12-2002 	212310 	Fremstilling af skrivepapir
01-01-1992 	31-12-2002 	212390 	Fremstilling af andre kontorartikler af papir og pap
01-01-1992 		212400 	Fremstilling af tapet
01-01-1992 	31-12-1995 	212500 	Fremstilling af andre papir- og papvarer
01-01-1996 		212500 	Fremstilling af andre papir- og papvarer i.a.n.
01-01-1992 		221110 	Udgivelse af bøger, brochurer mv. med eget trykkeri
01-01-1992 		221120 	Udgivelse af bøger, brochurer mv. uden eget trykkeri
01-01-1992 		221210 	Udgivelse af dagblade med eget trykkeri
01-01-1992 		221220 	Udgivelse af dagblade uden eget trykkeri
01-01-1992 		221310 	Udgivelse af ugeblade og magasiner med eget trykkeri
01-01-1992 		221320 	Udgivelse af ugeblade og magasiner uden eget trykkeri
01-01-1992 		221330 	Udgivelse af distrikts- og annonceblade med eget trykkeri
01-01-1992 		221340 	Udgivelse af distrikts- og annonceblade uden eget trykkeri
01-01-1992 		221400 	Udgivelse af lydoptagelser
01-01-1992 		221500 	Anden udgivervirksomhed
01-01-1992 		222100 	Avistrykkerier
01-01-1992 	31-12-1995 	222210 	Bogtrykkerier
01-01-1996 		222210 	Bogtrykkerier og offsettrykkerier
01-01-1992 	31-12-1995 	222220 	Offsettrykkerier
01-01-1992 		222230 	Serigrafiske trykkerier
01-01-1992 		222290 	Andre trykkerier i øvrigt
01-01-1992 		222300 	Bogbinderier
01-01-2002 		222400 	Prepress-arbejde
01-01-1992 	31-12-2002 	222410 	Reproduktionsanstalter
01-01-1992 	31-12-2002 	222420 	Sætterier
01-01-1992 		222500 	Anden virksomhed i forbindelse med trykning
01-01-1992 		223100 	Reproduktion af lydoptagelser
01-01-1992 		223200 	Reproduktion af videooptagelser
01-01-1992 	31-12-2002 	223300 	Reproduktion af edb-medier
01-01-2003 		223300 	Reproduktion af it-medier
01-01-1992 		231000 	Fremstilling af koks mv.
01-01-1992 		232000 	Fremstilling af raffinerede mineralolieprodukter
01-01-1992 		233000 	Oparbejdning af nukleart brændsel
01-01-1992 		241100 	Fremstilling af industrigasser
01-01-1992 		241200 	Fremstilling af farvestoffer og pigmenter
01-01-1992 		241300 	Fremstilling af andre uorganiske basiskemikalier
01-01-1992 		241400 	Fremstilling af andre organiske basiskemikalier
01-01-1992 		241500 	Fremstilling af kunstgødning mv.
01-01-1992 		241600 	Fremstilling af basisplast
01-01-1992 		241700 	Fremstilling af syntetisk gummi
01-01-1992 		242000 	Fremstilling af pesticider og andre agrokemiske produkter
01-01-1992 		243000 	Fremstilling af maling, lak, trykfarver mv. samt tætningsmaterialer
01-01-1992 		244100 	Fremstilling af farmaceutiske råvarer
