Gyldig fra 	Gyldig til 	Kode 	Tekst
		351010 	Samfundsvidenskab u.n.a.
		351510 	Samfundsøkonomi
		352010 	Statskundskab mv.
		352510 	Europæiske studier
		352515 	Samfundsstudier, andre verdensdele
		352520 	Globalisering og udvikling
		352525 	International sikkerhed og folkeret
		352530 	Politologiske uddannelser i øvrigt
		353010 	Psykologi
		353510 	Antropologi/etnografi
		353515 	Etnologi og folkemindevidenskab
		353520 	Kulturgeografi
		354010 	Sociologi og kultursociologi mv.
		354015 	Socialvidenskab
		354020 	Kriminologi
		354025 	Socialt arbejde/socialt entreprenørskab
		354030 	Film- og medievidenskab
		354035 	Sociologi i øvrigt
		354510 	Teknologisk-samfundsvidenskabelig planlægning
		354515 	Kultur- og sprogmødestudier
		354520 	Miljøplanlægning og risikostyring
		354525 	Samfundsvidenskab, tværfaglige uddannelser i øvrigt
		355010 	Journalistik
		355015 	Kommunikation
		355020 	Retorik
		355510 	Bibliotekskundskab
		355520 	Informationsvidenskab og kulturforvaltning
		355530 	Museologi
		401010 	Erhvervsøkonomi og administration u.n.a.
		401510 	Regnskab og revision
		401515 	Skatter og afgifter
		402010 	Finans og bank
		402020 	Forsikring
		402510 	Offentlig- og privat administration og ledelse
		403010 	Markedsføring og reklame
		403510 	Kontor- og sekretæruddannelser
		404010 	Engroshandel
		404015 	Detailhandel
		404020 	Handel med fast ejendom
		404025 	Indkøb og afsætning i engros- og detailhandlen
		404030 	Logistik mv. i engros- og detailhandlen
		405010 	Jura og erhvervsret
		409010 	Erhvervsøkonomi med jura
		409015 	Erhvervsøkonomi med sprog og kommunikation
		409020 	Erhvervsøkonomi med it og informatik
		409025 	Erhvervsøkonomi med teknologi
		409030 	Erhvervsøkonomi mv., andre tværfaglige uddannelser
		451010 	Naturvidenskab u.n.a.
		451510 	Biologi, almen biologi
		451515 	Miljøbiologi
		451520 	Botanik
		451525 	Zoologi
		452010 	Biokemi og molekylær biologi
		452015 	Biomedicin og molekylær biomedicin
		452510 	Biologisk laboratorieteknik
		452515 	Bioteknologi
		453010 	Farmaci og lægemiddelvidenskab
		453015 	Fødevarevidenskab
		453020 	Nanoscience og nanobioscience
		453025 	Biofysiske uddannelser
		453030 	Bioteknologiske tværfaglige uddannelser
		453510 	Miljø, tværfaglige uddannelser
		454010 	Kemi
		454015 	Medicinalkemi
		454510 	Geodæsi og geoinformatik
		454515 	Geofysik
		455010 	Geografi
		455510 	Geologi
		455515 	Geovidenskab
		456010 	Meteorologi
		456510 	Astronomi
		457010 	Fysik
		457510 	Matematik
		458010 	Statistik
		458510 	Forsikringsmatematik
		458515 	Forsikringsvidenskab
		459010 	Matematik-økonomi
		501010 	Software brugerkurser
		501015 	Programmering og softwareudvikling
		501020 	IT-administrator
		501025 	Datalogi
		501090 	IT og elektronik, tværfaglige uddannelser
		501095 	Informations- og kommunikationsteknologi, tværfaglige i øvrigt
		551010 	Teknik og industriel produktion u.n.a.
		551510 	Teknologi u.n.a.
		552010 	Laboratorieteknik - kemisk industri
		552015 	Kemisk teknik og industri
		552510 	Miljø- og miljøbeskyttelsesteknik
		553010 	El- og energiforsyningsteknik u.n.a.
		553015 	Elektrikeruddannelser
		553020 	Klima- og køleteknik
		553025 	Energiteknologi
		553030 	El- og energiforsyningsteknik i øvrigt
		553510 	Elektronik og automation u.n.a.
		553515 	Automatik og proces
		553520 	Tele-, data- og it-teknologi mv.
		554010 	Medicin-, sundhed- og velfærdsteknologi
		554015 	Teknologi, tværfaglige uddannelser i øvrigt
		554020 	Maskinmester
		554510 	Nanoteknologi
		555010 	Fødevareindustri u.n.a.
		555015 	Mejeriindustri
		555020 	Kødbranchen
		555025 	Bageri og konfekture
		555030 	Proces- og kvalitetsstyring, fødevarer
		555035 	Øvrige fødevareindustri
		555040 	Træ- og møbelindustri
		555045 	Bådebyggeri, ikke-motordrevne
		555050 	Keramik- og porcelænsindustri
		555055 	Proces- og kvalitetsstyring, non-food produkter
		555060 	Øvrig indstri, non-food produkter
		555065 	Tekstil- og beklædningsindustri
		555070 	Design- og materialeteknologi, tekstil
		555075 	Sadelmageri og auto/møbel polstring
		555080 	Skomager, skoindustri
		555082 	Råstofudvinding
		555084 	Proces- og kvalitetsstyring u.n.a.
		555086 	Produktdesign og innovation mv.
		555087 	Konstruktion og projektering
		555088 	Teknisk assistent, industri og byggeri
		555090 	Produktfremstilling og proces, tværfaglige uddannelser
		555111 	Grundforløb
		571010 	Mekanik, jern og metal u.n.a.
		571510 	Gas- og vvs-teknik
		572010 	Urmageri
		572015 	Finmekanik i øvrigt
		572510 	Cykel-, knallert- og motorcykelmekanik
		573010 	Maskin- og produktionsanlægsteknik u.n.a.
		573015 	Maskinteknik, betjening og vedligeholdelse
		573020 	Maskinteknik, konstruktion og udvikling
		573025 	Støberiteknik
		573030 	Pladebearbejdende metalindustri mv.
		573035 	Værktøjsteknik
		573510 	Smede- og svejseuddannelser
		574010 	Motorkøretøjs-, skibs- og flyteknik u.n.a.
		574015 	Automekanik mv.
		574020 	Karosserismed og karosseriteknik
		574025 	Entreprenør- og landbrugsmaskiner
		574030 	Skibsbygningsteknik
		574035 	Flyteknik
		574510 	Mekanik, jern og metal, tværfaglige uddannelser
		575010 	Plastindustri
		581010 	Bygge- og anlægsteknik u.n.a.
		581510 	Arkitektur og bygningsdesign
		581515 	Landinspektøruddannelser
		581520 	By- og regionsplanlægning
		581525 	Landskabsarkitektur og -forvaltning
		582010 	Maleruddannelser
		582015 	Mureruddannelser
		582020 	Tømrer- og bygningssnedkeruddannelser
		582025 	Montering mv. af glas og aluminium
