SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
1;"1";1;Europa;;;;;;
2;"100";2;Danmark;;;;;;
3;"5100";3;Danmark;;;;;;
4;"5115";3;Kongelig;;;;;;
5;"251";2;Færøerne;;;;;;
6;"5902";3;Færøerne;;;;;;
7;"5901";3;Færøerne uoplyst;;;;;;
8;"252";2;Grønland;;;;;;
9;"5101";3;Grønland;;;;;;
10;"361";2;EU-28;;;;;;
11;"5126";3;Belgien;;;;;;
12;"5128";3;Bulgarien;;;;;;
13;"5422";3;Cypern;;;;;;
14;"5607";3;Estland;Selvstændig nation siden 1991. Tidligere en del af Sovjetunionen (5162).;;;;;
15;"5104";3;Finland;;;;;;
16;"5130";3;Frankrig;;Franske besiddelser i Stillehavet (5506), Fransk Guyana (5529), Guadeloupe (5528), Martinique (5353) og Reunion (5286).;;;;
17;"5134";3;Grækenland;;;;;;
18;"5142";3;Irland;;;;;;
19;"5150";3;Italien;;;;;;
20;"5750";3;Kroatien;Selvstændig nation siden 1991. Tidligere en del af Jugoslavien (5758).;;;;;
21;"5609";3;Letland;Selvstændig nation siden 1991. Tidligere en del af Sovjetunionen (5162).;;;;;
22;"5611";3;Litauen;Selvstændig nation siden 1990. Tidligere en del af Sovjetunionen (5162).;;;;;
23;"5108";3;Luxembourg;;;;;;
24;"5153";3;Malta;;;;;;
25;"5140";3;Nederlandene;;Aruba (5301).;;;;
26;"5154";3;Polen;;;;;;
27;"5156";3;Portugal;;;;;;
28;"5158";3;Rumænien;;;;;;
29;"5778";3;Slovakiet;Selvstændig nation siden 1993. Tidligere en del af Tjekkoslovakiet (5129).;;;;;
30;"5752";3;Slovenien;Selvstændig nation siden 1991. Tidligere en del af Jugoslavien (5758).;;;;;
31;"5164";3;Spanien;;;;;;
32;"5170";3;Storbritannien;;Nordirland (5111), Falklandsøerene (5530) og Skt. Helena (5253).;;;;
33;"5120";3;Sverige;;;;;;
34;"5776";3;Tjekkiet;Selvstændig nation siden 1993. Tidligere en del af Tjekkoslovakiet (5129).;;;;;
35;"5180";3;Tyskland;;DDR (5180).;;;;
36;"5174";3;Ungarn;;;;;;
37;"5182";3;Østrig;;;;;;
38;"363";2;Andre europæiske lande;;;;;;
39;"5122";3;Albanien;;;;;;
40;"5124";3;Andorra;;;;;;
41;"5754";3;Bosnien-Hercegovina;Selvstændig nation siden 1992. Tidligere en del af Jugoslavien (5758).;;;;;
42;"5184";3;DDR;Ophører i 1990 og indgår herefter i Tyskland (5180).;;;;;
43;"5706";3;Hviderusland;Selvstændig nation siden 1991. Tidligere en del af Sovjetunionen (5162).;;;;;
44;"5106";3;Island;;;;;;
45;"5105";3;Island, ligeret dansk;;;;;;
46;"5152";3;Jugoslavien;"Jugoslavien (5152) ophørte som selvstændig nation i 1992. Opdeles i Jugoslavien, Forbundsrepublikken (5152), Bosnien-Hercegovina (5754), Kroatien (5750), Slovenien (5752) og Nordmakedonien (5756). ";;;;;
47;"5758";3;Jugoslavien, Forbundsrepublikken;Ophører i 2003 og erstattes af Serbien og Montenegro (5151).;;;;;
48;"5761";3;Kosovo;Tidligere en del af Serbien (5757).;;;;;
49;"5107";3;Liechtenstein;;;;;;
50;"5712";3;Moldova;Selvstændig nation siden 1991. Tidligere en del af Sovjetunionen (5162).;;;;;
51;"5109";3;Monaco;;;;;;
52;"5759";3;Montenegro;Selvstændig nation siden 2006. Tidligere en del af Serbien og Montenegro (5151);;;;;
53;"5111";3;Nordirland;Nordirland (5111) udgår i 1990 og fortsætter under Storbritannien (5170);;;;;
54;"5756";3;Nordmakedonien;Skiftede i 2019 navn fra Makedonien. Selvstændig nation siden 1991. Tidligere en del af Jugoslavien (5758).;;;;;
55;"5110";3;Norge;;;;;;
56;"5700";3;Rusland;Selvstændig nation siden 1991. Tidligere en del af Sovjetunionen (5162).;;;;;
57;"5159";3;San Marino;;;;;;
58;"5160";3;Schweiz;;;;;;
59;"5757";3;Serbien;Selvstændig nation siden 2006. Tidligere en del af Serbien og Montenegro (5151).;;;;;
60;"5151";3;Serbien og Montenegro;Ophører i 2006 og opdeles i Serbien (5757) og Montenegro (5759). Tidligere Jugoslavien, Forbundsrepublikken (5152).;;;;;
61;"5162";3;Sovjetunionen;Ophører i 1991 og opdeles i Estland (5607), Letland (5609), Litauen (5611), Rusland (5700), Hviderusland (5706), Ukraine (5704), Armenien (5708), Georgien (5724), Moldova (5712), Aserbajdsjan (5710), Kasakhstan (5716), Kirgisistan (5720), Tadsjikistan (5722), Turkmenistan (5718) og Usbekistan (5714).;;;;;
62;"5129";3;Tjekkoslovakiet;Ophører i 1992 og opdeles i Tjekkiet (5776) og Slovakiet (5778).;;;;;
63;"5172";3;Tyrkiet;;;;;;
64;"5704";3;Ukraine;Selvstændig nation siden 1991. Tidligere en del af Sovjetunionen (5162).;;;;;
65;"5176";3;Vatikanstaten;;;;;;
66;"5114";3;Europa uoplyst;;;;;;
67;"5132";3;Europa uoplyst;;;;;;
68;"5143";3;Europa uoplyst;;;;;;
69;"5186";3;Europa uoplyst;;;;;;
70;"5199";3;Europa uoplyst;;;;;;
71;"2";1;Afrika;;;;;;
72;"371";2;Afrika;;;;;;
73;"5202";3;Algeriet;;;;;;
74;"5204";3;Angola;;;;;;
75;"5281";3;Benin;Tidligere Dahomey.;;;;;
76;"5207";3;Botswana;;;;;;
77;"5294";3;Burkina Faso;Tidligere Øvre Volta (5294);;;;;
78;"5213";3;Burundi;;;;;;
79;"5277";3;Cameroun;;;;;;
80;"5276";3;Centralafrikanske Republik;;;;;;
81;"5215";3;Comorerne;;;;;;
82;"5278";3;Congo, Demokratiske Republik;Tidligere Zaire (5278).;;;;;
83;"5279";3;Congo, Republikken;;;;;;
84;"5525";3;Djibouti;;;;;;
85;"5272";3;Egypten;;;;;;
86;"5282";3;Elfenbenskysten;;;;;;
87;"5216";3;Eritrea;Selvstændig nation siden 1993. Tidligere en del af Etiopien (5214);;;;;
88;"5214";3;Etiopien;;;;;;
89;"5283";3;Gabon;;;;;;
90;"5222";3;Gambia;;;;;;
91;"5228";3;Ghana;;;;;;
92;"5232";3;Guinea;;;;;;
93;"5231";3;Guinea-Bissau;;;;;;
94;"5233";3;Kap Verde;;;;;;
95;"5234";3;Kenya;;;;;;
96;"5235";3;Lesotho;;;;;;
97;"5236";3;Liberia;;;;;;
98;"5238";3;Libyen;;;;;;
99;"5242";3;Madagaskar;;;;;;
100;"5297";3;Malawi;;;;;;
101;"5243";3;Mali;;;;;;
102;"5244";3;Marokko;;Marokkansk Vestsahara.;;;;
103;"5284";3;Mauretanien;;;;;;
104;"5245";3;Mauritius;;;;;;
105;"5240";3;Mozambique;;;;;;
106;"5247";3;Namibia;Selvstændig nation siden 1990. Tidligere en del af Sydafrika (5262) under navnet Sydvestafrika (5264).;;;;;
107;"5285";3;Niger;;;;;;
108;"5246";3;Nigeria;;;;;;
109;"5286";3;Reunion;Udgår i 1990 og indgår herefter i Frankrig (5130).;;;;;
110;"5287";3;Rwanda;;;;;;
111;"5621";3;Sao Tome og Principe;;;;;;
112;"5288";3;Senegal;;;;;;
113;"5298";3;Seychellerne;;;;;;
114;"5255";3;Sierra Leone;;;;;;
115;"5253";3;Skt. Helena;Udgår i 1990 og indgår herefter i Storbritannien (5170).;;;;;
116;"5289";3;Somalia;;;;;;
117;"5256";3;Spanske besiddelser i Afrika;Udgår i 1990.;;;;;
118;"5258";3;Sudan;;;;;;
119;"5259";3;Swaziland;;;;;;
120;"5262";3;Sydafrika;;;;;;
121;"5260";3;Sydsudan;Selvstændig nation side 2011. Tidligere en del af Sudan (5258).;;;;;
122;"5264";3;Sydvestafrika;Udgår i 1990 og fortsætter som Namibia (5247).;;;;;
123;"5266";3;Tanzania;;;;;;
124;"5292";3;Tchad;;;;;;
125;"5293";3;Togo;;;;;;
126;"5268";3;Tunesien;;;;;;
127;"5269";3;Uganda;;;;;;
128;"5296";3;Zambia;;;;;;
129;"5295";3;Zimbabwe;Tidligere Sydrhodesia.;;;;;
130;"5230";3;Ækvatorialguinea;;;;;;
131;"5290";3;Afrika uoplyst;;;;;;
132;"5299";3;Afrika uoplyst;;;;;;
133;"3";1;Amerika;;;;;;
134;"372";2;Nordamerika;;;;;;
135;"5314";3;Canada;;;;;;
136;"5390";3;USA;;Puerto Rico (5527).;;;;
137;"5397";3;Nordamerika uoplyst;;;;;;
138;"5399";3;Nordamerika uoplyst;;;;;;
139;"373";2;Syd- og mellemamerika;;;;;;
140;"5309";3;Antigua og Barbuda;;;;;;
141;"5302";3;Argentina;;;;;;
142;"5301";3;Aruba;Før 1986 en del af Nederlandske Antiller (5346). Udgår i 1990 og fortsætter under Nederlandene (5140).;;;;;
143;"5303";3;Bahamas;;;;;;
144;"5305";3;Barbados;;;;;;
145;"5526";3;Belize;;;;;;
146;"5307";3;Bermuda;Udgår i 1990 og fortsætter under Storbritannien (5170).;;;;;
147;"5304";3;Bolivia;;;;;;
148;"5306";3;Brasilien;;;;;;
149;"5394";3;Britisk Vestindien;Britisk Vestindien udgår i 1990 og fortsætter under Vestindiske øer (5395).;;;;;
150;"5316";3;Chile;;;;;;
151;"5318";3;Colombia;;;;;;
152;"5322";3;Costa Rica;;;;;;
153;"5324";3;Cuba;;;;;;
154;"5325";3;Curacao;Udgår i 1990 og fortsætter under Nederlandene (5140).;;;;;
155;"5345";3;Dominica;;;;;;
156;"5326";3;Dominikanske Republik;;;;;;
157;"5328";3;Ecuador;;;;;;
158;"5372";3;El Salvador;;;;;;
159;"5530";3;Falklandsøerne;Udgår i 1990 og fortsætter under Storbrittannien (5170).;;;;;
160;"5529";3;Fransk Guyana;Udgår i 1990 og fortsætter under Frankrig (5130).;;;;;
161;"5336";3;Fransk Vestindien;Fransk Vestindien udgår i 1990 og fortsætter under Vestindiske øer (5395).;;;;;
162;"5339";3;Grenada;;;;;;
163;"5528";3;Guadeloupe;Udgår i 1990 og fortsætter under Frankrig (5130).;;;;;
164;"5338";3;Guatemala;;;;;;
165;"5308";3;Guyana;;;;;;
166;"5342";3;Haiti;;;;;;
167;"5348";3;Honduras;;;;;;
168;"5352";3;Jamaica;;;;;;
169;"5353";3;Martinique;Udgår i 1990 og fortsætter under Frankrig (5130).;;;;;
170;"5354";3;Mexico;;;;;;
171;"5346";3;Nederlandske Antiller;Udgår i 1990 og fortsætter under Nederlandene (5140).;;;;;
172;"5356";3;Nicaragua;;;;;;
173;"5358";3;Panama;;;;;;
174;"5364";3;Paraguay;;;;;;
175;"5366";3;Peru;;;;;;
176;"5527";3;Puerto Rico;Udgår i 1990 og fortsætter under USA (5390).;;;;;
177;"5625";3;Skt. Kitts og Nevis;;;;;;
178;"5347";3;Skt. Lucia;;;;;;
179;"5311";3;Skt. Vincent og Grenadinerne;;;;;;
180;"5344";3;Surinam;;;;;;
181;"5374";3;Trinidad og Tobago;;;;;;
182;"5376";3;Uruguay;;;;;;
183;"5392";3;Venezuela;;;;;;
184;"5395";3;Vestindiske Øer;;Britisk Vestindien (5394) og Fransk Vestindien (5336).;;;;
185;"5319";3;Syd- og Mellemamerika uoplyst;;;;;;
186;"5367";3;Syd- og Mellemamerika uoplyst;;;;;;
187;"5398";3;Syd- og Mellemamerika uoplyst;;;;;;
188;"4";1;Asien;;;;;;
189;"374";2;Asien;;;;;;
