ydelsesnr,description_da
8293,Fortsat kontrol af benyttelse af svangerskabsforebyggende metoder
8294,Telefonkonsultation
8310,Vaccination mod hepatitis B efter konkret anbefaling fra Styrelsen for Patientsikkerhed
8314,"Vaccination mod hepatitis B til børn under 2 år, som er født af en mor med kronisk hepatitis B"
8318,Hepatitis B-vaccination eller A-B-vaccination til særlige risikogrupper (vaccine gives 3 gange)
8325,"Di-Te-Ki-Pol-revaccination (vaccination gives 1 gange, som udg"
8328,Vaccination mod human papilloma virus (HPV-vaccination) (vaccination gives 2-3 gange
8341,"Di-Te-Ki-Pol-Hib-vaccination (vaccination gives 3 gange, som udg"
8344,"Pneumokokvaccination (vaccination gives 3 gange, som udg"
8410,Tillæg ved anvendelse af kvalificeret tolk
8601,"Vaccination mod mæslinger, fåresyge og røde hunde (MFR-vaccination) (vaccination gives 2"
8618,Honorar for telefonisk henvendelse til forældrene forud for MFR-vaccination
8708,"Tillæg til vaccinationshonorar, (ydelsesnummer 8325, 8341, 8344 og 8601) når der ikke"
8801,Vaccination til kvinder mod røde hunde (vaccine gives 1 gang)
8802,Vaccination til ikke-immune voksne mod mæslinger (vaccine gives 1 gang)
8901,"Tillæg til vaccinationshonorar (ydelse 8801 og 8802), når der ikke samtidig er konsultation i"
8940,Vaccination med klausuleret tilskud
9001,For de første 20
9002,For hver efterfølgende km
