code,title,level
0845,3D Digital Artist (privat udd.),3
0850,Kosmetolog (privat udd.),3
0990,"Pædagogik, supplement efter kandidatuddannelse",3
1006,6. klasse,3
1007,7. klasse,3
1008,8. klasse,3
1009,9. klasse,3
1010,10. klasse,3
1011,11. klasse,3
1021,1. real,3
1022,2. real,3
1023,3. real,3
1031,1. hf,3
1032,2. hf,3
1040,"1.g, matematisk-sproglig fælleslinie",3
1041,"1.g, matematisk linie",3
1042,"1.g, sproglig linie",3
1049,"2.g, matematisk-sproglig fælleslinie",3
1051,"2.g, matematisk-fysisk linie",3
1052,"2.g, matematisk-naturfaglig linie",3
1061,"2.g, nysproglig linie",3
1062,"2.g, klassisksproglig linie",3
1064,"2.g, musiksproglig linie",3
1069,"3.g, matematisk-sproglig fælleslinie",3
1070,"3.g, matematisk linie una",3
1071,"3.g, matematisk-fysisk linie",3
1072,"3.g, matematisk-naturfaglig linie",3
1073,"3.g, matematisk-samfundsfaglig linie",3
1080,"3.g, sproglig linie una",3
1081,"3.g, nysproglig linie",3
1082,"3.g, klassisksproglig linie",3
1083,"3.g, musiksproglig linie",3
1084,"3.g, musiksproglig linie",3
1090,Uoplyst (kendt i elevregistret),3
1095,Uoplyst (indvandrernes uddannelse),3
1097,Anden dansk studentereksamen,3
1098,Udenlandsk studentereksamen,3
1099,Uoplyst (ukendt i elevregistret),3
1100,Børnehaveklasse,3
1101,1. klasse,3
1102,2. klasse,3
1103,3. klasse,3
1104,4. klasse,3
1105,5. klasse,3
1106,6. klasse,3
1107,7. klasse,3
1108,8. klasse,3
1109,9. klasse,3
1110,10. klasse,3
1111,11. klasse,3
1120,Børnehaveklasse,3
1121,1. real,3
1122,2. real,3
1123,3. real,3
1140,"1.g, matematisk-sproglig fælleslinie",3
1141,"1.g, matematisk linie",3
1142,"1.g, sproglig linie",3
1143,"2.g, matematisk linie",3
1144,"2.g, sproglig linie",3
1145,"3.g, matematisk linie",3
1146,"3.g, sproglig linie",3
1149,"2.g, matematisk-sproglig fælleslinie",3
1151,"2.g, matematisk-fysisk linie",3
1152,"2.g, matematisk-naturfaglig linie",3
1153,"2.g, matematisk-samfundsfaglig linie",3
1154,"2.g, matematisk-musisk linie",3
1155,"2.g, matematisk forsøgslinie",3
1161,"2.g, nysproglig linie",3
1162,"2.g, klassisksproglig linie",3
1163,"2.g, samfundssproglig linie",3
1164,"2.g, musiksproglig linie",3
1165,"2.g, sproglig forsøgslinie",3
1169,"3.g, matematisk-sproglig fælleslinie",3
1171,"3.g, matematisk-fysisk linie",3
1172,"3.g, matematisk-naturfaglig linie",3
1173,"3.g, matematisk-samfundsfaglig linie",3
1174,"3.g, matematisk-musisk linie",3
1175,"3.g, matematisk forsøgslinie",3
1179,Matematisk gymnasium,3
1181,"3.g, nysproglig linie",3
1182,"3.g, klassisksproglig linie",3
1183,"3.g, samfundssproglig linie",3
1184,"3.g, musiksproglig linie",3
1185,"3.g, sproglig forsøgslinie",3
1189,Sproglig gymnasium,3
1190,Gymnasial indslusning for flygtninge GIF,3
1195,Gymnasial suppleringskursus GSK,3
1196,1.g,3
1197,2.g,3
1198,3.g,3
1199,Stx,3
1206,6. klasse,3
1207,7. klasse,3
1208,8. klasse,3
1209,9. klasse,3
1210,10. klasse,3
1301,Dansk 1,3
1302,Dansk 2,3
1303,"Dansk 3, almenprøve 2",3
1304,"Dansk 3, studieprøven",3
1305,Dansk uoplyst,3
1351,"Erhvervsintroduktion, kurser for unge",3
1352,"Erhvervsintroduktion, langtidsledige",3
1353,"Erhvervsintroduktion, kurser for kvinder",3
1354,"Erhvervsintroduktion, eifu/eifl-kurser",3
1355,"Erhvervsintroduktion, erhv.dk indvandrere",3
1356,"Erhvervsintroduktion, kurser for 10.kl.",3
1357,"Erhvervsintroduktion, specialklasser",3
1359,"Erhvervsintroduktion, inspirationskurser",3
1365,"Kreativ basis, grafisk åben uddannelse (GÅU)",3
1410,1-årigt grundskolekursus,3
1423,1-årigt realkursus,3
