SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
1;"1";1;Ledelse på øverste plan i virksomheder, organisationer og den offentlige sektor;"Hovedgruppe 1 omfatter ledelsesarbejde på øverste administrative plan i virksomheder og organisationer - uanset deres størrelse og uanset arbejdets krav til færdighedsniveau. Arbejdet består i at beslutte, formulere og/eller kontrollere den politik, som virksomheden skal følge - herunder at planlægge, styre og samordne ledelsesarbejdet.

Begrebet virksomhed skal fortolkes i bredeste forstand. Således omfatter hovedgruppe 1 også ledelsesarbejde inden for offentlig administration. Til hovedgruppen henføres derfor også medlemmer af regering, folketing, amtsråd og byråd samt ledende embedsmænd, der er tæt knyttet til disse organer.

I hovedgruppe 1 klassificeres personer med fagbetegnelser som eksempelvis minister, kommunaldirektør, forbundsformand, administrerende direktør, salgschef og depotbestyrer.

Ledelsesarbejde i den offentlige sektor, der er af samme karakter som i den private sektor, klassificeres som arbejde udført i den private sektor. Typisk vil der være tale om personer med fagbetegnelser som fx stationsforstander, rektor og hospitalsdirektør.";;;;;
2;"11";2;Lovgivningsarbejde samt ledelse i offentlig administration og interesseorganisationer;;;;;;
3;"111";3;Lovgivningsarbejde og ledelse i offentlig administration;;;;;;
4;"1110";4;Lovgivningsarbejde og ledelse i offentlig administration;;Borgmester, kommunaldirektør, kredslæge, minister, politimester, socialinspektør, styrelseschef;;;;
5;"114";3;Overordnet ledelse i interesseorganisationer og humanitære organisationer;;;;;;
6;"1141";4;Ledelse i politiske partiorganisationer;;Partifunktionær, partisekretær;;;;
7;"1142";4;Ledelse i økonomiske interesseorganisationer, fx arbejdsgiverforeninger, brancheorganisationer og fagforeninger;;Brancheformand, forbundsformand, forbundssekretær;;;;
8;"1143";4;Ledelse i humanitære organisationer, fx miljø- og idrætsorganisationer;;Foreningsformand, korpschef;;;;
9;"12";2;Ledelse i virksomheder med ti eller flere beskæftigede;;;;;;
10;"121";3;Overordnet og/eller tværgående ledelse i virksomheder med ti eller flere beskæftigede;;;;;;
11;"1210";4;Overordnet og/eller tværgående ledelse i virksomheder med ti eller flere beskæftigede;;Administrerende direktør, bankdirektør, kreditforeningsdirektør, varehusdirektør;;;;
12;"122";3;Ledelse af hovedaktiviteten i virksomheder med ti eller flere beskæftigede;;;;;;
13;"1221";4;Ledelse af bedriften inden for landbrug, skovbrug og fiskeri;;Godsejer, proprietær (Godsforvalter: 1231, kaptajn: 3142);;;;
14;"1222";4;Ledelse af produktionen i håndværks- og industrivirksomheder;;Driftschef, fabrikant, produktionsdirektør (Administrerende direktør: 1210);;;;
15;"1223";4;Ledelse af produktionen i bygge- og anlægssektoren;;Entreprenør;;;;
16;"1224";4;Ledelse af salget i engros- og detailhandelsvirksomheder;;Butikschef, varehuschef;;;;
17;"1225";4;Ledelse af hovedaktiviteten i hotel- og restaurationsvirksomheder;;Hoteldirektør, hotelejer, restauratør (Administrerende direktør: 1210);;;;
18;"1226";4;Ledelse af hovedaktiviteten i virksomheder inden for transport og kommunikation;;Banechef, lufthavnschef, postmester, stationsforstander;;;;
19;"1227";4;Ledelse af hovedaktiviteten i virksomheder inden for forretningsservice;;Bankbestyrer, bureaudirektør (Administrerende direktør: 1210);;;;
20;"1228";4;"Ledelse af hovedaktiviteten i virksomheder inden for sektoren ""personlige tjenesteydelser""";;Kurbadeejer;;;;
21;"1229";4;Ledelse af hovedaktiviteten i øvrige virksomheder med ti eller flere beskæftigede;;Hospitalsdirektør, museumsdirektør, rektor, skoleinspektør, teaterdirektør;;;;
22;"123";3;Ledelse af specialområder i virksomheder med ti eller flere beskæftigede;;;;;;
23;"1231";4;Ledelse vedrørende administration og finansiering i ikke-finansielle virksomheder;;Budgetchef, forvaltningschef, godsforvalter, sekretariatschef, sygehusinspektør, økonomichef (Administrerende direktør: 1210);;;;
24;"1232";4;Personaleledelse;;Personalechef, sikkerhedschef, uddannelseschef;;;;
25;"1233";4;Salgs- og afsætningsledelse, eksklusive salgsvirksomheder;;Eksportchef, markedschef, salgschef (Ledere af salgsvirksomheder klassificeres i undergruppe 1224 eller 1314);;;;
26;"1234";4;Informations- og markedsføringsledelse;;Marketingchef, pressechef;;;;
27;"1235";4;Indkøbs- og forsyningsledelse;;Indkøbschef, logistikchef;;;;
28;"1236";4;Edb-ledelse, eksklusive edb-virksomheder;;Datachef, edb-chef (Ledere af edb-virksomheder klassificeres i undergruppe 1227 eller 1317);;;;
29;"1237";4;Forsknings- og udviklingsledelse;;Planlægningschef, udviklingschef (Forskningsledere, der ikke i større omfang har administrative opgaver, klassificeres i hovedgruppe 2);;;;
30;"1239";4;Ledelse af andre specialområder i virksomheder med ti eller flere beskæftigede;;Byggeadministrationschef, kvalitetschef, miljøchef (Databaseadministrator: 2131);;;;
31;"13";2;Ledelse af virksomheder med færre end ti beskæftigede;;;;;;
32;"131";3;Ledelse af virksomheder med færre end ti beskæftigede;;;;;;
33;"1311";4;Ledelse af virksomheder inden for landbrug, skovbrug og fiskeri;;Gårdbestyrer, planteskolebestyrer;;;;
34;"1312";4;Ledelse af håndværks- og industrivirksomheder;;Bageribestyrer, systueindehaver;;;;
35;"1313";4;Ledelse af virksomheder i bygge- og anlægssektoren;;Bygmester;;;;
36;"1314";4;Ledelse af engros- og detailhandelsvirksomheder;;Brugsuddeler, butiksbestyrer;;;;
37;"1315";4;Ledelse af hotel- og restaurationsvirksomheder;;Cafeindehaver, krovært, lejrchef;;;;
