ydelsesnr,description_da,region
2601,Blodprøvetagning fra åre inkl. præp. og centrifugering,Sjælland
4101,Vaccination i.f.m. udbrud af smitsomme sygdomme,Sjælland
4102,Vaccination efter sygdomsbehandling/fjernelse af milt+knoglemarv,Sjælland
4103,Vaccination efter smitteudsættelse ved arbejdsuheld,Sjælland
4104,Vaccination af børn født af mødre med smitterisiko,Sjælland
4163,Fødselshjælpe eller abortbehandling,Sjælland
4164,Fødselshjælp overgår til sygehus,Sjælland
4179,Medgået tidsforbrug for kørsel pr. påbegyndte 10. minut udover 15 km,Sjælland
4230,1. kontakt opfølgende hjemmebesøg,Sjælland
4231,2. kontakt – sygebesøg ind til 4 km,Sjælland
4232,2. kontakt – sygebesøg 5-8 km,Sjælland
4233,2. kontakt – sygebesøg 9-12 km,Sjælland
4234,2. kontakt – sygebesøg 13-16 km,Sjælland
4235,2. kontakt – sygebesøg 17-20 km,Sjælland
4236,2. kontakt – sygebesøg fra påbegyndt 21 km og over,Sjælland
4237,2. kontakt – konsultation,Sjælland
4238,3. kontakt – sygebesøg ind til 4 km,Sjælland
4239,3. kontakt – sygebesøg 5-8 km,Sjælland
4240,3. kontakt – sygebesøg 9-12 km,Sjælland
4241,3. kontakt – sygebesøg 13-16 km,Sjælland
4243,3. kontakt – sygebesøg 17-20 km,Sjælland
4244,3. kontakt - konsultation,Sjælland
4245,Gentaget kontakt inden for et år,Sjælland
4246,Foto og forsendelse,Sjælland
4259,Telefonisk henvendelse til/fra kommunernes Social- og Sundhedsforvaltninger til/fra lægen,Sjælland
4260,Afstandstakst pr. påbegyndt km ud over 21 km,Sjælland
4261,Kørselsgodtgørelse ind til 20.000 km,Sjælland
4262,Kørselsgodtgørelse over 20.000 km,Sjælland
4263,Afstandstillæg ind til 4 km,Sjælland
4264,Afstandstillæg 4-8 km,Sjælland
4265,Afstandstillæg 8-12 km,Sjælland
4266,Afstandstillæg 12-16 km,Sjælland
4267,Afstandstillæg 16-20 km,Sjælland
4268,Afstandstillæg ud over 20 km,Sjælland
4378,Samtaleterapi,Sjælland
4379,"Ekstra psykometriske test, 1 pr. patient",Sjælland
4381,"Deltagelse i Collabri kontrolgruppen, pr. patient",Sjælland
4418,"Vagttid, B-vagt",Sjælland
8189,Blodprøvetagning fra åre inkl. præp. og centrifugering,Sjælland
