code,text_da,valid_from,valid_to
DA08,Tarminfektioner forårsaget af virus og andre organismer                                                                    001      SKS     3,20120101,25000101
DA080,Enteritis forårsaget af rotavirus                                                                                       001001      SKS     3,20120101,25000101
DA081,Akut gastroenteritis forårsaget af Norwalk-virus                                                                        001001      SKS     3,20120101,25000101
DA082,Enteritis forårsaget af adenovirus                                                                                      001001      SKS     3,20120101,25000101
DA083,Enteritis forårsaget af anden virus                                                                                     001001      SKS     3,20120101,25000101
DA083A,Gastroenteritis forårsaget af parvovirus                                                                                001001      SKS     3,20120101,25000101
DA084,Tarminfektion forårsaget af virus UNS                                                                                   001001      SKS     3,20120101,25000101
DA085,Tarminfektion forårsaget af anden (mikro)organisme UNS                                                                  001001      SKS     3,20120101,25000101
DA09,An. gastroenteritis og colitis af infekt./ikke spec. årsag                                                                 001      SKS     3,20130101,25000101
DA090,An. og uspec gastroenteritis og colitis af infektiøs oprind.                                                            001001      SKS     1,20130101,25000101
DA099,Gastroenteritis eller colitis af ikke specificeret årsag                                                                001001      SKS     3,20120101,25000101
DA15,TB i ånde-org. verif. bakt. og hist.                                                                                       001      SKS     1,20120101,25000101
DA150,Lunge-TB verif. v. mikroskopi af ekspektorat m./u. dyrkning                                                             002001      SKS     3,20120101,25000101
DA150A,"Bronchiectasis tuberculosa, bakteriologisk verificeret                                                                  002001      SKS     3",19940101,20111231
DA150B,"Fibrosis pulmonis tuberculosa, bakteriologisk verificeret                                                               002001      SKS     3",19940101,20111231
DA150C,"Pneumonia tuberculosa, bakteriologisk verificeret                                                                       002001      SKS     3",19940101,20111231
DA150D,"Pneumothorax tuberculosa, bakteriologisk verificeret                                                                    002001      SKS     3",19940101,20111231
DA151,Lungetuberkulose verificeret alene ved dyrkning                                                                         002001      SKS     3,20120101,25000101
DA152,Lungetuberkulose verificeret histologisk                                                                                002001      SKS     1,20120101,25000101
DA153,Lungetuberkulose verificeret ved ikke angivet metode                                                                    002001      SKS     3,20120101,25000101
DA154,TB i intratorakale lymfeknuder verificeret bakt. eller hist.                                                            002001      SKS     3,20120101,25000101
DA154A,"Tuberculosis lymphonodorum hili, bakt og hist verificeret                                                               002001      SKS     3",19940101,20111231
DA154B,"Tuberculosis lymphonodorum mediast, bakt og hist verificere                                                             002001      SKS     3",19940101,20111231
DA154C,"Tuberculosis lymphonodorum tracheobronch, bakt og hist veri                                                             002001      SKS     3",19940101,20111231
DA155,"TB i struben, luftrøret el. bronkier verif. bakt. el. hist.                                                             002001      SKS     3",20120101,25000101
DA155A,"Tuberculosis bronchi, bakt og hist verificeret                                                                          002001      SKS     3",19940101,20111231
DA155B,"Tuberculosis glottidis, bakt og hist verificeret                                                                        002001      SKS     3",19940101,20111231
DA155C,"Tuberculosis laryngis, bakt og hist verificeret                                                                         002001      SKS     3",19940101,20111231
DA155D,"Tuberculosis tracheae, bakt og hist verificeret                                                                         002001      SKS     3",19940101,20111231
DA156,Tuberkuløs lungehindebetændelse verificeret bakt. el. hist.                                                             002001      SKS     3,20120101,25000101
DA156A,"Empyema pleurae tuberculosa, bakt og hist verificeret                                                                   002001      SKS     3",19940101,20111231
DA157,Primær TB i åndedrætsorganerne verificeret bakt. eller hist.                                                            002001      SKS     3,20120101,25000101
DA158,An. TB i åndedrætsorganerne verif. bakt. og hist.                                                                       002001      SKS     1,20120101,25000101
DA158A,TB i mediastinum verif. bakt. og hist.                                                                                  002001      SKS     1,20120101,25000101
DA158B,TB i næsen verif. bakt. og hist.                                                                                        002001      SKS     1,20120101,25000101
DA158C,TB i næsesvælget verif. bakt. og hist.                                                                                  002001      SKS     1,20120101,25000101
DA159,"TB i åndedrætsorganerne UNS, verificeret bakt. eller hist.                                                              002001      SKS     3",20120101,25000101
DA16,TB i åndedrætsorganer ikke bakt. eller hist. verificeret                                                                   001      SKS     3,20120101,25000101
DA160,"Lungetuberkulose, bakt. og hist. negativt fund                                                                          002001      SKS     1",20120101,25000101
DA160A,"Bronchiectasia tuberculosa, bakt og hist negativ                                                                        002001      SKS     3",19940101,20111231
DA160B,"Fibrosis pulmonis tuberculosa, bakt og hist negativ                                                                     002001      SKS     3",19940101,20111231
DA160C,"Pneumonia tuberculosa, bakt og hist negativ                                                                             002001      SKS     3",19940101,20111231
DA160D,"Pneumothorax tuberculosa, bakt og hist negativ                                                                          002001      SKS     3",19940101,20111231
DA161,"Lungetuberkulose, bakt. og hist. unds. ikke er foretaget                                                                002001      SKS     1",20120101,25000101
DA162,Lunge-TB uden bakteriologisk eller histologisk verifikation                                                             002001      SKS     3,20120101,25000101
DA162A,Tuberkuløs lungefibrose UNS                                                                                             002001      SKS     1,20120101,25000101
DA162B,Tuberkuløs pneumoni UNS                                                                                                 002001      SKS     1,20120101,25000101
DA162C,Tuberkuløs pneumothorax UNS                                                                                             002001      SKS     1,20120101,25000101
DA162D,Tuberculosis pulm u spec u ang af verifikationsmåde                                                                     002001      SKS     3,19940101,20111231
DA163,TB i intratorakale lymfekirtler u. bakt. el. hist. verif.                                                               002001      SKS     3,20120101,25000101
DA164,"TB i strube, luftrør el. bronkier u. bakt. el. hist. verif.                                                             002001      SKS     3",20120101,25000101
DA164A,Tuberculosis bronchi uden angivelse af verifikationmåde                                                                 002001      SKS     3,19940101,20111231
DA164B,Tuberculosis glottidis uden angivelse af verifikationsmåde                                                              002001      SKS     3,19940101,20111231
DA164C,Tuberculosis laryngis uden angivelse af verifikationsmåde                                                               002001      SKS     3,19940101,20111231
DA164D,Tuberculosis tracheae uden angivelse af verifikationsmåde                                                               002001      SKS     3,19940101,20111231
DA165,Tuberkuløs lungehindebetæn. u. ang. af bakt. el. hist. veri.                                                            002001      SKS     3,20120101,25000101
DA165A,Empyema pleurae tuberculosa uden ang af verifikationmåde                                                                002001      SKS     3,19940101,20111231
DA167,Primær TB i åndedrætsorganerne uden bakt. el. hist. verif.                                                              002001      SKS     3,20120101,25000101
DA168,An. TB i åndedrætsorganerne u. bakt. el. hist. verif.                                                                   002001      SKS     3,20120101,25000101
DA168A,Tuberkulose i mediastinum UNS                                                                                           002001      SKS     1,20120101,25000101
DA168B,Tuberkulose i næsen UNS                                                                                                 002001      SKS     1,20120101,25000101
DA168C,Tuberkulose i næsesvælget UNS                                                                                           002001      SKS     1,20120101,25000101
DA169,"TB i åndedrætsorganerne UNS, uden bakt. el. hist. verif.                                                                002001      SKS     3",20120101,25000101
DA17,Tuberkulose i nervesystemet                                                                                                001      SKS     1,20120101,25000101
DA170,Tuberkuløs meningitis                                                                                                   003001      SKS     1,20120101,25000101
