Gyldig fra,Gyldig til,Kode,Tekst
,,1180705,Meddelt pålæg
,,1180706,Overtrædelse af forbud efter straffelovens §236
,,1210501,Vold eller trussel mod polititjenestemand
,,1210502,Lægge hindringer i vejen for udførelse (polititjenestemand)
,,1210503,Trusler om vold mv. mod overordnet polititjenestemand
,,1210504,Lægge hindring i vejen for udførelse (polititjenestemand)
,,1210505,Vold o.l. mod nogen i offentlig tjeneste mv. (Forekommer første gang i 1980)
,,1210506,Vold mod polititjenestemand
,,1210507,Trussel mod polititjenestemand
,,1210508,Vold mod nogen i offentlig tjeneste
,,1210509,Trussel om vold mod nogen i offentlig tjeneste
,,1210510,Trusler om vold mv. mod offentlig myndighed
,,1210515,Hindring af offentlig myndighed
,,1210516,"Lægge hindring i vejen for udførelsen af offentlig myndighed, skærpende omstændigheder"
,,1210517,Lægge hindring i vejen for udførelse af offentlig myndighed
,,1210518,"Lægge hindring i vejen for udførelse af offentlig myndighed, skærpende"
,,1210520,Fredskrænkelse af person i offentlig tjeneste
,,1210525,Angreb med genstande mod nogen i offentlig tjeneste
,,1210705,Vold mod politi mv. ved opløb/opstand
,,1220505,Ledelse og fremkaldelse af opløb
,,1220510,Grov forstyrrelse af offentlig ro og orden
,,1220515,"Maskering, forbud mod"
,,1220520,"Tildækningsforbud, overtrædelse af"
,,1230505,Manddrab
,,1230705,Barnedrab
,,1240505,Forsøg på manddrab
,,1250505,Psykisk vold
,,1252505,Simpel vold
,,1255305,Alvorligere vold
,,1255705,Vold med skade på legeme eller helbred
,,1255710,Vold ved kvindelig omskæring
,,1258305,Særlig alvorlig vold
,,1258705,Særlig alvorlig vold med døden til følge
,,1260505,Vold mod sagesløs
,,1270305,Legemskrænkelse
,,1270505,Vold af særlig farlig karakter
,,1270705,Vold med skade på legeme eller helbred
,,1280305,Legemsbeskadigelse
,,1280505,Legemsbeskadigelse med død til følge mv.
,,1280510,Legemsbeskadigelse med grov skade til følge
,,1280705,Grov legemsbeskadigelse
,,1283305,Uagtsomt manddrab
,,1283505,Uagtsom legemsbeskadigelse
,,1283705,Uagtsom grov legemsbeskadigelse
,,1283805,Uagtsom betydelig legemsbeskadigelse
,,1286505,Drab efter begæring
,,1286510,Medvirken til selvmord
,,1286515,Hensættelse i hjælpeløs tilstand
,,1286520,Uforsvarlig omgang ved barnefødsel
,,1286525,Forvoldt fare for liv eller førlighed
,,1286530,Undladt at hjælpe en person i livsfare
,,1286535,Undladt at hjælpe en person ved ulykke
,,1286537,Undladt at hjælpe/flugt fra færdselsuheld
,,1286540,Overladelse af våben eller sprængstof
,,1286545,Undladt at hjælpe gravid kvinde
,,1289505,Ulovlig tvang
,,1289705,Frihedsberøvelse
,,1289710,Kvalificeret frihedsberøvelse
,,1289713,"Frihedsberøvelse, grov uagtsomhed"
,,1289715,Uagtsom frihedsberøvelse
,,1289720,Menneskehandel
,,1292505,Trussel på livet
,,1292510,Bombetrusler/telefonbomber
,,1292515,Offentlig trussel om voldshandling
,,1292520,"Trusler, vold o.l. mod vidner og deres nærmeste (Forekommer første gang 1992)"
,,1292525,Trusler og lignende mod vidner og deres nærmeste
,,1292530,Vold mod vidner og deres nærmeste
,,1304505,Dokumentfalsk
,,1304705,Dokumentfalsk ved anvendelse af dankort
,,1304805,Dokumentfalsk ved anvendelse af øvrige kontokort
,,1308505,Dokumentfalsk ved anvendelse af check
,,1308510,Dokumentfalsk ved anvendelse af eurochecks
,,1312505,"Brandstiftelse, kvalificeret"
,,1312510,"Brandstiftelse, forsætlig"
,,1312705,"Brandstiftelse, uagtsom"
,,1316105,Indbrud i kommune-/sygesikringskontor
,,1316110,Indbrud i posthus/postkontor
,,1316205,Indbrud i bibliotek
,,1316210,Indbrud i børnehave/vuggestue/fritidshjem
,,1316215,Indbrud i skole
,,1316220,Indbrud i kirke/museum
,,1316225,Indbrud i svømmehal/idrætsanlæg o.l.
,,1316230,Indbrud i institution/plejehjem
,,1316235,Indbrud i offentligt kontor/bygning i øvrigt
,,1316240,Indbrud i kaserne (våben/ammunition)
,,1316305,Indbrud i bankiers/vekselerer o.l.
,,1316310,Indbrud i biograf/teater
,,1316315,Indbrud i campingplads/vandrerhjem
,,1316320,Indbrud i tankstation/autohandler
,,1316325,Indbrud i privat institution
,,1316330,Indbrud i beboerklubber
,,1316335,Indbrud i privat kontor i øvrigt
,,1316340,Indbrud i selskabslokaler
,,1316405,Indbrud i pengeinstitut
,,1316504,Indbrud i sportsforretning
,,1316505,Indbrud i beklædnings-/skind-/fodtøjsforretning
,,1316510,Indbrud i kiosk/cigar-/vinhandel
,,1316515,Indbrud i købmand/supermarked/mejeri
,,1316520,Indbrud i radio-/fotoforretning
,,1316525,Indbrud i urmager/guldsmed
,,1316530,Indbrud i cafeteria/restaurant
,,1316535,Indbrud i hotel/motel
,,1316536,Indbrud i EDB-forretning
,,1316537,Indbrud i optikerforretning
,,1316540,Indbrud i forretning i øvrigt
,,1316545,Indbrud i våbenlager/-fabrik/-forretning
,,1316605,Indbrud i fabrik
,,1316610,Indbrud i lager o.l.
,,1316615,Indbrud i værksted
,,1316620,Indbrud i tømmerhandel/byggemarked
,,1316621,Indbrud i EDB-virksomhed
,,1316625,Indbrud i virksomhed i øvrigt
