code,description_da,valid_from,valid_to
1,Anæsthesiologi,01JAN1990,01OCT2003
2,Fiktiv knækgrænse / yder knækkes ikke,01JAN1990,01OCT2003
3,Diagn. Radiologi Kbh,01JAN1990,01OCT2003
4,Dermato-Venerologi,01JAN1990,01OCT2003
5,Diagnost. Radiologi,01JAN1990,01OCT2003
6,Reumatologi,01JAN1990,01OCT2003
7,Gynækologi/obstetrik,01JAN1990,01OCT2003
8,Intern Medicin,01JAN1990,01OCT2003
9,Kirurgi,01JAN1990,01OCT2003
11,Klinisk Kemi,01JAN1990,01OCT2003
15,Ørelægevagt Kbh.,01JAN1990,01OCT2003
16,Ørelægevagt KAK,01JAN1990,01OCT2003
17,Neurokirurgi,01JAN1990,01OCT2003
18,Neuromedicin,01JAN1990,01OCT2003
19,Øjenlægehjælp,01JAN1990,01OCT2003
20,Ortopædisk Kirurgi,01JAN1990,01OCT2003
21,Ørelægehjælp,01JAN1990,01OCT2003
22,Patologi,01JAN1990,01OCT2003
23,Plastikkirurgi,01JAN1990,01OCT2003
24,Psykiatri,01JAN1990,01OCT2003
25,Pædiatri,01JAN1990,01OCT2003
26,Børnepsykiatri,01JAN1990,01OCT2003
28,Tropemedicin,01JAN1990,01OCT2003
35,Distriktspsykiatri,01JAN1990,01OCT2003
39,Øjenlægehjælp *kfa*,01JAN1990,01OCT2003
41,Ørelægehjælp  *kfa*,01JAN1990,01OCT2003
42,Referencelaborator.,01JAN1990,01OCT2003
43,Diagnoselaboratoriet,01JAN1990,01OCT2003
44,KPLL,01JAN1990,01OCT2003
45,Medicinsk Laborator.,01JAN1990,01OCT2003
46,Omegns Laboratorier,01JAN1990,01OCT2003
47,Århus Universitet,01JAN1990,01OCT2003
48,Statens Seruminstit.,01JAN1990,01OCT2003
49,Histopatalogiske Us.,01JAN1990,01OCT2003
50,Tandlægehjælp,01JAN1990,01OCT2003
51,Fysioterapi  51,01JAN1990,01OCT2003
52,Briller,01JAN1990,01OCT2003
53,Kiropraktik  53,01JAN1990,01OCT2003
54,Fodterapi,01JAN1990,01OCT2003
55,Ortonyxi,01JAN1990,01OCT2003
56,Klinikbehandling,01JAN1990,01OCT2003
57,Ridefysioterapi   57,01JAN1990,01OCT2003
58,Genoptræning,01JAN1990,01OCT2003
59,Fodbeh arvævspat.,01JAN1990,01OCT2003
61,Fysioterapi  61,01JAN1990,01OCT2003
62,Vederlagsfri Fysioterapi 62,01JAN1990,01OCT2003
63,Psykologhjælp,01JAN1990,01OCT2003
64,Kiropraktik  64,01JAN1990,01OCT2003
65,Ridefysioterapi   65,01JAN1990,01OCT2003
68,Høreomsorg,01JAN1990,01OCT2003
71,Sygehuse,01JAN1990,01OCT2003
75,Kommuner,01JAN1990,01OCT2003
76,Amter,01JAN1990,01OCT2003
79,Fiktive,01JAN1990,01OCT2003
80,Almen Lægehjælp   80,01JAN1990,01OCT2003
81,KFA-VAGTORDNING 81,01JAN1990,01OCT2003
82,Kak Vagtlægehjælp 82,01JAN1990,01OCT2003
83,Vagtlægehjælp     83,01JAN1990,01OCT2003
84,Kak Vagtlægehjælp 84,01JAN1990,01OCT2003
85,Præhospital,01JAN1990,01OCT2003
86,Ø-Læger,01JAN1990,01OCT2003
87,Visitat Kønssygdomme,01JAN1990,01OCT2003
88,Læge uden overenskomst,01JAN1990,01OCT2003
89,KFA-VAGTORDNING 89,01JAN1990,01OCT2003
90,Offentl. sygesikring,01JAN1990,01OCT2003
91,Disp. f. Sundhedsst.,01JAN1990,01OCT2003
92,Rekv.Lægem. mv. Alm.,01JAN1990,01OCT2003
93,Rekvis. Speciallæger,01JAN1990,01OCT2003
94,Tilskud til ernæringspræparater,01JAN1990,01OCT2003
95,Begravelseshjælp,01JAN1990,01OCT2003
96,Tolkebistand,01JAN1990,01OCT2003
97,Fonde,01JAN1990,01OCT2003
98,Bef. Af Alm. Læger,01JAN1990,01OCT2003
99,Diverse ydelser,01JAN1990,01OCT2003
