code,title,level,parent_id,id
1174,"3.g, matematisk-musisk linie",5,,4762f51c-cdf2-4588-8999-99d93644e164
1175,"3.g, matematisk forsøgslinie",5,,434b1aac-f40d-4c55-93d8-359c08a2cdb7
1179,Matematisk gymnasium,5,,179ac1bd-e311-4805-95d1-f7ab65ecf40f
1181,"3.g, nysproglig linie",5,,2b60bb63-c962-4701-b802-8ce38e86a015
1182,"3.g, klassisksproglig linie",5,,993bba74-3263-41b0-a8ac-4e82a4e3918a
1183,"3.g, samfundssproglig linie",5,,7411d541-b60a-4fc6-830a-3472d3cf4122
1184,"3.g, musiksproglig linie",5,,4a2a6fd1-296b-4d56-a9d5-0c912e4acb75
1185,"3.g, sproglig forsøgslinie",5,,c734dd0f-98c0-4d18-9987-8585b76dd210
1189,Sproglig gymnasium,5,,16343bb3-8137-4e8a-9720-d6c28c0faf06
1190,Gymnasial indslusning for flygtninge GIF,5,,876ab751-6ec7-4306-95cf-11e4b39e7203
1195,Gymnasial suppleringskursus GSK,5,,5801bfc7-9826-4a91-985b-1adfea7b0a3c
1196,1.g,5,,6d20121c-6af6-4886-b1e6-aee15e69ba0e
1197,2.g,5,,6d0db742-7063-49ac-8e15-21b9afa49cba
1198,3.g,5,,ab1be5c9-af69-46ff-831e-8831d0bf3e96
1199,Stx,5,,23c8d23b-e5e2-44a3-b027-eb64d7e52634
1206,6. klasse,5,,b23e2998-d26c-4a28-ac94-211ef512169d
1207,7. klasse,5,,d65770e9-c933-423f-9643-2b3063e813cb
1208,8. klasse,5,,df13da71-3505-4e14-b246-b328fc1e4fcc
1209,9. klasse,5,,603450b0-c898-4995-a83b-7e652bafec29
1210,10. klasse,5,,e3c57147-b6fa-4681-b576-fdcc942b573e
1301,Dansk 1,5,,28943a14-6885-4255-9f8d-682442375ce6
1302,Dansk 2,5,,54791550-b9c7-4086-8c83-030875888e18
1303,"Dansk 3, almenprøve 2",5,,e7ef7882-87c5-4c57-83a3-d6c73b9c4f02
1304,"Dansk 3, studieprøven",5,,0f4f90ec-380a-4b8b-8846-a9da54c8c86f
1305,Dansk uoplyst,5,,8e8d8ed5-c380-409d-8bf7-569321c42ec1
1351,"Erhvervsintroduktion, kurser for unge",5,,fff490b0-4fff-4afd-8dc9-58bad6026050
1352,"Erhvervsintroduktion, langtidsledige",5,,c72e7e67-ab81-49f8-a806-3a1b078438e2
1353,"Erhvervsintroduktion, kurser for kvinder",5,,83d42b5e-166d-4212-881f-e86cb59b2c73
1354,"Erhvervsintroduktion, eifu/eifl-kurser",5,,1f2929bf-fdcb-4b83-868a-68a6218ad6ce
1355,"Erhvervsintroduktion, erhv.dk indvandrere",5,,667690fb-371d-46c5-aec6-c97673378677
1356,"Erhvervsintroduktion, kurser for 10.kl.",5,,d779d5ea-7868-4bed-b94a-99444a1d6795
1357,"Erhvervsintroduktion, specialklasser",5,,65028393-bcaf-4848-a3b1-b99a115cf374
1359,"Erhvervsintroduktion, inspirationskurser",5,,59c5afe3-0d8d-42ea-93ab-16bed89252cd
1365,"Kreativ basis, grafisk åben uddannelse (GÅU)",5,,3b12a177-55ac-40d2-9ac7-6b6f16b7c0a9
1410,1-årigt grundskolekursus,5,,b80a7de6-6670-471f-871a-96c0053ecf83
1423,1-årigt realkursus,5,,39d82aee-bb89-41ab-9e77-207ee51ea649
1509,"1. år, grundsskolekursus 2-årigt",5,,2c4c1e0f-45be-48fc-b511-a95697899428
1510,"2. år, grundsskolekursus 2-årigt",5,,9eabf7ad-1e2c-4a3f-be0c-cd0e6ec70b59
1511,Supplerende overbygningsforløb (SOF),5,,3d5a809e-9e30-416a-ae07-7927ed4cead4
1522,"1. år, realkursus 2-årigt",5,,08ddf552-bb58-437b-a58f-1b958bd2ec54
1523,"2. år, realkursus 2-årigt",5,,7d667688-7016-425f-ac62-b8a852bdf441
1531,1. hf,5,,fd213f35-7da6-4dd7-97f5-d6239da870c8
1532,2. hf,5,,74d4f0ba-8976-4e6d-888f-6fad8d71aac6
1539,Hf,5,,3ff921a9-ebc8-412f-8e21-c7a1ad0827b0
1543,2-årig hf,5,,bfd38097-845f-47d6-bab2-f7066598a4d0
1549,HF-enkeltfag,5,,c3dc4c4f-d2a8-450b-8ea1-e5564310e25c
1551,"1. år, studenterkursus matematik-fysik",5,,1ef6fe3f-ea79-4f87-b829-8bb03d2e571b
1552,"1. år, studenterkursus matematik-naturfag",5,,8abaa495-6d1d-4d9f-b1b7-b3b4b0b30275
1553,"1. år, studenterkursus matematik-samfundsfag",5,,907a4688-97f7-4acf-adb3-73a82a7d4141
1555,"1. år, studenterkursus matematik-forsøg",5,,6f278430-a5db-4c28-b9d4-48bc66d33672
1559,"1. år, studenterkursus matematik",5,,a8102345-2029-4346-b2ce-e12cece3b4ec
1561,"1. år, studenterkursus nysproglig",5,,e8ab1b4f-0804-471b-b0d3-0cb6e3d525dd
1562,"1. år, studenterkursus klassisksproglig",5,,cf61a9ba-81a3-463c-82e3-0c1b1109e64b
1563,"1. år, studenterkursus samfundsfag-sproglig",5,,50a5a453-026a-42b4-a787-25225c967c37
1565,"1. år, studenterkursus sproglig-forsøg",5,,7945dda8-0cfe-4ad8-841d-38034825d674
1569,"1. år, studenterkursus sproglig",5,,0509a081-4e16-480f-bbec-1b23faf6dd3f
1650,"1. år, studenterkursus",5,,e6f3a32d-0cb4-4c12-ba86-9e98e6042650
1651,"2. år, studenterkursus",5,,59c1421b-f2e2-4ec6-b2e2-f12018604ad0
1652,Studenterkursus,5,,bccee3d0-6609-4b98-a355-f48e97f09ea8
1671,"2. år, studenterkursus matematik-fysik",5,,f20d440d-a193-4a6a-8d8e-7dd579cf4ca1
1672,"2. år, studenterkursus matematik-naturfag",5,,d0890945-6cb8-44c1-a2aa-9793c7bbc83b
1673,"2. år, studenterkursus matematik-samfundsfag",5,,9defbdae-83d4-4ac3-8824-eb3e4923fa8e
1679,"2. år, studenterkursus matematik",5,,ab429a17-c97b-46a6-86a1-1b5d5f3fc5eb
