code,spec6_txt,spec4_txt,spec3_txt
082323,Diffusionskapacitet,Scopier,Tillægsydelser
082324,Total lungekapacitet,Scopier,Tillægsydelser
082325,Døgnpulsoxymetri,Scopier,Tillægsydelser
082400,Kontrol Scopier,Kontrol Scopier,Tillægsydelser
082402,Kontr. Oeso Gast Duo,Kontrol Scopier,Tillægsydelser
082405,Kontrol Rectoscopi,Kontrol Scopier,Tillægsydelser
082407,Kontr. Sigmoi./Colo.,Kontrol Scopier,Tillægsydelser
083000,Særydelser,Særydelser,Særydelser
083001,Arbejdstest,Særydelser,Særydelser
083101,Allergivacc. 1.aller,Særydelser,Særydelser
083102,Allergivacc. eft.føl,Særydelser,Særydelser
083152,"Fj.polyp, rectum",Særydelser,Særydelser
083153,"Fj.polyp, colon",Særydelser,Særydelser
083810,eccokardiografi,Særydelser,Særydelser
085000,Ydelser Rammeaftaler,Ydelser Rammeaftaler,Ydelser Rammeaftaler
085001,ukendt,Ydelser Rammeaftaler,Ydelser Rammeaftaler
085007,CLO-test,Ydelser Rammeaftaler,Ydelser Rammeaftaler
