code,spec6_txt,spec4_txt,spec3_txt
000000,Uoplyst,Uoplyst,Uoplyst
010000,Anæsthesiologi,Anæsthesiologi,Anæsthesiologi
010100,Konsultation,Konsultation,Anæsthesiologi
010105,E-mail konsultation,Konsultation,Anæsthesiologi
010110,1.Kons. Smertetils.,Konsultation,Anæsthesiologi
010111,1.Kons.M/operat.M.V.,Konsultation,Anæsthesiologi
010112,Udvidet 1. kons. smertebehandling,Konsultation,Anæsthesiologi
010114,ukendt,Konsultation,Anæsthesiologi
010116,1.Kons. M. Operation,Konsultation,Anæsthesiologi
010120,2. Kons. Smertetils.,Konsultation,Anæsthesiologi
010130,Senere Kons. Smerte.,Konsultation,Anæsthesiologi
010161,tillæg for tolk,Konsultation,Anæsthesiologi
010200,Konsultation,Konsultation,Anæsthesiologi
010201,Tlf. Kons. Smerte.,Konsultation,Anæsthesiologi
010205,Tlf.rådg.prakt.læge,Konsultation,Anæsthesiologi
010210,1. Kons. Udv. Lungef,Konsultation,Anæsthesiologi
010220,2. Kons. udv. Lungef,Konsultation,Anæsthesiologi
010230,Senere Kons. Lungef.,Konsultation,Anæsthesiologi
010235,E-mail kons,Konsultation,Anæsthesiologi
010237,Tlf.rådg.prakt.læge,Konsultation,Anæsthesiologi
010300,Tlf. Konsultation,Tlf. Konsultation,Anæsthesiologi
010301,Tlf. Kons.,Tlf. Konsultation,Anæsthesiologi
011000,Besøg og Afst.tillæg,Besøg og Afst.tillæg,Besøg og Afst.tillæg
011100,Afstandstillæg,Afstandstillæg,Besøg og Afst.tillæg
011101,Afstandstillæg,Afstandstillæg,Besøg og Afst.tillæg
011400,Besøg,Besøg,Besøg og Afst.tillæg
011401,Besøg,Besøg,Besøg og Afst.tillæg
012000,Tillægsydelser,Tillægsydelser,Tillægsydelser
012146,Udlån app. blodtryk,Tillægsydelser,Tillægsydelser
012147,ICD-10 depp.test,Tillægsydelser,Tillægsydelser
012148,Hamiltons depp.test,Tillægsydelser,Tillægsydelser
012161,tolkebistand,Tillægsydelser,Tillægsydelser
012600,Blokader,Blokader,Tillægsydelser
012602,Psykometr.test.depp.,Blokader,Tillægsydelser
012603,Opf.demenssamt.tværf,Blokader,Tillægsydelser
012610,Blokader Gr. I,Blokader,Tillægsydelser
012611,Muskelblokader,Blokader,Tillægsydelser
012620,Triggerpunktblokade,Blokader,Tillægsydelser
012621,Intraart. injektion.,Blokader,Tillægsydelser
012622,Ledningsbl./nervebl.,Blokader,Tillægsydelser
012623,Manipulationsbeh.,Blokader,Tillægsydelser
012624,Akupunktur,Blokader,Tillægsydelser
012625,Transcutan nervesti.,Blokader,Tillægsydelser
012626,Injektion i bursae,Blokader,Tillægsydelser
012630,Blokader Gr. III,Blokader,Tillægsydelser
012631,Sympaticusblo.(cer.),Blokader,Tillægsydelser
012632,Sympaticusblo.(lum.),Blokader,Tillægsydelser
012633,I.V. Reg. Sympat.Bl.,Blokader,Tillægsydelser
012634,Perivertebral. blok.,Blokader,Tillægsydelser
012635,Injekt. i epiduralr.,Blokader,Tillægsydelser
012636,Neurolytiske blokad.,Blokader,Tillægsydelser
012637,Paravertebal blokade,Blokader,Tillægsydelser
013000,Særydelser,Særydelser,Særydelser
013010,Udvid. Lungefunktpr.,Særydelser,Særydelser
013020,Bistand til øjen/øre,Særydelser,Særydelser
013021,Kortvarig anæstæsi med maske,Særydelser,Særydelser
013022,Kortvarig anæstæsi med intubation,Særydelser,Særydelser
013023,Anæstæsi med intubation 30-60 min,Særydelser,Særydelser
013024,Anæstæsi med intubation 61-120 min,Særydelser,Særydelser
013025,Anæstæsi med intubation over 120 min,Særydelser,Særydelser
013100,1. Operation,1. Operation,Særydelser
013110,Bedøvelse GrI    *1*,1. Operation,Særydelser
013120,Bedøvelse GrII   *1*,1. Operation,Særydelser
013130,Bedøvelse GrIII  *1*,1. Operation,Særydelser
013140,Bedøvelse GrIV   *1*,1. Operation,Særydelser
013150,Ukendt,1. Operation,Særydelser
013151,Ukendt,1. Operation,Særydelser
013200,Følgende Operationer,Følgende Operationer,Særydelser
013210,Bedøvelse GrI  *flg*,Følgende Operationer,Særydelser
013220,Bedøvelse GrII *flg*,Følgende Operationer,Særydelser
013230,Bedøvelse GrIII*flg*,Følgende Operationer,Særydelser
013240,Bedøvelse GrIV *flg*,Følgende Operationer,Særydelser
015000,Tillægsydelser mv.,Tillægsydelser mv.,Tillægsydelser mv.
015001,læ anæ.ifm ørelægebi,Tillægsydelser mv.,Tillægsydelser mv.
015002,Længvar. anæstesi A,Tillægsydelser mv.,Tillægsydelser mv.
015003,Ukendt,Tillægsydelser mv.,Tillægsydelser mv.
015004,Ukendt,Tillægsydelser mv.,Tillægsydelser mv.
015005,læ anæ.ifm ørelægebi,Tillægsydelser mv.,Tillægsydelser mv.
015010,Epiduralkateter,Tillægsydelser mv.,Tillægsydelser mv.
015070,Telefonkonsultation,Tillægsydelser mv.,Tillægsydelser mv.
015080,Telefonkonsultation,Tillægsydelser mv.,Tillægsydelser mv.
015081,Møde 1 modul,Tillægsydelser mv.,Tillægsydelser mv.
015082,Møde 2 moduler,Tillægsydelser mv.,Tillægsydelser mv.
015083,Møde 3 moduler,Tillægsydelser mv.,Tillægsydelser mv.
015084,Møde udover 3 modul,Tillægsydelser mv.,Tillægsydelser mv.
015101,Ukendt,Tillægsydelser mv.,Tillægsydelser mv.
015310,Tolk ifm. kons.  3,Tillægsydelser mv.,Tillægsydelser mv.
015901,1. op stritøre,Tillægsydelser mv.,Tillægsydelser mv.
015902,Flg. op. stritøre,Tillægsydelser mv.,Tillægsydelser mv.
016400,Bedøv v/tonsillectom,Bedøv v/tonsillectom,Anæsthesiologi
016401,Anæst.bist. øjen/øre,Bedøv v/tonsillectom,Anæsthesiologi
016402,anæstesi tons. 1.opr,Bedøv v/tonsillectom,Anæsthesiologi
016403,anæstesi tons. følge,Bedøv v/tonsillectom,Anæsthesiologi
016666,Ukendt,Anæsthesiologi,Anæsthesiologi
017000,Lab. Undersøgelser,Lab. Undersøgelser,Lab. Undersøgelser
017100,Lab,Lab,Lab. Undersøgelser
017103,Blodpr. Exp        1,Lab,Lab. Undersøgelser
017136,B-Glukose *ej Stix*4,Lab,Lab. Undersøgelser
017139,Blodpr. Ekg I Hjem 6,Lab,Lab. Undersøgelser
017151,U-Methylketon      1,Lab,Lab. Undersøgelser
017152,F-Blod             1,Lab,Lab. Undersøgelser
017153,U-Hemoglobin       1,Lab,Lab. Undersøgelser
017154,Pt-Kapilærblødning 1,Lab,Lab. Undersøgelser
017155,Pt-Ekg  3 Ext.Afl. 6,Lab,Lab. Undersøgelser
017156,Pt-Ekg  3ext.3præ. 9,Lab,Lab. Undersøgelser
017157,Fpt-Ventrikelsekret2,Lab,Lab. Undersøgelser
017158,U-Bilirubiner      1,Lab,Lab. Undersøgelser
017159,B-Glukose *stix*   1,Lab,Lab. Undersøgelser
017160,U-Glukose          1,Lab,Lab. Undersøgelser
017161,Sekret-Gonokok*mik*2,Lab,Lab. Undersøgelser
017162,Sekret-Gonokok*exp*1,Lab,Lab. Undersøgelser
017165,U-Hormonanal*exp*  1,Lab,Lab. Undersøgelser
017166,B-Hemoglobin       2,Lab,Lab. Undersøgelser
017167,Pt-Kapillærresist. 3,Lab,Lab. Undersøgelser
017168,S-Creatinium       5,Lab,Lab. Undersøgelser
017169,U-Mikroskopi       3,Lab,Lab. Undersøgelser
017170,F-Orm  Ormled      1,Lab,Lab. Undersøgelser
017171,F-Parasit  -Æg     6,Lab,Lab. Undersøgelser
017172,Analafskr-Oxyurisæg2,Lab,Lab. Undersøgelser
017173,Oscillometri *2 Ex*6,Lab,Lab. Undersøgelser
017174,Oscillometri *4ex*10,Lab,Lab. Undersøgelser
017175,U-Svangersk. Reakt.3,Lab,Lab. Undersøgelser
017176,U-Protein          1,Lab,Lab. Undersøgelser
017177,B-Sedimentat.Reakt.2,Lab,Lab. Undersøgelser
017178,Sekt-Trichomon.Vag.2,Lab,Lab. Undersøgelser
017179,U-Bakt.*dyrk Park* 3,Lab,Lab. Undersøgelser
017180,Urinprøvetag Steril4,Lab,Lab. Undersøgelser
017181,S-Carbamid         3,Lab,Lab. Undersøgelser
017182,U-Urobilin         3,Lab,Lab. Undersøgelser
017183,Lunger-Vitalkap.   3,Lab,Lab. Undersøgelser
017184,B-Differentialtæll.6,Lab,Lab. Undersøgelser
017185,B-Erytrocyt*volfrk.1,Lab,Lab. Undersøgelser
017186,B-Leukocyt. *park* 1,Lab,Lab. Undersøgelser
017187,S-Rheumat.Art.Test 3,Lab,Lab. Undersøgelser
017188,B-Trombocyt. *park*3,Lab,Lab. Undersøgelser
017189,U-Bakt.*dyrk Rest*12,Lab,Lab. Undersøgelser
017190,U-Hb-Glu-Me-Pr Stix1,Lab,Lab. Undersøgelser
017900,Lab. Us. Diverse,Lab. Us. Diverse,Lab. Undersøgelser
018000,Profylakse,Profylakse,Profylakse
018100,Undersøg. Af Gravide,Undersøg. Af Gravide,Profylakse
018110,1.Undersøgelse,Undersøg. Af Gravide,Profylakse
018120,2.Undersøgelse,Undersøg. Af Gravide,Profylakse
018130,3.Undersøgelse,Undersøg. Af Gravide,Profylakse
018140,4.Undersøgelse,Undersøg. Af Gravide,Profylakse
018141,Særkons. Sv.Forebyg,Undersøg. Af Gravide,Profylakse
018142,4.Hj. Fødende 1.Uge,Undersøg. Af Gravide,Profylakse
018143,Besøg I 0-4 Km,Undersøg. Af Gravide,Profylakse
018144,Besøg II  4-8 Km,Undersøg. Af Gravide,Profylakse
018145,Besøg III  8-12 Km,Undersøg. Af Gravide,Profylakse
018146,Besøg IV  12-16 Km,Undersøg. Af Gravide,Profylakse
018147,Besøg V   16-20 Km,Undersøg. Af Gravide,Profylakse
018148,Besøg VI  Over 20 Km,Undersøg. Af Gravide,Profylakse
018149,Pr. Km Ud Over 21,Undersøg. Af Gravide,Profylakse
018150,Unders.V.Vejl.9 uger,Undersøg. Af Gravide,Profylakse
018151,Blodprøvetagning,Undersøg. Af Gravide,Profylakse
018152,Podning t. dyrkning,Undersøg. Af Gravide,Profylakse
018153,"B-glukose,fotometer",Undersøg. Af Gravide,Profylakse
018154,"B-glukose, stix",Undersøg. Af Gravide,Profylakse
018155,"Urinundersøg., stix",Undersøg. Af Gravide,Profylakse
018156,I. Mirkosk. urin,Undersøg. Af Gravide,Profylakse
018157,II. Mikro. Bakt. ol.,Undersøg. Af Gravide,Profylakse
018158,III. Mikro. a. bio.,Undersøg. Af Gravide,Profylakse
018159,I. Bakterier,Undersøg. Af Gravide,Profylakse
018160,5. Hj. Fødende 9uger,Undersøg. Af Gravide,Profylakse
018161,II. Svampe,Undersøg. Af Gravide,Profylakse
018162,III. Andet,Undersøg. Af Gravide,Profylakse
018163,B-hæmogl. (- fotom.),Undersøg. Af Gravide,Profylakse
018164,B-hæmoglobin (fotom),Undersøg. Af Gravide,Profylakse
018165,I. Mikrosk. af urin,Undersøg. Af Gravide,Profylakse
018166,II. Mirko. bakt. ol.,Undersøg. Af Gravide,Profylakse
018167,III. Mirkos. a. bio.,Undersøg. Af Gravide,Profylakse
018170,1 modul,Undersøg. Af Gravide,Profylakse
018171,2 moduler,Undersøg. Af Gravide,Profylakse
018172,3 moduler,Undersøg. Af Gravide,Profylakse
018173,Pr. påbegyndt over 3,Undersøg. Af Gravide,Profylakse
018180,Blodpr.1.graviditets,Undersøg. Af Gravide,Profylakse
018181,Blodpr.2.graviditets,Undersøg. Af Gravide,Profylakse
018182,Indtil 4 km.,Undersøg. Af Gravide,Profylakse
018183,Fra 4 indtil 8 km.,Undersøg. Af Gravide,Profylakse
018184,Fra 8 indtil 12 km.,Undersøg. Af Gravide,Profylakse
018185,Fra 12 indtil 16 km.,Undersøg. Af Gravide,Profylakse
018186,Fra 16 indtil 20 km.,Undersøg. Af Gravide,Profylakse
018187,Udover 20 km.,Undersøg. Af Gravide,Profylakse
018188,Kr/km. udover 21 km.,Undersøg. Af Gravide,Profylakse
018189,Blodprøvetagning,Undersøg. Af Gravide,Profylakse
018190,Blodprøvetagning,Undersøg. Af Gravide,Profylakse
018191,Kørselsgodtgør. I,Undersøg. Af Gravide,Profylakse
018192,Kørselsgodtgør. II,Undersøg. Af Gravide,Profylakse
018200,Børneundersøgelser,Børneundersøgelser,Profylakse
018201,1.Undersøgelse,Børneundersøgelser,Profylakse
018202,2.Undersøgelse,Børneundersøgelser,Profylakse
018203,3.Undersøgelse,Børneundersøgelser,Profylakse
018204,4.Undersøgelse,Børneundersøgelser,Profylakse
018205,5.Undersøgelse,Børneundersøgelser,Profylakse
018206,6.Undersøgelse,Børneundersøgelser,Profylakse
018207,7.Undersøgelse,Børneundersøgelser,Profylakse
018208,8.Undersøgelse,Børneundersøgelser,Profylakse
018209,9.Undersøgelse,Børneundersøgelser,Profylakse
018210,Undersøgelse,Børneundersøgelser,Profylakse
018211,1.Undersøgelse,Børneundersøgelser,Profylakse
018212,2.Undersøgelse,Børneundersøgelser,Profylakse
018213,3.Undersøgelse,Børneundersøgelser,Profylakse
018214,4.Undersøgelse,Børneundersøgelser,Profylakse
018215,5.Undersøgelse,Børneundersøgelser,Profylakse
018216,6.Undersøgelse,Børneundersøgelser,Profylakse
018217,7.Undersøgelse,Børneundersøgelser,Profylakse
018290,Vejl.svangerf.metode,Børneundersøgelser,Profylakse
018291,Vejl.svangerf.p-pil.,Børneundersøgelser,Profylakse
018292,Vejl.svanger. spiral,Børneundersøgelser,Profylakse
018293,Fortsat kontrol,Børneundersøgelser,Profylakse
018294,Telefonkonsultation,Børneundersøgelser,Profylakse
018300,Børnevaccinationer,Børnevaccinationer,Profylakse
018311,1.Kighostevaccinat.,Børnevaccinationer,Profylakse
018312,2.Kighostevaccinat.,Børnevaccinationer,Profylakse
018313,3.Kighostevaccinat.,Børnevaccinationer,Profylakse
018314,HepaB  vac barn 1mdr,Børnevaccinationer,Profylakse
018315,HepaB vac barn 2mdr,Børnevaccinationer,Profylakse
018316,HepaB vac barn 12mdr,Børnevaccinationer,Profylakse
018317,Vachon HepB ej us/ko,Børnevaccinationer,Profylakse
018318,Hep.B. ikke smittede,Børnevaccinationer,Profylakse
018319,Heb.B.smittede samle,Børnevaccinationer,Profylakse
018321,1.Di-Te-Pol-Vaccinat,Børnevaccinationer,Profylakse
018322,2.Di-Te-Pol-Vaccinat,Børnevaccinationer,Profylakse
018323,3.Di-Te-Pol-Vaccinat,Børnevaccinationer,Profylakse
018324,Di-Te-ki. vaccinatio,Børnevaccinationer,Profylakse
018325,di-te-ki-pol vacc.,Børnevaccinationer,Profylakse
018331,1.Orale Poliovaccin.,Børnevaccinationer,Profylakse
018332,2.Orale Poliovaccin.,Børnevaccinationer,Profylakse
018333,3.Orale Poliovaccin.,Børnevaccinationer,Profylakse
018341,Di-Te-Ki-Pol-vac.3md,Børnevaccinationer,Profylakse
018342,Di-Te-Ki-Pol-vac.5md,Børnevaccinationer,Profylakse
018343,Di-Te-Ki-Pol-vac.12m,Børnevaccinationer,Profylakse
018400,Mfr-Vaccinationer,Mfr-Vaccinationer,Profylakse
018401,Vaccinat. Inden 2 År,Mfr-Vaccinationer,Profylakse
018402,Vaccinat. 11-12 År,Mfr-Vaccinationer,Profylakse
018403,Vaccinat.  2-10 År,Mfr-Vaccinationer,Profylakse
018410,Anvend. af kva- tolk,Mfr-Vaccinationer,Profylakse
018500,Hib-vaccinationer,Hib-vaccinationer,Profylakse
018501,1. Hib-vaccination,Hib-vaccinationer,Profylakse
018502,2. Hib-vaccination,Hib-vaccinationer,Profylakse
018503,3. Hib-vaccination,Hib-vaccinationer,Profylakse
018600,MFR-vaccinationer,MFR-vaccinationer,Profylakse
018601,MFR-vaccinat. 1 år,MFR-vaccinationer,Profylakse
018602,MFR-vaccinat. 2 år,MFR-vaccinationer,Profylakse
018603,MFR-vaccinat. 3 år,MFR-vaccinationer,Profylakse
018604,MFR-vaccinat. 4 år,MFR-vaccinationer,Profylakse
018605,MFR-vaccinat. 5 år,MFR-vaccinationer,Profylakse
018606,MFR-vaccinat. 6 år,MFR-vaccinationer,Profylakse
018607,MFR-vaccinat. 7 år,MFR-vaccinationer,Profylakse
018608,MFR-vaccinat. 8 år,MFR-vaccinationer,Profylakse
018609,MFR-vaccinat. 9 år,MFR-vaccinationer,Profylakse
018610,MFR-vaccinat. 10 år,MFR-vaccinationer,Profylakse
018611,MFR-vaccinat. 11 år,MFR-vaccinationer,Profylakse
018612,MFR-vaccinat. 12 år,MFR-vaccinationer,Profylakse
018613,MFR-vaccinat. 13 år,MFR-vaccinationer,Profylakse
018614,MFR-vaccinat. 14 år,MFR-vaccinationer,Profylakse
018615,MFR-vaccinat. 15 år,MFR-vaccinationer,Profylakse
018616,MFR-vaccinat. 16 år,MFR-vaccinationer,Profylakse
018617,MFR-vaccinat. 17 år,MFR-vaccinationer,Profylakse
018618,Tel. henv. til foræl,MFR-vaccinationer,Profylakse
018700,Tillæg til vacc.hon.,Tillæg til vacc.hon.,Profylakse
018701,Tillæg v. MFR-vacc.,Tillæg til vacc.hon.,Profylakse
018702,Tillæg v. Hib-vacc.,Tillæg til vacc.hon.,Profylakse
018703,Tillæg v. kighostev.,Tillæg til vacc.hon.,Profylakse
018704,Till.v. Di-Te-Pol-v.,Tillæg til vacc.hon.,Profylakse
018705,Till. v. Di-Te-vacc.,Tillæg til vacc.hon.,Profylakse
018706,Tillæg.vac.Di-Te-Ki,Tillæg til vacc.hon.,Profylakse
018800,Vacc. kv. røde hunde,Vacc. kv. røde hunde,Profylakse
018801,Vacc. kv. røde hunde,Vacc. kv. røde hunde,Profylakse
018900,Profylakse Kørsel,Profylakse Kørsel,Profylakse
018901,Tillæg til vacc.hon.,Profylakse Kørsel,Profylakse
018920,Infl.vacc. over 65år,Profylakse Kørsel,Profylakse
018921,Infl.vacc. 65år hjem,Profylakse Kørsel,Profylakse
018991,Kørselsgodtg. I,Profylakse Kørsel,Profylakse
018992,Kørselsgodtg. II,Profylakse Kørsel,Profylakse
019000,Kørselsgodtgørelse,Kørselsgodtgørelse,Kørselsgodtgørelse
019001,Kørselsgodtgør.  I,Kørselsgodtgørelse,Kørselsgodtgørelse
019002,Kørselsgodtgør. II,Kørselsgodtgørelse,Kørselsgodtgørelse
019999,pseudoydelse enheder,,Kørselsgodtgørelse
020000,Fiktiv knækgrænse,Fiktiv knækgrænse,Fiktiv knækgrænse
030000,Diagn. Radiologi Kbh,Diagn. Radiologi Kbh,Diagn. Radiologi Kbh
030105,E-mail konsultation,Diagn. Radiologi Kbh,Diagn. Radiologi Kbh
030161,tillæg for tolk,Diagn. Radiologi Kbh,Diagn. Radiologi Kbh
030205,tlf. rådgivning,Diagn. Radiologi Kbh,Diagn. Radiologi Kbh
032000,Røntgenundersøgelse,Røntgenundersøgelse,Røntgenundersøgelse
032100,Røntgenundersøgelse,Røntgenundersøgelse,Røntgenundersøgelse
032110,hånd/håndled,Røntgenundersøgelse,Røntgenundersøgelse
032111,underarm,Røntgenundersøgelse,Røntgenundersøgelse
032112,albue,Røntgenundersøgelse,Røntgenundersøgelse
032113,fod/fodled,Røntgenundersøgelse,Røntgenundersøgelse
032114,underben,Røntgenundersøgelse,Røntgenundersøgelse
032115,knæ,Røntgenundersøgelse,Røntgenundersøgelse
032116,1/4 tandsæt,Røntgenundersøgelse,Røntgenundersøgelse
032120,kranium,Røntgenundersøgelse,Røntgenundersøgelse
032121,bihuler,Røntgenundersøgelse,Røntgenundersøgelse
032122,overkæbe,Røntgenundersøgelse,Røntgenundersøgelse
032123,underkæbe,Røntgenundersøgelse,Røntgenundersøgelse
032124,kæbeled,Røntgenundersøgelse,Røntgenundersøgelse
032125,skulderled og overar,Røntgenundersøgelse,Røntgenundersøgelse
032126,halshvirvler,Røntgenundersøgelse,Røntgenundersøgelse
032127,brysthvirvler,Røntgenundersøgelse,Røntgenundersøgelse
032128,lænde og korsbenshv.,Røntgenundersøgelse,Røntgenundersøgelse
032129,haleben,Røntgenundersøgelse,Røntgenundersøgelse
032130,bækken,Røntgenundersøgelse,Røntgenundersøgelse
032131,lår og hofteled,Røntgenundersøgelse,Røntgenundersøgelse
032132,trachea,Røntgenundersøgelse,Røntgenundersøgelse
032133,brystk.m.lung/hjerte,Røntgenundersøgelse,Røntgenundersøgelse
032134,belast.us. af led,Røntgenundersøgelse,Røntgenundersøgelse
032140,spiserør,Røntgenundersøgelse,Røntgenundersøgelse
032141,mave m.tolvfingtarm,Røntgenundersøgelse,Røntgenundersøgelse
032142,tyktarm,Røntgenundersøgelse,Røntgenundersøgelse
032143,cystografi kvinder,Røntgenundersøgelse,Røntgenundersøgelse
032144,funkt.us.rygsøjle rg,Røntgenundersøgelse,Røntgenundersøgelse
032145,fuldst.tandstatus,Røntgenundersøgelse,Røntgenundersøgelse
032150,galdeblære,Røntgenundersøgelse,Røntgenundersøgelse
032151,nyrer,Røntgenundersøgelse,Røntgenundersøgelse
032152,hals,Røntgenundersøgelse,Røntgenundersøgelse
032153,mammae,Røntgenundersøgelse,Røntgenundersøgelse
032154,testes,Røntgenundersøgelse,Røntgenundersøgelse
032155,ekstremiteter,Røntgenundersøgelse,Røntgenundersøgelse
032160,øvre abdomen,Røntgenundersøgelse,Røntgenundersøgelse
032161,tolkebistand,Røntgenundersøgelse,Røntgenundersøgelse
032162,nedre abdomen,Røntgenundersøgelse,Røntgenundersøgelse
032163,"nedre abdomen, blære",Røntgenundersøgelse,Røntgenundersøgelse
032170,tomografi tindingben,Røntgenundersøgelse,Røntgenundersøgelse
032171,tomografi kranium,Røntgenundersøgelse,Røntgenundersøgelse
032172,tomografi bihule,Røntgenundersøgelse,Røntgenundersøgelse
032173,tomografi rygsøjle,Røntgenundersøgelse,Røntgenundersøgelse
032174,tomografi lunger,Røntgenundersøgelse,Røntgenundersøgelse
032175,tomografi nyrer,Røntgenundersøgelse,Røntgenundersøgelse
032180,db.kontr.us.tyktarm,Røntgenundersøgelse,Røntgenundersøgelse
032181,cystourethrogr. mænd,Røntgenundersøgelse,Røntgenundersøgelse
032182,us.tyndtarmspassage,Røntgenundersøgelse,Røntgenundersøgelse
032183,alm. urografi,Røntgenundersøgelse,Røntgenundersøgelse
032184,sialografi,Røntgenundersøgelse,Røntgenundersøgelse
032185,udv.urologi tømnings,Røntgenundersøgelse,Røntgenundersøgelse
032186,hystero-slapingograf,Røntgenundersøgelse,Røntgenundersøgelse
032187,phlebografi,Røntgenundersøgelse,Røntgenundersøgelse
032191,Undersøgelse Gr. 1,Røntgenundersøgelse,Røntgenundersøgelse
032192,Undersøgelse Gr. 2,Røntgenundersøgelse,Røntgenundersøgelse
032193,Undersøgelse Gr. 3,Røntgenundersøgelse,Røntgenundersøgelse
032194,Undersøgelse Gr. 4,Røntgenundersøgelse,Røntgenundersøgelse
032195,Undersøgelse Gr. 5,Røntgenundersøgelse,Røntgenundersøgelse
032196,Undersøgelse Gr. 6,Røntgenundersøgelse,Røntgenundersøgelse
032197,Undersøgelse Gr. 7,Røntgenundersøgelse,Røntgenundersøgelse
032200,Røntgenus. Halvt Hon,Røntgenus. Halvt Hon,Røntgenundersøgelse
032210,½ ydelse 2110,Røntgenus. Halvt Hon,Røntgenundersøgelse
032211,½ ydelse 2111,Røntgenus. Halvt Hon,Røntgenundersøgelse
032212,½ ydelse 2112,Røntgenus. Halvt Hon,Røntgenundersøgelse
032213,½ ydelse 2113,Røntgenus. Halvt Hon,Røntgenundersøgelse
032214,½ ydelse 2114,Røntgenus. Halvt Hon,Røntgenundersøgelse
032215,½ ydelse 2115,Røntgenus. Halvt Hon,Røntgenundersøgelse
032216,ydelse 2116,Røntgenus. Halvt Hon,Røntgenundersøgelse
032220,½ ydelse 2120,Røntgenus. Halvt Hon,Røntgenundersøgelse
032221,½ ydelse 2121,Røntgenus. Halvt Hon,Røntgenundersøgelse
032222,½ ydelse 2122,Røntgenus. Halvt Hon,Røntgenundersøgelse
032223,½ ydelse 2123,Røntgenus. Halvt Hon,Røntgenundersøgelse
032224,½ ydelse 2124,Røntgenus. Halvt Hon,Røntgenundersøgelse
032225,½ ydelse 2125,Røntgenus. Halvt Hon,Røntgenundersøgelse
032226,½ ydelse 2126,Røntgenus. Halvt Hon,Røntgenundersøgelse
032227,½ ydelse 2127,Røntgenus. Halvt Hon,Røntgenundersøgelse
032228,½ ydelse 2128,Røntgenus. Halvt Hon,Røntgenundersøgelse
032229,½ ydelse 2129,Røntgenus. Halvt Hon,Røntgenundersøgelse
032230,½ ydelse 2131,Røntgenus. Halvt Hon,Røntgenundersøgelse
032231,½ ydelse 2131,Røntgenus. Halvt Hon,Røntgenundersøgelse
032232,½ ydelse 2132,Røntgenus. Halvt Hon,Røntgenundersøgelse
032233,½ ydelse 2133,Røntgenus. Halvt Hon,Røntgenundersøgelse
032234,½ ydelse 2134,Røntgenus. Halvt Hon,Røntgenundersøgelse
032240,½ ydelse 2140,Røntgenus. Halvt Hon,Røntgenundersøgelse
032241,½ ydelse 2141,Røntgenus. Halvt Hon,Røntgenundersøgelse
032242,ydelse 2142,Røntgenus. Halvt Hon,Røntgenundersøgelse
032243,ydelse 2143,Røntgenus. Halvt Hon,Røntgenundersøgelse
032244,½ ydelse 2144,Røntgenus. Halvt Hon,Røntgenundersøgelse
032245,½ ydelse 2145,Røntgenus. Halvt Hon,Røntgenundersøgelse
032250,ydelse 2150,Røntgenus. Halvt Hon,Røntgenundersøgelse
032251,½ ydelse 2151,Røntgenus. Halvt Hon,Røntgenundersøgelse
032252,½ ydelse 2152,Røntgenus. Halvt Hon,Røntgenundersøgelse
032253,½ ydelse 2153,Røntgenus. Halvt Hon,Røntgenundersøgelse
032254,½ ydelse 2154,Røntgenus. Halvt Hon,Røntgenundersøgelse
032255,½ ydelse 2155,Røntgenus. Halvt Hon,Røntgenundersøgelse
032260,ydelse 2160,Røntgenus. Halvt Hon,Røntgenundersøgelse
032262,ydelse 2162,Røntgenus. Halvt Hon,Røntgenundersøgelse
032263,ydelse 2163,Røntgenus. Halvt Hon,Røntgenundersøgelse
032270,ydelse 2170,Røntgenus. Halvt Hon,Røntgenundersøgelse
032271,ydelse 2171,Røntgenus. Halvt Hon,Røntgenundersøgelse
032272,ydelse 2172,Røntgenus. Halvt Hon,Røntgenundersøgelse
032273,ydelse 2173,Røntgenus. Halvt Hon,Røntgenundersøgelse
032274,ydelse 2174,Røntgenus. Halvt Hon,Røntgenundersøgelse
032275,ydelse 2175,Røntgenus. Halvt Hon,Røntgenundersøgelse
032291,Undersøg. Gr.1 Halvt,Røntgenus. Halvt Hon,Røntgenundersøgelse
032292,Undersøg. Gr.2 Halvt,Røntgenus. Halvt Hon,Røntgenundersøgelse
032293,Undersøg. Gr.3 Halvt,Røntgenus. Halvt Hon,Røntgenundersøgelse
032294,Undersøg. Gr.4 Halvt,Røntgenus. Halvt Hon,Røntgenundersøgelse
032295,Undersøg. Gr.5 Halvt,Røntgenus. Halvt Hon,Røntgenundersøgelse
032301,mammografi,Røntgenundersøgelse,Røntgenundersøgelse
032302,udvidet mammografi,Røntgenundersøgelse,Røntgenundersøgelse
032401,½ ydelse 2301,Røntgenundersøgelse,Røntgenundersøgelse
032402,½ ydelse 2302,Røntgenundersøgelse,Røntgenundersøgelse
035001,ct-scan.kr.u.iv.kont,Diagn. Radiologi Kbh,Diagn. Radiologi Kbh
035002,ct.scan.kr.m.iv.kont,Diagn. Radiologi Kbh,Diagn. Radiologi Kbh
035003,ct-scan.ryg.u.iv.kon,Diagn. Radiologi Kbh,Diagn. Radiologi Kbh
035004,ct-scan.ryg.m.iv.kon,Diagn. Radiologi Kbh,Diagn. Radiologi Kbh
035005,ct-scan.ekst.u.iv.ko,Diagn. Radiologi Kbh,Diagn. Radiologi Kbh
