SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
1;"A";1;Landbrug, skovbrug og fiskeri;;;;;;
2;"01.11.00";2;Dyrkning af korn (undtagen ris), bælgfrugter og olieholdige frø;;;;;;
3;"01.12.00";2;Dyrkning af ris;;;;;;
4;"01.13.00";2;Dyrkning af grøntsager og meloner, rødder og rodknolde;;;;;;
5;"01.14.00";2;Dyrkning af sukkerrør;;;;;;
6;"01.15.00";2;Dyrkning af tobak;;;;;;
7;"01.16.00";2;Dyrkning af tekstilplanter;;;;;;
8;"01.19.00";2;Dyrkning af andre etårige afgrøder;;;;;;
9;"01.21.00";2;Dyrkning af druer;;;;;;
10;"01.22.00";2;Dyrkning af tropiske og subtropiske frugter;;;;;;
11;"01.23.00";2;Dyrkning af citrusfrugter;;;;;;
12;"01.24.00";2;Dyrkning af kernefrugter og stenfrugter;;;;;;
13;"01.25.00";2;Dyrkning af andre træfrugter, bær og nødder;;;;;;
14;"01.26.00";2;Dyrkning af olieholdige frugter;;;;;;
15;"01.27.00";2;Dyrkning af planter til fremstilling af drikkevarer;;;;;;
16;"01.28.00";2;Dyrkning af krydderiplanter, aromaplanter og lægeplanter;;;;;;
17;"01.29.00";2;Dyrkning af andre flerårige afgrøder;;;;;;
18;"01.30.00";2;Planteformering;;;;;;
19;"01.41.00";2;Avl af malkekvæg;;;;;;
20;"01.42.00";2;Avl af andet kvæg og bøfler;;;;;;
21;"01.43.00";2;Avl af heste og dyr af hestefamilien;;;;;;
22;"01.44.00";2;Avl af kameler og dyr af kamelfamilien;;;;;;
23;"01.45.00";2;Avl af får og geder;;;;;;
24;"01.46.10";2;Avl af smågrise;;;;;;
25;"01.46.20";2;Produktion af slagtesvin;;;;;;
26;"01.47.00";2;Fjerkræavl;;;;;;
27;"01.48.00";2;Avl af andre dyr;;;;;;
28;"01.50.00";2;Blandet landbrugsdrift;;;;;;
29;"01.61.00";2;Støtteaktiviteter i forbindelse med planteavl;;;;;;
30;"01.62.00";2;Støtteaktiviteter i forbindelse med husdyravl;;;;;;
31;"01.63.00";2;Forarbejdning af afgrøder efter høst af frø/sædekorn til udsæd;;;;;;
32;"01.70.00";2;Jagt, fældefangst og serviceydelser i forbindelse hermed;;;;;;
33;"02.10.00";2;Dyrkning af træer og andre skovbrugsaktiviteter;;;;;;
34;"02.20.00";2;Skovning;;;;;;
35;"02.30.00";2;Indsamling af vildtvoksende forstmateriale, undtagen træer;;;;;;
36;"02.40.00";2;Støtteaktiviteter i forbindelse med skovbrug;;;;;;
37;"03.11.00";2;Havfiskeri;;;;;;
38;"03.12.00";2;Ferskvandsfiskeri;;;;;;
39;"03.21.00";2;Havbrug;;;;;;
40;"03.22.00";2;Ferskvandsbrug;;;;;;
41;"03.30.00";2;Støtteaktiviteter i forbindelse med fiskeri og akvakultur;;;;;;
42;"B";1;Råstofindvinding;;;;;;
43;"05.10.00";2;Indvinding af stenkul;;;;;;
44;"05.20.00";2;Indvinding af brunkul;;;;;;
45;"06.10.00";2;Indvinding af råolie;;;;;;
46;"06.20.00";2;Indvinding af naturgas;;;;;;
47;"07.10.00";2;Brydning af jernmalm;;;;;;
48;"07.21.00";2;Brydning af uran- og thoriummalme;;;;;;
49;"07.29.00";2;Brydning af andre ikke-jernholdige metalmalme;;;;;;
50;"08.11.00";2;Brydning af pyntesten, kalksten, gips, skifer mv.;;;;;;
51;"08.12.00";2;Grus- og sandgravning og indvinding af ler og kaolin;;;;;;
52;"08.91.00";2;Indvinding af mineraler til fremstilling af kemiske produkter og gødningsstoffer;;;;;;
53;"08.92.00";2;Indvinding af tørv;;;;;;
54;"08.93.00";2;Saltindvinding;;;;;;
55;"08.99.00";2;Anden råstofindvinding i.a.n.;;;;;;
56;"09.10.00";2;Støtteaktiviteter i forbindelse med indvinding af råolie og naturgas;;;;;;
57;"09.90.00";2;Støtteaktiviteter i forbindelse med anden råstofindvinding;;;;;;
58;"C10-C12";1;Fødevare-, drikkevare- og tobaksindustri;;;;;;
59;"10.11.10";2;Forarbejdning af svinekød;;;;;;
60;"10.11.90";2;Forarbejdning af andet kød;;;;;;
61;"10.12.00";2;Forarbejdning og konservering af fjerkrækød;;;;;;
62;"10.13.00";2;Fremstilling af kød- og fjerkrækødprodukter;;;;;;
63;"10.20.10";2;Fremstilling af fiskemel;;;;;;
64;"10.20.20";2;Forarbejdning og konservering af fisk, krebsdyr og bløddyr, undtagen fiskemel;;;;;;
65;"10.31.00";2;Forarbejdning og konservering af kartofler;;;;;;
66;"10.32.00";2;Fremstilling af frugt- og grøntsagssaft;;;;;;
67;"10.39.00";2;Anden forarbejdning og konservering af frugt og grøntsager;;;;;;
68;"10.41.00";2;Fremstilling af olier og fedtstoffer;;;;;;
69;"10.42.00";2;Fremstilling af margarine o.lign. spiselige fedtstoffer;;;;;;
70;"10.51.00";2;Fremstilling af mejeriprodukter;;;;;;
71;"10.52.00";2;Fremstilling af konsumis;;;;;;
72;"10.61.00";2;Fremstilling af mølleriprodukter;;;;;;
73;"10.62.00";2;Fremstilling af stivelse og stivelsesprodukter;;;;;;
74;"10.71.10";2;Industriel fremstilling af brød og kager mv.;;;;;;
75;"10.71.20";2;Fremstilling af friske bageriprodukter;;;;;;
76;"10.72.00";2;Fremstilling af tvebakker, kiks, konserverede kager, tærter mv.;;;;;;
77;"10.73.00";2;Fremstilling af dejprodukter;;;;;;
78;"10.81.00";2;Fremstilling af sukker;;;;;;
79;"10.82.00";2;Fremstilling af kakao, chokolade og sukkervarer;;;;;;
80;"10.83.00";2;Forarbejdning af te og kaffe;;;;;;
81;"10.84.00";2;Fremstilling af smagspræparater og krydderier;;;;;;
82;"10.85.00";2;Fremstilling af færdigretter;;;;;;
83;"10.86.00";2;Fremstilling af homogeniserede produkter og diætmad;;;;;;
84;"10.89.00";2;Fremstilling af andre fødevarer i.a.n.;;;;;;
85;"10.91.00";2;Fremstilling af færdige foderblandinger til landbrugsdyr;;;;;;
86;"10.92.00";2;Fremstilling af færdige foderblandinger til kæledyr;;;;;;
87;"11.01.00";2;Destillation, rektifikation og blanding af alkohol;;;;;;
88;"11.02.00";2;Fremstilling af vin af druer;;;;;;
89;"11.03.00";2;Fremstilling af cider og andre gærede drikkevarer af frugt;;;;;;
90;"11.04.00";2;Fremstilling af andre ikke-destillerede gærede drikkevarer;;;;;;
91;"11.05.00";2;Fremstilling af øl;;;;;;
92;"11.06.00";2;Fremstilling af malt;;;;;;
93;"11.07.00";2;Fremstilling af læskedrikke og vand på flaske;;;;;;
